"Date","Dialog_Turn","Discussion_Id","Post_Counter","Quote_Author","Quote_Id","Quote_Text","Response_Author","Response_Id","Response_Text","Subtopic","Time","Topic","Word_Count"
"04-12-2008",1,"11136","12","Archangel","308274","I've had debates with pro-choicers who have insisted that the soul doesn't enter into a baby until it breathes its first breathe. They also believe somehow that until a child breathes its first breathe, it can't be called or considered a PERSON.","Colonel Ingus","308408","I agree with you, that's just plain silly. First of all we don't know if a soul even exist, and secondly, even if we had proof that it did, we have no way of knowing when it becomes reality for that person. Maybe it's like sin, you know, a man-made concept You want to consider a ZEF a 'person' - fine, let's apply this so-called 'logic' across the board. If a woman should for whatever reason die while giving birth, then the baby should serve a life prison sentence for murder Have a nice day","how-important-soul-pro-life-views","03:25 PM","abortion-debates","110"
"04-12-2008",1,"11136","15","Colonel Ingus","308408","I agree with you, that's just plain silly. First of all we don't know if a soul even exist, and secondly, even if we had proof that it did, we have no way of knowing when it becomes reality for that person. Maybe it's like sin, you know, a man-made concept You want to consider a ZEF a 'person' - fine, let's apply this so-called 'logic' across the board. If a woman should for whatever reason die while giving birth, then the baby should serve a life prison sentence for murder Have a nice day","Archangel","308420","I know that the soul exists, which is why I made my claim. Just as sin isn't a man made concept but a reality that is proven whenever you feel guilty for doing wrong. I mean only sociopaths feel no guilt when sinning, are you saying that you're a sociopath? What's a ZEF? Is that another secular humanist term that's intended to marginalize the unborn babies that pro-abortionists endorse killing to the tune of 1.4 million a year?","how-important-soul-pro-life-views","06:08 PM","abortion-debates","85"
"04-12-2008",1,"11136","18","Archangel","308420","I know that the soul exists, which is why I made my claim . Just as sin isn't a man made concept What's a ZEF?","Colonel Ingus","308427","LOL If you knew it was a fact ( which is impossible ) then you wouldn't have called it a 'claim' Ooh... that's gotta hurt If that's true then you should be able to prove it. Knock your socks off. You'll excuse everyone else if we don't hold our breath. OH MY GOD! You're in an abortion debate and you don't even know what a ZEF is? What a joke! You have just lost all credibility. Please wait for the ride to come to a complete stop before attempting to exit.","how-important-soul-pro-life-views","06:46 PM","abortion-debates","102"
"04-12-2008",1,"11136","25","Colonel Ingus","308427","LOL If you knew it was a fact ( which is impossible ) then you wouldn't have called it a 'claim' Ooh... that's gotta hurt OH MY GOD! You're in an abortion debate and you don't even know what a ZEF is? What a joke! You have just lost all credibility. Please wait for the ride to come to a complete stop before attempting to exit.","Archangel","308441","Why not? I can make any claims I want to make about any facts I choose to make them about. Is there some grammatical rule that states that using the word claim in conjunction with a fact is improper or fallacious? Be clear son, you're not making any sense. So no, it doesn't gotta hurt at all, for me anyway. Duh... me so dumb. And evidently google is too because nothing came up in reference to the unborn or abortion when I googled it either. I must assume that I hit the nail right on the head when I said this: What's a ZEF? Is that another secular humanist term that's intended to marginalize the unborn babies that pro-abortionists endorse killing to the tune of 1.4 million a year? Which explains why you edited everything after my question in order to attempt to ridicule me with just the question. Kind of lame and a very weak style of debating, not to mention dishonest. Now if ZEF means anything different than how I defined it, then own up and define it unless you just made it up.","how-important-soul-pro-life-views","07:47 PM","abortion-debates","205"
"04-12-2008",1,"11136","28","Archangel","308441","Why not? I can make any claims I want Is there some grammatical rule that states that using the word claim in conjunction with a fact is improper or fallacious? And evidently google is too because nothing came up in reference to the unborn or abortion when I googled it either.","Colonel Ingus","308446","Most anti-choicers do Since when do grammatical rules have anything to do with proof about souls existing? We're still waiting for that hard core proof That doesn't say much for google now does it Try a medical dictionary or a dictionary with acronyms. It's a well known medical term so I'm sure you'll find it.","how-important-soul-pro-life-views","08:16 PM","abortion-debates","58"
"04-12-2008",1,"11136","37","Colonel Ingus","308446","That doesn't say much for google now does it Try a medical dictionary or a dictionary with acronyms. It's a well known medical term so I'm sure you'll find it.","Archangel","308458","You're a sanctimonious fraud ingus. There's no definition for the word ZEF in the online medical dictionary. No match for ZEF Sorry, the term ZEF is not in the dictionary. Check the spelling and try removing suffixes like ""-ing"" and ""-s"". Here, check for yourself. http://cancerweb.ncl.ac.uk/omd/ Now stop playing games and just admit that you made the word up or tell us what you claim it means. Are you referring to the word zygote? And I ask only because it starts with a z also. Either way, stop calling me ignorant if you can't explain what a word you used means.","how-important-soul-pro-life-views","09:49 PM","abortion-debates","119"
"04-12-2008",1,"11136","40","Archangel","308458","You're a sanctimonious fraud ingus. There's no definition for the word ZEF in the online medical dictionary. Now stop playing games and just admit that you made the word up stop calling me ignorant if you can't explain what a word you used means.","Colonel Ingus","308464","Well that's not very christian of you now is it? There is only one online medical dictionary? So just because you aren't educated in these matters that suddenly means that the other person is playing games or made something up? Stop acting so immature, and stop making accusations. No one made anything up. Ask a midwife or a Obstetrician if you don't believe me Archangel if you don't know these BASIC medical terms then how can you claim that you know anything about abortion? If I just give you the link then what would you have learned? I've read at least 3 posts from you where you have displayed an immature outburst. Debating the topic of abortion is one of the most heated issues that you will find. If you can't swim in the deep end of the pool then you should be in the shallow end. Quit embarrassing yourself while your ahead If I, or someone else has to post a link, that's going to take away all of your credibility. You wouldn't want that now would you?","how-important-soul-pro-life-views","10:36 PM","abortion-debates","194"
"04-13-2008",1,"11136","49","Colonel Ingus","308464","Well that's not very christian of you now is it? There is only one online medical dictionary? So just because you aren't educated in these matters that suddenly means that the other person is playing games or made something up? Stop acting so immature, and stop making accusations. No one made anything up. Ask a midwife or a Obstetrician if you don't believe me Archangel if you don't know these BASIC medical terms then how can you claim that you know anything about abortion? If I just give you the link then what would you have learned?","Archangel","308478","Sure it is! I'm not lying when I called you a sanctimonious fraud because that's precisely what you are. You're evasive, dismissive and abusive in your style of communicating with people before even getting to know them. Get a clue buddy, this is why you're a fraud. I could look ZEF up in every medical dictionary on Earth and it will never give the definition for a slang of 3 different words put together as an abbreviation. So what you did was lie and make up a medical term that doesn't exist in any dictionary; then you proceeded to call me stupid for not knowing. Only an ignorant dishonest XXXXX would use such tactics unless they're here for the sole purpose of trolling and starting trouble. Is that what your game is? I'm not educated? I'm being immature? I challenge you to produce a link to the word ZEF in any medical dictionary. That's where you told me to find it, so prove it's there and it's me who's too ignorant to find it. For once stop turning your ignorance around on others and just support your lies. PROVE TO ME THAT ZEF IS A BASIC MEDICAL TERM. I CHALLENGE YOU TO SUPPORT THAT ClAIM. SO GIVE ME A LINK WHERE IT IS USED AS A GENERAL TERM IN THE INDUSTRY. AND TELL ME THIS GENIUS, WHY WOULD THEY USE THE TERM ZYGOTE EMBRIO AND FETUS AS ONE WORD IN THE SAME SENTENCE? FETUSES GET ABORTED, BUT THAT PROCESS TAKES PLACE LONG AFTER THE ZYGOTE AND EMBRIO STAGE; SO USE SUCH AN ABBREVIATED WORD IN A SENTENCE THAT MAKES SENSE IF YOU CAN. I WANT TO SEE IT. AND HOW ABOUT YOU STOP EDITING OUT THE MEAT OF MY REPLIES AND RESPOND TO MY WHOLE POST FOR ONCE. YOU JUST SHOW HOW WEAK YOU ARE BY RIPPING POSTS APART AND JUST RESPONDING TO SECONDARY POINTS.","how-important-soul-pro-life-views","12:30 AM","abortion-debates","343"
"04-13-2008",1,"11136","52","Archangel","308478","You're evasive, dismissive and abusive in your style of communicating with people before even getting to know them. I'm not educated? I'm being immature? I challenge you to produce a link to the word ZEF in any medical dictionary. so prove it's there and it's me who's too ignorant to find it.","Colonel Ingus","308481","So how long should someone wait before communicating with you like that If you insist I'd call you a XXXXX except for two things, first, I don't stoop to your level of name calling and secondly, it would be redundant since you've just publicly already proved it to everyone here","how-important-soul-pro-life-views","12:55 AM","abortion-debates","53"
"04-13-2008",1,"11136","55","Colonel Ingus","308481","So how long should someone wait before communicating with you like that If you insist I'd call you a XXXXX except for two things, first, I don't stoop to your level of name calling and secondly, it would be redundant since you've just publicly already proved it to everyone here","Archangel","308488","Thanks for proving my point. It's not in a medical dictionary at all, but is found under acronyms in the free dictionary. So besides lying about it being a medical term, it isn't even a word. And I've proved to everyone I'm the XXXXX? Nice try.","how-important-soul-pro-life-views","07:47 AM","abortion-debates","53"
