"Dialog_Turn","Date","Discussion_Id","Quote_Author","Quote_Id","Quote_Text","Response_Author","Response_Id","Response_Text","Subtopic","Topic","Post_Counter","Time"
"","04-12-2008","11136","Colonel Ingus","308427","LOL If you knew it was a fact ... then you wouldn't have called it a 'claim'","electrolyte","308429","I can ""claim"" that two added to two results in a sum of four. Does that mean that I don't know that 2+2=4?","how-important-soul-pro-life-views","abortion-debates","20","06:59 PM"
"","04-12-2008","11136","electrolyte","308429","I can ""claim"" that two added to two results in a sum of four.","Colonel Ingus","308433","You can claim anything that you want, but that doesn't make it true . Many people claim that the Easter Bunny and Santa Clause are real, but most adults know it isn't true. They used to claim that the moon was made out of cheese, but most adults know that isn't true. They used to claim that the world was flat, but most adults know that isn't true either. You can claim anything that you want, but claims and facts are not the same thing","how-important-soul-pro-life-views","abortion-debates","22","07:18 PM"
"","04-12-2008","11136","electrolyte","308437","You said that there can't be overlap.","Colonel Ingus","308440","No, I was saying that overlap doesn't mean squat. A claim is just that, a claim. It is neither true or false. The fact that some claims may be true is a moot point. That is pure argumentum ad ignorantiam","how-important-soul-pro-life-views","abortion-debates","24","07:47 PM"
"","04-12-2008","11136","Colonel Ingus","308440","No, I was saying that overlap doesn't mean squat. A claim is just that, a claim. It is neither true or false. The fact that some claims may be true is a moot point. That is pure argumentum ad ignorantiam","electrolyte","308444","You were saying that he wouldn't have called it a claim if it were a known fact. Now you say that claims can be true, but you're avoiding my point, which is that something that is a known truth can be stated as a ""claim."" Why are you being so evasive?","how-important-soul-pro-life-views","abortion-debates","26","07:58 PM"
"","04-12-2008","11136","electrolyte","308444","You were saying that he wouldn't have called it a claim if it were a known fact. something that is a known truth can be stated as a ""claim.""","Colonel Ingus","308451","No, that's NOT what I said at all. Go back and read what I actually wrote, and not just what you want to read. If you still need help, just ask I've already said this so that's redundant.","how-important-soul-pro-life-views","abortion-debates","32","08:31 PM"
"","04-12-2008","11136","Colonel Ingus","308457","You need to read the statement from the person who was saying it's point of view. A person would not say ""my claim is that the sun is hot"" if they really knew it was hot, they would just say ""the sun is hot"". The fact that this needs to be explained to you doesn't say much for our educational system Still waiting for that evidence of souls existing. If none is provided then I'll just assume you're admitting that they don't exist...","electrolyte","308462","Bull hockey. It is common to refer to statements as claims regardless of their truth value. This is especially true in philosophical/logical arguments. I'm a new part of that education system, bub. The fact is that you said you didn't say what you actually did say, and now you're trying to cover that up by giving an alternate explanation that ignores the fact that this is a debate forum where ""claims"" are labeled for what they are: claims. It's a shame our education system has to compete with numbskulls who hold their misplaced opinions in higher regard than people trained in those areas. News flash, Holmes: I never said that souls existed. I never even implied such. I took a quick rip at Archie's pathetic arguments early in the thread and have since been arguing with you about why calling something a claim would mean that it isn't believed. If you want to argue that souls don't exist, or that nobody has shown that souls do exist, then your arguments had better be better than vacuous attempts to nail someone for faulty phraseology.","how-important-soul-pro-life-views","abortion-debates","39","10:17 PM"
"","04-12-2008","11136","electrolyte","308462","The fact is that you said you didn't say what you actually did say I never said that souls existed.","Colonel Ingus","308465","I know what I said and so does everyone else. It's a matter of public record Quit trying to manipulate the facts. It just wastes everyones time and leads the topic even more off course than it already is Sorry electrolyte, that one was my fault I wasn't trying to suggest that you made that comment, just that I was still waiting for said proof. My appologies. I should have re-quoted the person that did say it but now I think they ran away. Oh well... guess they can't prove it","how-important-soul-pro-life-views","abortion-debates","41","10:44 PM"
"","04-12-2008","11136","Colonel Ingus","308465","I know what I said and so does everyone else. It's a matter of public record Quit trying to manipulate the facts. Oh well... guess they can't prove it","electrolyte","308470","But I'm not manipulating the facts. Any reader with the inability to read your mind (which is everybody on the planet besides you) can read your words but apparently not know what you mean, since you say what you don't mean. I posted our statements right next to each other for everybody to read. This is the point. They can't prove it. They can't even present halfway decent arguments. So let's make that the issue instead of pulling claims of psychology-induced Freudian slips. And no, he's still here. He just loves ""allowing"" the thread to be derailed. Trust me, he does it himself, especially when he's getting his XXX kicked. Keep pointing out that he hasn't shown (and can't show) that souls exist, and he'll stop posting in the thread.","how-important-soul-pro-life-views","abortion-debates","43","11:04 PM"
"","04-12-2008","11136","electrolyte","308470","I posted our statements right next to each other for everybody to read. He just loves ""allowing"" the thread to be derailed. Trust me, he does it himself, especially when he's getting his XXX kicked. Keep pointing out that he hasn't shown (and can't show) that souls exist, and he'll stop posting in the thread.","Colonel Ingus","308475","Yes you did. Funny how your interpretation was different To be honest I'm not even sure what this thread is about anymore, this is the abortion section isn't it? My oh my how on Earth do you ever debate someone like that? Seems it would just waste a lot of precious time. In any event THANK YOU for the heads up. Looking forward to a great debate","how-important-soul-pro-life-views","abortion-debates","46","11:29 PM"
"","04-12-2008","11136","electrolyte","308471","What's really sad is that I'd never heard of ""ZEF"" before, but I figured it out merely from context, which anybody familiar with actual embryology terms should be able to do. For all the ranting that Archie does about abortion, he's not very educated about the subject.","Colonel Ingus","308476","I don't know you electrolyte but I already respect you for figuring that out on your own Probably just very young. Not sure why they'd want to debate this topic though, it gets pretty heated from time to time","how-important-soul-pro-life-views","abortion-debates","47","11:36 PM"
