"Dialog_Turn","Date","Discussion_Id","Quote_Author","Quote_Id","Quote_Text","Response_Author","Response_Id","Response_Text","Subtopic","Topic","Post_Counter","Time"
"","12-12-2008","11293","Winston Smith","336224","is it so hard for women to keep their legs crossed? the only women's leg openers I know apart from rape, are lust and/or money.","simone","336412","Not at all fond of women, are you?","every-woman-has-right-survive-pregnancy","abortion-debates","574","02:27 PM"
"","12-13-2008","11293","simone","336412","Not at all fond of women, are you?","Winston Smith","336513","On the contrary, I am prefer women to men. I find (in general) women more intelligent than men and less aggressive. I don't find my comment misogynist at all. What did I say that it isnt true? I was reading in a magazine 8 reasons why women cheat on men and how they are better at hiding it than men. Men not only are not as good as women at hiding their infidelities but they only have one reason. No prize for guessing the correct answer.","every-woman-has-right-survive-pregnancy","abortion-debates","577","05:35 AM"
"","12-13-2008","11293","Winston Smith","336513","On the contrary, I am prefer women to men. I find (in general) women more intelligent than men and less aggressive. I don't find my comment misogynist at all. What did I say that it isnt true? I was reading in a magazine 8 reasons why women cheat on men and how they are better at hiding it than men. Men not only are not as good as women at hiding their infidelities but they only have one reason. No prize for guessing the correct answer.","simone","336539","I can only conclude that all sex is to you is getting away with infidelity. Rather a shallow take on the topic.","every-woman-has-right-survive-pregnancy","abortion-debates","579","11:45 AM"
"","12-13-2008","11293","simone","336539","I can only conclude that all sex is to you is getting away with infidelity. Rather a shallow take on the topic.","Winston Smith","336568","not at all. I was just referring to what I read in a women's magazine that my wife left around. Don't tell me that some women don't cheat? I have nothing as I said against women. My daughter has a Master in Medical Science and soon she will begin studying for a Master in nursing. We go to art galleries together and she is much smarter than I. Would I say this if I hated women ?","every-woman-has-right-survive-pregnancy","abortion-debates","581","05:13 PM"
"","12-14-2008","11293","Winston Smith","336568","not at all. I was just referring to what I read in a women's magazine that my wife left around. Don't tell me that some women don't cheat? I have nothing as I said against women. My daughter has a Master in Medical Science and soon she will begin studying for a Master in nursing. We go to art galleries together and she is much smarter than I. Would I say this if I hated women ?","simone","336613","Why the devil do you keep harping on about women who cheat then? You seem obsessed with the idea of women being unfaithful. Why?","every-woman-has-right-survive-pregnancy","abortion-debates","588","11:10 AM"
"","12-14-2008","11293","simone","336613","Why the devil do you keep harping on about women who cheat then? You seem obsessed with the idea of women being unfaithful. Why?","Winston Smith","336652","Do I? a touchy subject for you, Antonia and mae, among others? Don't tell me that some women don't cheat? I was just referring to what I read in a women's magazine that my wife left around (written you would say by a woman obsesses with women cheating, and read by women obsessed with women cheating) I also read in a New Scientist magazine that scientists have found that men suspect women of cheating even when there is no reason for it and also that women are better at hiding it than men. According to the scientists this behaviour is a product of evolution for males dont want to care and raise children that are not their own. Why the female of the species cheat? The New Scientist didnt say, so for that you need that women magazine and you being women know it better than I. So why women cheat, Simone, Antonia ?","every-woman-has-right-survive-pregnancy","abortion-debates","592","04:29 PM"
"","12-15-2008","11293","Winston Smith","336652","Do I? a touchy subject for you, Antonia and mae, among others? Don't tell me that some women don't cheat? I was just referring to what I read in a women's magazine that my wife left around (written you would say by a woman obsesses with women cheating, and read by women obsessed with women cheating) I also read in a New Scientist magazine that scientists have found that men suspect women of cheating even when there is no reason for it and also that women are better at hiding it than men. According to the scientists this behaviour is a product of evolution for males dont want to care and raise children that are not their own. Why the female of the species cheat? The New Scientist didnt say, so for that you need that women magazine and you being women know it better than I. So why women cheat, Simone, Antonia ?","simone","336736","Why do men cheat?","every-woman-has-right-survive-pregnancy","abortion-debates","615","08:57 AM"
"","12-15-2008","11293","simone","336736","Why do men cheat ?","Winston Smith","336802","I asked first : why do women cheat?","every-woman-has-right-survive-pregnancy","abortion-debates","617","03:45 PM"
"","12-16-2008","11293","Winston Smith","336802","I asked first : why do women cheat?","simone","336883","But I certainly am not obsessed with cheating men. I don't constantly refer to cheating men. You, sirrah, are obsessed and you ought to do something about it. You could begin by considering the real fact that men cheat. So, why do men cheat?","every-woman-has-right-survive-pregnancy","abortion-debates","630","04:46 AM"
"","12-16-2008","11293","simone","336884","Why men cheat. They are visually stimulated and they have a roving eye. Most men, however, are civilized and don't choose to act on these impulses because they respect the women they are committed to. However, in some cultures, men are not encouraged to respect women. These men are carefully taught that it's OK to lie to women, to deceive women because, after all, women are little more than children and don't need to know the truth. Some men are also ""grabbers."" They feel that they are entitled to everything in the world -- after all, that's what their culture taught them. If not gods, they are next to the gods and women are less than human. A woman is something to masturbate with. That's how much emotional investment these sorts of men have in women. These men are also prone to be rapists.","Winston Smith","336887","a woman is something to masturbate with??? imagine if I had said that for some women a man is something to masturbate with? the sisterhood would have been up in arms calling me a sexist pig. By the way as Woody Allen said about masturbation: ""what is wrong with making love to the person you love best?"" I am not obsessed with cheating women, I am not obsessed with abortion. I was just using these topics as something to talk about. I could switch sides and support abortion for this is just a forum not a court of law. What is my personal position on abortion? That is for me to know and for you to guess. What I have been obsessed with, day and night for most of my life, is cruelty to animals, I am also obsessed with the destruction of our habitat and of the rest of the animal kingdom. What this forum needs is some light bantering, some humour, unfortunately zealots lack this trait. It is summer in our glorious city by the most beautiful harbour in the whole universe and I wish I could sail in it everyday. Alas, not yet. You sisters take yourselves and your concerns so seriously, too seriously for my taste. So, it is back to literature, art and movies (also art) for me. I am watching ""Paths of Glory"" this evening. Chao, babes, don't cheat","every-woman-has-right-survive-pregnancy","abortion-debates","632","05:30 AM"
