"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"09-04-2008","11563",1,"None","None","None","VTCruiser","322496","Say goodbye to roe v wade and hello to rights for the unborn, the most innocent among us.. YES... ALL MEN ARE CREATED EQUAL. ""We hold these truths to be self-evident, that all men are created equal, that they are endowed by their Creator with certain unalienable Rights , that among these are Life , Liberty and the pursuit of Happiness.""","watch-out-abortion-lovers-here-comes-governor-palin","09:47 AM","abortion-debates","1"
"09-04-2008","11563",1,"VTCruiser","322496","Say goodbye to roe v wade and hello to rights for the unborn, the most innocent among us.. YES... ALL MEN ARE CREATED EQUAL. ""We hold these truths to be self-evident, that all men are created equal, that they are endowed by their Creator with certain unalienable Rights , that among these are Life , Liberty and the pursuit of Happiness.""","Archangel","322499","One can only hope VT, that finally some courage and commitment to changing the status quo could take place now, and some limitations could be placed on this holocaust against the unborn in America.","watch-out-abortion-lovers-here-comes-governor-palin","10:02 AM","abortion-debates","2"
"09-04-2008","11563",1,"iangb","322514","I have no issue with this, wrt abortion. What I have an issue with is that a fertilised egg cannot 'persue happiness', or enjoy any particular liberty - partly because it is still inside the mother, but largely because, as a mere minute collection of cells, it is not self-aware. What you have with a fertilised egg is not a 'man', but something that will eventually (possibly) become a 'man'.","charlie horse","322516","Part of the problem with the abortion issue goes with our perception of the value of animal life in general. We see a fly and swat it. We see a rat and set a dog on it. We see a cockroach and stamp on it. Pests. No problem. But when elephants trample villages, or other warm-blooded mammals become pests, there's an outcry about the destruction method. We don't see giant sledgehammers swatting elephants! - practicalities aside. Destruction has to be humane. And when it suits our purposes. It seems that cuddly, warm-blooded, embryo look-alikes get more emotional feeling than flies, cockroaches, mosquitos et al. From a strictly 'argument' point of view, emotion shouldn't enter the picture. If pro-lifers/anti-abortionists looked at the issue dispassionately and rationally (difficult, I know), then they may well end up with a different viewpoint. How do we take the emotion out of argument?","watch-out-abortion-lovers-here-comes-governor-palin","12:22 PM","abortion-debates","4"
"09-04-2008","11563",1,"VTCruiser","322496","Say goodbye to roe v wade and hello to rights for the unborn, the most innocent among us.. YES... ALL MEN ARE CREATED EQUAL. ""We hold these truths to be self-evident, that all men are created equal, that they are endowed by their Creator with certain unalienable Rights , that among these are Life , Liberty and the pursuit of Happiness.""","Shooterandproud","322563","Oh no! Here comes Palin, run for cover. Because I really fear ignorant and hypocritical conservatives. As to your argument, while were out calling fertilized eggs ""men"", lets call plant life ""men"" as well.","watch-out-abortion-lovers-here-comes-governor-palin","07:17 PM","abortion-debates","6"
"09-04-2008","11563",1,"Galactababe","322535","Charlie horse: You can't. Why? Because emotions, by and large, are human characteristics. Bringing a new human life into the world is an emotional issue. Preventing that new human life from entering this world is an emotional issue. The condition of becoming pregnant is most often due to hormonally controlled emotions at the time of conception. Everything about the abortion issue is emotional. Deal with it.","Shooterandproud","322564","Everything about war is emotional too. Does that mean emotion should be factored into starting wars? People would be starting wars because another country ""hurt their feelings"", or we wouldn't go to war with threat country because ""what if someone dies""? You can be emotional whenever you want. Emotion should never be factored into making laws, especially laws that will cause emotional hardship for some people. Intellectual thought and rationality should be the basis for our legal system. Not ""emotions"".","watch-out-abortion-lovers-here-comes-governor-palin","07:20 PM","abortion-debates","7"
"09-05-2008","11563",1,"Galactababe","322641","Then by your reasoning, Roe vs. Wade should never have been brought to court and decided. Ok, I'll go with that.","Shooterandproud","322650","Is that so? Obviously every law has some emotion behind it, but it should be soley based on facts and logic. Do you disagree?","watch-out-abortion-lovers-here-comes-governor-palin","09:47 AM","abortion-debates","9"
"09-05-2008","11563",1,"None","None","None","jitobear","322671","Oh yeah cuz a VP can change things all on their own.","watch-out-abortion-lovers-here-comes-governor-palin","12:10 PM","abortion-debates","10"
"09-05-2008","11563",1,"None","None","None","sinjin","322729","I don't buy it. It was a rational decision as to who should decide. The only dogma free answer is the woman herself with or without the advice of her physician. And there's no such thing as an abortion lover. Talk about emotional.","watch-out-abortion-lovers-here-comes-governor-palin","05:38 PM","abortion-debates","12"
"09-05-2008","11563",1,"sinjin","322729","I don't buy it. It was a rational decision as to who should decide. The only rational answer is the woman herself with or without the advice of her physician.","chester","322730","I just don't get it. Not a single one of the profetallifers here can explain why they believe that the government is better able to determine the future of a woman's pregnancy than she herself is. Why do they have such a deep distrust of a woman's ability to make decisions?","watch-out-abortion-lovers-here-comes-governor-palin","05:41 PM","abortion-debates","13"
"09-05-2008","11563",1,"Galactababe","322718","Shooterandproud: Again with your inconsistent line of reasoning. First you insist: Then when I say, well, if that's the case, Roe vs. Wade should be overturned you reply with: Roe vs. Wade was a decidedly EMOTIONAL decision in favor of those who don't wish to endure the EMOTIONAL distress or inconvenience of carrying a pregnancy to term. You can't have it both ways.","Shooterandproud","322740","Yes, I can. Everything has emotion behind it, however basing something soley on emotion is stupid. Every law we make is because of emotions, however logic and reason are the primarily what are used when deciding to or not to enact a law. Making a law that says anyone who bullies another should be sent to a work camp and spend their lives there is based on emotion, however it is not logical. The law against murder however, is to deter more murders from happening and therefore stopping murders, preventing emotional distress. This is logical, because society would degrade if murder were legal. Making abortion illegal however, is based soley on emotion. Sure, seeing things that slightly resemble humans being killed can be emotionally disheartening, however when logic, reason, and science are used you will discover that these little creatures have no mental existence. Therefore, there is no reason for them to have rights, because mental existence is the basis for rights.","watch-out-abortion-lovers-here-comes-governor-palin","06:40 PM","abortion-debates","14"
"09-05-2008","11563",1,"None","None","None","unkerpaulie","322761","Is there such a thing as an abortion lover?","watch-out-abortion-lovers-here-comes-governor-palin","11:42 PM","abortion-debates","15"
"09-05-2008","11563",2,"unkerpaulie","322761","Is there such a thing as an abortion lover?","Shooterandproud","322762","Of course not. Pro-Lifers have tendency to use deceptive language for their own gain, such as calling fetuses ""children"", abortion ""infanticide, and Pro-Choicers ""Pro-Abortionists"".","watch-out-abortion-lovers-here-comes-governor-palin","11:52 PM","abortion-debates","16"
"09-06-2008","11563",2,"chester","322730","I just don't get it. Not a single one of the profetallifers here can explain why they believe that the government is better able to determine the future of a woman's pregnancy than she herself is. Why do they have such a deep distrust of a woman's ability to make decisions?","chloe","322801","Are you one of those who support nationalized health care and seek to insert bureaucrats between women and their doctors?","watch-out-abortion-lovers-here-comes-governor-palin","05:42 PM","abortion-debates","17"
"09-06-2008","11563",2,"chloe","322801","Are you one of those who support nationalized health care and seek to insert bureaucrats between women and their doctors?","chester","322807","As though one had anything to do with the other. Now try answering the question instead of trying to hijack the thread.","watch-out-abortion-lovers-here-comes-governor-palin","08:27 PM","abortion-debates","18"
"09-06-2008","11563",2,"chester","322807","As though one had anything to do with the other.","chloe","322810","Your objection to outlawing abortion on the grounds that you don't think the government should tell a woman what she should do with her health should lead you be against nationalized health care. With nationalized health care the government will determine the medical treatments women get in their healthcare. They will be making decisions for women in many many many more health issues than pregnancy. I am against national healthcare and believe that women (even men for that matter) can make decisions for themselves regarding their own health. With regard to abortion - which is the killing of a human life - I think there should be a law against killing 8 month old babies who are inside a womb as there are laws against killing 7 month old babies who have been outside of the womb for .0000000000000000000000000000000000000000000000000 00000000000000000000000000000000001 seconds. Just as there are laws against killing 4 year olds, 10 year olds, 46 year olds and so on. As I am sure you know there were laws against abortion in the past before a few judges decided to decisionalize whether or not 40,000,000+ people get to continue living or are allowed to be killed. Personally, I disagree that 3 or 4 judges should be allowed to stand between a baby and their obstetrician and pediatrician. You asked, ""Why do they have such a deep distrust of a woman's ability to make decisions?"" There is no magical deep distrust of a woman's ability to make decisions that exists with those who are pro life. This is a wrong perception. I fear you have been led astray by the liberal feminist pro abortion movement to equate women's rights and feminism with abortion rights. They would have you believe they are one and the same but they are not. Governor Palin is an amazing example and proof that women's rights + feminism are not the same as abortion rights.","watch-out-abortion-lovers-here-comes-governor-palin","09:00 PM","abortion-debates","19"
"09-06-2008","11563",2,"None","None","None","chester","322818","Still bloviating instead of answering the question with a simple yes or no. One more time, do you think that the government is better able to determine the future of a woman's pregnancy than she herself is? A simple yes or no will suffice. If you do attepmt an answer, please spare the forum both the bandwidth and the rips and posts from some profetallifer website.","watch-out-abortion-lovers-here-comes-governor-palin","10:07 PM","abortion-debates","20"
"09-06-2008","11563",2,"chester","322818","Still bloviating instead of answering the question with a simple yes or no. One more time, do you think that the government is better able to determine the future of a woman's pregnancy than she herself is? A simple yes or no will suffice. If you do attepmt an answer, please spare the forum both the bandwidth and the rips and posts from some profetallifer website.","VTCruiser","322822","why havent you answered Chloe's question?? ""Are you one of those who support nationalized health care and seek to insert bureaucrats between women and their doctors?""","watch-out-abortion-lovers-here-comes-governor-palin","11:05 PM","abortion-debates","21"
"09-07-2008","11563",2,"VTCruiser","322822","why havent you answered Chloe's question?? ""Are you one of those who support nationalized health care and seek to insert bureaucrats between women and their doctors?""","chester","322831","Because it is not germane to the topic under discussion and is nothing more than an attempt to hijack the forum into a discussion that is already present in another thread. If after chloe answers my question, which was first, she wants to have that discussion in the appropriate forum, I will be more than happy to oblige her.","watch-out-abortion-lovers-here-comes-governor-palin","07:59 AM","abortion-debates","23"
"09-07-2008","11563",2,"None","None","None","chester","322837","So now there are two of you who can't/won't answer my simple question. For other profetallifers out there with more courage than either chloe or archie, maybe you will try to answer. Do you think that the government is better able to determine the future of a woman's pregnancy than she herself is? A one-word answer will suffice.","watch-out-abortion-lovers-here-comes-governor-palin","09:25 AM","abortion-debates","25"
"09-07-2008","11563",2,"None","None","None","Galactababe","322851","Your question, Cappy , is disingenuous. Why? Because you seek to entrap Chloe into saying, ""Well of course the woman, not the government"", when you are advocating for that SAME government to have complete control over the woman's medical care. Give the government that power, what is to stop it from mandatory sterilization as the next step ""for the greater good""?","watch-out-abortion-lovers-here-comes-governor-palin","12:48 PM","abortion-debates","26"
"09-07-2008","11563",2,"Galactababe","322851","Your question, Cappy , is disingenuous. Why? Because you seek to entrap Chloe into saying, ""Well of course the woman, not the government"", when you are advocating for that SAME government to have complete control over the woman's medical care. Give the government that power, what is to stop it from mandatory sterilization as the next step ""for the greater good""?","Shooterandproud","322856","Now I have a question for you. Is government medicare better than no medicare?","watch-out-abortion-lovers-here-comes-governor-palin","02:10 PM","abortion-debates","27"
"09-07-2008","11563",2,"Galactababe","322851","Your question, Cappy , is disingenuous. Why? Because you seek to entrap Chloe into saying, ""Well of course the woman, not the government"", when you are advocating for that SAME government to have complete control over the woman's medical care. Give the government that power, what is to stop it from mandatory sterilization as the next step ""for the greater good""?","chester","322886","You make #3, babe. Oh, I forgot, you're firmly on the pro-choice side. Why won't any of you profetallifers answer a simple question?","watch-out-abortion-lovers-here-comes-governor-palin","04:32 PM","abortion-debates","28"
"09-07-2008","11563",2,"chester","322837","For other profetallifers out there with more courage than either chloe or archie, maybe you will try to answer. Do you think that the government is better able to determine the future of a woman's pregnancy than she herself is? A one-word answer will suffice.","chloe","322899","Oh brother. Your question is quite vague. With respect to the medical management and care of a woman during pregnancy I think the woman (less so) and her physician (more so) are best qualified and informed to manage the pregnancy. I don't think a Washington bureaucrat should be placed between the woman and her doctor which is what will happen when nationalized healthcare is instituted. With respect to whether I think the government (a representation of the people of America) should not allow someone a choice to terminate their pregnancy - I think our society should not afford one this choice. There is no such thing as a universal right to ones own body. Oh brother.","watch-out-abortion-lovers-here-comes-governor-palin","05:21 PM","abortion-debates","29"
"09-07-2008","11563",2,"chloe","322899","With respect to whether I think the government (a representation of the people of America) should not allow someone a choice to terminate their pregnancy - I think our society should not afford one this choice. There is no such thing as a universal right to ones own body.","chester","322904","On what legal theory do you rest your idea that ""There is no such thing as a universal right to ones own body.""? OK then. Since ""society should not afford one this choice"", just what sanction do you believe is appropriate for those who ""choose to terminate their pregnanc[ies]""? Surely you accept the idea that, should society choose to ""not afford one this choice"", there must be a way for society to enforce its will on those who defy it. So then, please lay out for the forum the nature and extent of your proposed sanction, and, while you are at it, tell the forum against whom you think it should apply - the now no longer pregnant woman, her physician, or others. Remember that if the profetallifers consider the ""unborn"" to be the most innocent members of society, there must be a sanction that serves as both punishment in THIS case and a deterrent in FUTURE ones.","watch-out-abortion-lovers-here-comes-governor-palin","06:01 PM","abortion-debates","30"
"09-07-2008","11563",3,"Chloe","None","I think our society should not afford one this choice. There is no such thing as a universal right to ones own body.","Shooterandproud","322933","You think that 1.4 million more people flooding the adoption system and polluting the earth is good for society? Guess again. That's a good one.","watch-out-abortion-lovers-here-comes-governor-palin","09:32 PM","abortion-debates","31"
"09-08-2008","11563",3,"Galactababe","323000","Why don't you tell me when the soul enters that human life?","sinjin","323005","How many fairies can dance on the head of a pin?","watch-out-abortion-lovers-here-comes-governor-palin","04:15 PM","abortion-debates","33"
"09-08-2008","11563",3,"Galactababe","323000","Shooterandproud: Please tell your health teacher that he is a XXXXX. Sperm by itself, is not a human life. An egg by itself is not a human life. It is only when the two join and CONCEPTION takes place that a human life begins. Why don't you tell me when the soul enters that human life? Or is that question above your pay scale?","Shooterandproud","323025","If sperm is not a human life then what is it? A toad life? I'll tell my teacher she is an idiot once you even take a health class.","watch-out-abortion-lovers-here-comes-governor-palin","06:56 PM","abortion-debates","34"
"09-08-2008","11563",3,"Galactababe","323000","Shooterandproud: Please tell your health teacher that he is a XXXXX. Sperm by itself, is not a human life. An egg by itself is not a human life. It is only when the two join and CONCEPTION takes place that a human life begins. Why don't you tell me when the soul enters that human life? Or is that question above your pay scale?","Archangel","323030","And the evidence of that is that by themselves they will never grow into a person at all. But once the female egg is fertilized by a mans sperm, vwala, it grows into not only a sentient being, but a miniature person who reflects the physical traits of both of his parents. A truly remarkable creation. The inevitable answer you will get is that atheists don't believe in the soul. But the answer is, that where there is life in that growing fertilized egg, so is there a soul at conception.","watch-out-abortion-lovers-here-comes-governor-palin","07:09 PM","abortion-debates","35"
"09-08-2008","11563",3,"Archangel","323030","The inevitable answer you will get is that atheists don't believe in the soul. But the answer is, that where there is life in that growing fertilized egg, so is there a soul at conception.","Penfold","323034","The potential exists in the sperm and the egg, prior to fertilisation. Where does the ""soul"" come from?","watch-out-abortion-lovers-here-comes-governor-palin","07:19 PM","abortion-debates","36"
"09-08-2008","11563",3,"Archangel","323030","And the evidence of that is that by themselves they will never grow into a person at all. But once the female egg is fertilized by a mans sperm, vwala, it grows into not only a sentient being, but a miniature person who reflects the physical traits of both of his parents. A truly remarkable creation. The inevitable answer you will get is that atheists don't believe in the soul. But the answer is, that where there is life in that growing fertilized egg, so is there a soul at conception.","Shooterandproud","323036","A sperm cannot accomplish this without an egg. A fertilized egg cannot accomplish this without a uterus. I can make a man out of clay that physically resembles a person, however physical resemblance is not what makes a person a person. Its what's on the inside. A ""soul"" is a mental existence. There is no ""soul"" until the third trimester.","watch-out-abortion-lovers-here-comes-governor-palin","07:38 PM","abortion-debates","37"
"09-09-2008","11563",3,"Galactababe","323061","Shooterandproud: I've taken a health class. More than that, I've given birth to two wonderful children and understand biology. Sperm contains HALF of the DNA necessary to combine with the other HALF of the DNA contained within a female's egg to produce human life. That new DOUBLE-helix of life, with all of its unique individual genetic markers, cannot occur without input from male and female. Sperm is not clay, but it is not viable life. Now if you want to get into the issue of human cloning and whether it is possible to clone a human being from sperm alone, I think you are entering extremely controversial and dangerous ground, completely different from abortion.","chester","323068","I'm not sure that your point is correct. ""Soul"" is a theological concept, not a legal one. Faiths can and do differ as to whether or not such a thing exists at all. Read carefully, that was the crux on Mr. Justice Blackmun's original opinion on Roe . He argued quite elegantly that, in light of the theological differences among faiths, it was not the job of the civil law to favor one theory over another, and that, therfore, the decision must needs be left to the pregnant woman. Since you are one who clearly favors the pro-choice position, I respect both: A) The fact that you believe that there is such a thing as a ""souls"" B) That it exists from the moment of conception C) That, for you the preferred choice is that women carry their pregnancies to term and D) You respect the right of other women to make other choices. Those points are, in a nutshell, the essence of the pro-choice position.","watch-out-abortion-lovers-here-comes-governor-palin","09:01 AM","abortion-debates","40"
"09-09-2008","11563",3,"Galactababe","323074","Chester: Ah, well that's because lawyers are the exception to the rule because THEY HAVE NO SOULS! Kidding aside, the FACT that the soul is a theological concept, and I will grant you that, does not give lawyers/judges the right to rule in favor of those who wish to destroy a soul, as they can neither prove nor disprove its existence. Just because the pregnant mother may not believe in a soul, doesn't mean it doesn't exist.","chester","323076","Neither does it give lawyers/judges the right to take into account the fact that there are religious differences of opinion on the topic. As John F. Kennedy's confessor, Richard Cardinal Cushing of Boston said, ""Any faith which depends on the force of law to compel obedience to its tenets is weak."" Mr. Justice Blackmun had it spot on in Roe when he said that the law must needs not intrude on questions of theology. Therefore he concluded quite rightly, that this was a matter for each woman to choose for herself. But you knew that and have stated it on this forum previously.","watch-out-abortion-lovers-here-comes-governor-palin","10:44 AM","abortion-debates","42"
"09-09-2008","11563",3,"Galactababe","320577","McCain wants Roe vs. Wade overturned. I agree. At the very least, the age of ""viability"" should be revised downwards to 20 weeks.","chester","323077","Babe, Here's just one example of your commitment to the pro-choice side of the debate.","watch-out-abortion-lovers-here-comes-governor-palin","10:50 AM","abortion-debates","43"
"09-09-2008","11563",3,"Galactababe","323085","Chester: WRONG! Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof ; Abortion denies the growing human life the right to free exercise thereof when it becomes of age to be cognizant of religion. Why? Because it will never ""come of age"". I remember what I said. AT THE VERY LEAST . That doesn't mean I don't believe that life begins at conception, but that in order to reach some sort of compromise, the law as it stands needs to be overturned or revised to favor life more than it does currently.","chester","323086","Please, babe, your second paragraph is a real stretch. Surely even you recognize that. Surely you also recognize that ANY deviation from the ""no abortion under any circumstances"" mantra espoused by Palin, Randall Terry, and others is a pro-choice position.","watch-out-abortion-lovers-here-comes-governor-palin","12:11 PM","abortion-debates","45"
