"Date","Dialog_Turn","Discussion_Id","Post_Counter","Quote_Author","Quote_Id","Quote_Text","Response_Author","Response_Id","Response_Text","Subtopic","Time","Topic","Word_Count"
"03-28-2009",1,"12391","232","Chuz Life","348204","Thanks, Jims... This is the type summary/ short essay I have been hoping for. I have been away from things (attending to some family matters) and I had almost completely missed this one. I don't know how anyone could possibly disagree with this point of view in any way. It will be interesting to read the responses to it,... which I am doing now. Thanks! And welcome!","chester","348209","YOU may not ""..know how anyone could possibly disagree with this point of view in any way."", but, since it is simply a metaphysical question, there are any number of ""correct"" answers. Why don't we make a deal. None of us will try to force our ""correct"" answer on you, just as long as you do not try to force your ""correct"" answer on any of us. Deal?","when-does-human-individuals-life-begin","05:07 PM","abortion-debates","86"
"03-28-2009",1,"12391","233","chester","348209","YOU may not ""..know how anyone could possibly disagree with this point of view in any way."", but, since it is simply a metaphysical question, there are any number of ""correct"" answers. Why don't we make a deal. None of us will try to force our ""correct"" answer on you, just as long as you do not try to force your ""correct"" answer on any of us. Deal?","Chuz Life","348215","The only force (power) I have is in my ability to observe and to communicate those observations to others. The Constitution says what it says (1st. amendment right to speak, assemble and petition the government included) The biological facts surrounding human reproduction are what they are and the values that we as a society are willing to place upon all of it is ever shifting. In the end, someone's values will be reflected in our laws. Be it yours, mine or someone elses. Rather than seeing it as one persons views being forced upon another,... I see it as a reflection of the values of the people as a whole. Values that we are all free to challenge, discuss and petition for and against equally under the 1st. Amendment. I'll not make any ""deals"" which run contrary to my 1st. Amendment rights.","when-does-human-individuals-life-begin","07:07 PM","abortion-debates","164"
"03-28-2009",1,"12391","234","Chuz Life","348215","The only force (power) I have is in my ability to observe and to communicate those observations to others. The Constitution says what it says (1st. amendment right to speak, assemble and petition the government included) The biological facts surrounding human reproduction are what they are and the values that we as a society are willing to place upon all of it is ever shifting. In the end, someone's values will be reflected in our laws. Be it yours, mine or someone elses. Rather than seeing it as one persons views being forced upon another,... I see it as a reflection of the values of the people as a whole. Values that we are all free to challenge, discuss and petition for and against equally under the 1st. Amendment. I'll not make any ""deals"" which run contrary to my 1st. Amendment rights.","chester","348221","Interesting response. I like the thinking here. If you are saying that each person must find her/his own truth, I could not agree more.","when-does-human-individuals-life-begin","10:32 PM","abortion-debates","30"
"03-28-2009",1,"12391","235","chester","348221","Interesting response. I like the thinking here. If you are saying that each person must find her/his own truth, I could not agree more.","Chuz Life","348222","I'm saying a little bit more than that. Yes, I agree that all people must be free to seek their own truths in life. But, no-one has the right to infringe upon the rights of others in their quests for their truth, convienience or anything else. So, it's not quite as simple as you would like it to be.","when-does-human-individuals-life-begin","11:03 PM","abortion-debates","67"
"03-29-2009",1,"12391","236","Chuz Life","348222","I'm saying a little bit more than that. Yes, I agree that all people must be free to seek their own truths in life. But, no-one has the right to infringe upon the rights of others in their quests for their truth, convienience or anything else. So, it's not quite as simple as you would like it to be.","chester","348234","Exactly so!! Therefore, there should be no law whatsoever regarding a woman's right to choose whether or not to take her pregnancy to term. If the profetallifers are correct, moral persuasion should suffice; if not, they have lost the battle in the marketplace of metaphysical concepts. Establishing law in the are is symbolic of their loss in the clash of ideas. As Richard Cardinal Cushing, John F. Kennedy's confessor once said, ""Any faith which needs the force of law to enforce its tenets is not worthy of the name.""","when-does-human-individuals-life-begin","09:54 AM","abortion-debates","102"
"03-29-2009",1,"12391","237","chester","348234","Exactly so!! Therefore, there should be no law whatsoever regarding a woman's right to choose whether or not to take her pregnancy to term. If the profetallifers are correct, moral persuasion should suffice; if not, they have lost the battle in the marketplace of metaphysical concepts. Establishing law in the are is symbolic of their loss in the clash of ideas. As Richard Cardinal Cushing, John F. Kennedy's confessor once said, ""Any faith which needs the force of law to enforce its tenets is not worthy of the name.""","Chuz Life","348239","I see,.. so you must agree that Roe v. Wade is un-Constitutional law,.... You just think it's un-constitutional because it doesn't give a woman full control over whether or not she wants to carry to term. Thanks for holding true to your positions, Chester. The contrast and clarity you are lending to this issue is priceless!","when-does-human-individuals-life-begin","11:51 AM","abortion-debates","64"
"03-29-2009",1,"12391","238","Chuz Life","348239","I see,.. so you must agree that Roe v. Wade is un-Constitutional law,.... You just think it's un-constitutional because it doesn't give a woman full control over whether or not she wants to carry to term. Thanks for holding true to your positions, Chester. The contrast and clarity you are lending to this issue is priceless!","chester","348244","Not at all. RvW was a masterpiece of judicial restarint. If you have read it, you know this. Mr. Justice Blackmun went out of his way to say that the Government will not be put in the position of picking and choosing among the varying metaphysical answers to the question of the beginning of life and therefore leaves the question in the hands of each pregnant woman to choose the answer that is most congruent with her own answer to the question. Did the decision go far enough? No, but it's a good starting point. It was about as far as the Court felt it needed to go in 1973. I would as strongly oppose a law or decision which requires abortion as I do one which would outlaw it. The government which today may prohibit abortion may well be the same government which tomorrow will require it. The government which claims to power to do either violates human rights.","when-does-human-individuals-life-begin","12:42 PM","abortion-debates","172"
"03-29-2009",1,"12391","239","chester","348244","Not at all. RvW was a masterpiece of judicial restarint. If you have read it, you know this. Mr. Justice Blackmun went out of his way to say that the Government will not be put in the position of picking and choosing among the varying metaphysical answers to the question of the beginning of life and therefore leaves the question in the hands of each pregnant woman to choose the answer that is most congruent with her own answer to the question. Did the decision go far enough? No, but it's a good starting point. It was about as far as the Court felt it needed to go in 1973. I would as strongly oppose a law or decision which requires abortion as I do one which would outlaw it. The government which today may prohibit abortion may well be the same government which tomorrow will require it. The government which claims to power to do either violates human rights.","Chuz Life","348245","Yet, when we live under a Constitution which states that a ""person's"" rights can not be denied except by due process,... it is inevitable that someone's definition of when a ""persons"" life begins will have to prevail,... incidently, I disagree with your take on the ""metaphysical"" aspects. The one thing we all have in common as ""human beings"" is our biology,... The logic would follow that a biological ""persons"" rights should begin when their biological life does. the metaphysics.","when-does-human-individuals-life-begin","01:00 PM","abortion-debates","100"
"03-02-2009",2,"12391","91","sinjin","345680","Why is the right to terminate a brain dead coma patient given to the next of kin?","Chuz Life","345686","I thought that being ""brain dead"" means they are already dead. Nothing (no-one) to terminate.","when-does-human-individuals-life-begin","01:23 PM","abortion-debates","21"
"03-02-2009",2,"12391","93","Chuz Life","345686","I thought that being ""brain dead"" means they are already dead. Nothing (no-one) to terminate.","sinjin","345696","And yet the ""individual organism"" lives. I believe prior to some point in fetal development there's likewise ""no one"" to terminate. That was my point.","when-does-human-individuals-life-begin","01:43 PM","abortion-debates","32"
"03-02-2009",2,"12391","95","sinjin","345696","And yet the ""individual organism"" lives. I believe prior to some point in fetal development there's likewise ""no one"" to terminate. That was my point.","Chuz Life","345701","I don't know where you got your definition of ""brain death"" from. Dead is dead.","when-does-human-individuals-life-begin","01:50 PM","abortion-debates","19"
"03-02-2009",2,"12391","96","Chuz Life","345701","I don't know where you got your definition of ""brain death"" from. Dead is dead.","sinjin","345705","A respirator can keep your body alive indefinitely without any brain activity.","when-does-human-individuals-life-begin","02:10 PM","abortion-debates","13"
"03-02-2009",2,"12391","97","sinjin","345705","A respirator can keep your body alive indefinitely without any brain activity.","Chuz Life","345708","True. But you said ""the organism is still alive."" Perhaps if you had been through some of the first hand experiences that I have been through recently, you would more appreciate the significant differences between being ""alive"" and just being ""kept alive.""","when-does-human-individuals-life-begin","02:13 PM","abortion-debates","52"
