"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"01-24-2010","13829",1,"None","None","None","Seer travis","387253","One of the most basic reasons why society promotes child abuse murder via abortion is to assauge the cathartic rage, frustrations, hate etc of female citizen-slaves. The Institute for Psychohistory reveals the child as a poison-container. Dont respond if you dont read the links. Some studies have outright claimed that abortion lowers crime, and there is Truth-based legitimacy to these studies. Interestingly, where abortion is legalized, crime rates drop over decades. While it is hard to precisely pinpoint causes, I have no doubt that abortion acts as a legal violence outlet that would otherwise end up in other violence outlets deemed to be crimes by society.","crime-abortion-relation","04:16 AM","abortion-debates","1"
"01-24-2010","13829",1,"None","None","None","gansao","387258","Psychohistory is undisciplined and speculative and therefore worthless .","crime-abortion-relation","05:07 AM","abortion-debates","2"
"01-24-2010","13829",1,"Seer travis","387253","One of the most basic reasons why society promotes child abuse murder via abortion is to assauge the cathartic rage, frustrations, hate etc of female citizen-slaves. I have no doubt that abortion acts as a legal violence outlet that would otherwise end up in other violence outlets deemed to be crimes by society.","gansao","387261","Completely speculative nonsense.","crime-abortion-relation","05:26 AM","abortion-debates","3"
"12-07-2010","13829",1,"None","None","None","fzgrums","418640","i do not agree with this","crime-abortion-relation","09:57 AM","abortion-debates","4"
"01-08-2011","13829",1,"Seer travis","387253","One of the most basic reasons why society promotes child abuse murder via abortion is to assauge the cathartic rage, frustrations, hate etc of female citizen-slaves.","kowalskil","421605","I would say ""certain people,"" rather than the entire society. Right? I do not belog to this group. Biological parents of our daughter decided against abortion and we are thankful to them for this. Now Ellie has her own 5 months old baby.","crime-abortion-relation","05:05 PM","abortion-debates","5"
"02-14-2011","13829",1,"Seer travis","387253","One of the most basic reasons why society promotes child abuse murder via abortion is to assauge the cathartic rage, frustrations, hate etc of female citizen-slaves... Some studies have outright claimed that abortion lowers crime, and there is Truth-based legitimacy to these studies. Interestingly, where abortion is legalized, crime rates drop over decades. While it is hard to precisely pinpoint causes, I have no doubt that abortion acts as a legal violence outlet that would otherwise end up in other violence outlets deemed to be crimes by society.","amirsdaddy","424092","While this may be a legitimate claim to the reasons why abortion occurs, I'm not sure if this is a legitimate argument against abortion. I'm pro-life. And if I'm unconvinced of this being a legitimate argument against abortion, imagine what the vast majority of pro-choice supporters would think. I don't intend in any way to denigrate your position. In fact, I've read many of your posts on the topic of abortion and you and I are on the same terms As far as religion is concerned, we vary vastly, but that's another topic altogether, lol. I've seen first-hand that the religious argument against abortion is utterly useless against those who don't believe or passively believe in the notion of God. But I do believe that we as sensible, rational, reasonable and logical human beings can present an argument that shows that abortion is, at its essence, the willful taking of a life of another human being. Some would call that murder. Others will dress it up with fancy misdirection. But in the end, it is what it is. I think the question that this particular post of yours begs is more along the lines of ""Why do we as a society (in general) think of this as something that is not only acceptable but sanctioned and funded by us? Whether it stems from some pent-up aggression of enslaved women (which very likely could be the case for a very large portion) or for some other reason..."" I think that's really what we need to get to the root of. How did we become such a ""civilized, rational and dominant"" species in this world when we show no disregard for the most innocent of all of us and even spurn our own future by allowing this to continue? And also, anybody who has ever taken a science course, especially a social science, understands that correlation DOES NOT prove causation. It makes it even more irrelevant when the correlation doesn't happen within a year or even a few short years but over 20+ years in which any number of circumstances could have caused a decrease in crime. Just food for thought and one reason not to put total faith in statistics. Statistics themselves aren't even factual when there is an inherent bias in all surveys and methods of obtaining statistics and then they can be further misconstrued, misrepresented, misinforming and flat-out lies when presented in certain ways. Not saying that you are misrepresenting them, I'm saying the people who conducted the studies and published the results could very well be misrepresenting them. Thanks for the post, Travis!","crime-abortion-relation","10:19 PM","abortion-debates","6"
"06-24-2011","13829",1,"None","None","None","hwyangel","433038","I laughed so hard that I almost peed my pants! Killer pregos! LMAO We should ban kitchen knives. lol","crime-abortion-relation","12:57 PM","abortion-debates","7"
"10-13-2011","13829",1,"None","None","None","Yerominia","440644","Abortion is a crime .. it is like killing a human being and it should be considered equivalent to that..","crime-abortion-relation","09:39 AM","abortion-debates","8"
"10-13-2011","13829",1,"Yerominia","440644","Abortion is a crime .. it is like killing a human being and it should be considered equivalent to that..","theolddog","440649","Thanks for agreeing that there is a qualitative difference between a person and a fetus.","crime-abortion-relation","12:33 PM","abortion-debates","9"
"10-13-2011","13829",1,"theolddog","440649","Thanks for agreeing that there is a qualitative difference between a person and a fetus.","Easyrider","440657","Abortion is the killing of an innocent human being. And the people who do that will have to answer to God in due time.","crime-abortion-relation","05:28 PM","abortion-debates","10"
"10-13-2011","13829",1,"Easyrider","440657","Abortion is the killing of an innocent human being. And the people who do that will have to answer to God in due time.","Xcaliber","440660","If God existed he would be responsible for that Abortion so why would the people have to pay for something that God knew would happen?","crime-abortion-relation","05:38 PM","abortion-debates","11"
"10-13-2011","13829",1,"Easyrider","440657","Abortion is the killing of an innocent human being. And the people who do that will have to answer to God in due time.","theolddog","440665","Just which god might that be? Yahweh? Krishna? he Great Spirit? Allah? Please specify.","crime-abortion-relation","06:33 PM","abortion-debates","12"
"10-14-2011","13829",1,"theolddog","440665","Just which god might that be? Yahweh? Krishna? he Great Spirit? Allah? Please specify.","Easyrider","440677","The Great God of Abraham, Isaac, and Jacob. The Lord Jesus Christ. The older dog.","crime-abortion-relation","05:49 AM","abortion-debates","13"
"10-14-2011","13829",1,"Easyrider","440677","The Great God of Abraham, Isaac, and Jacob. The Lord Jesus Christ. The older dog.","theolddog","440732","And just exactly WHY should one particular religious faith determine the civil law? We are a multireligious nation, and there are others who are of NO religious faith. Why should their values and behavior be dictated by something they do not accept as Gospel (Meaning intended!)P","crime-abortion-relation","03:47 PM","abortion-debates","14"
"10-14-2011","13829",1,"theolddog","440649","Thanks for agreeing that there is a qualitative difference between a person and a fetus.","gansao","440737","When does a fetus become a 'person'?","crime-abortion-relation","04:22 PM","abortion-debates","15"
"10-14-2011","13829",2,"gansao","440737","When does a fetus become a 'person'?","theolddog","440745","The answer to that question depends very much upon which system of belief, ethics, and morals one subscribes to. For most Jews, it is at crowning during the process of birth. For the RC sect of Christians, it is at conception. Other Christian sects place it at different points along that continuum. This leads inexorably to the conclusion that there is NO one ""right"" answer. as a result, the proper course for the law is to remain silent and to leave the choice where it properly belongs - with each pregnant woman.","crime-abortion-relation","09:28 PM","abortion-debates","16"
"10-15-2011","13829",2,"theolddog","440732","And just exactly WHY should one particular religious faith determine the civil law? We are a multireligious nation, and there are others who are of NO religious faith. Why should their values and behavior be dictated by something they do not accept as Gospel (Meaning intended!)P","Easyrider","440749","You mean an unborn baby is not a human being? What were you? As far as religion goes, this country wasn't founded on Buddhism or atheism, nor are the majority of Americans today anything other than Christians. We have just as much right to lobby for what we believe is right as do the imbeciles at the Wall Street demonstrations. Don't kill the innocent unborn for the sins or convenience of the parents.","crime-abortion-relation","12:12 AM","abortion-debates","17"
"10-15-2011","13829",2,"theolddog","440745","The answer to that question depends very much upon which system of belief, ethics, and morals one subscribes to. For most Jews, it is at crowning during the process of birth. For the RC sect of Christians, it is at conception. Other Christian sects place it at different points along that continuum. This leads inexorably to the conclusion that there is NO one ""right"" answer. as a result, the proper course for the law is to remain silent and to leave the choice where it properly belongs - with each pregnant woman.","Freedom","440757","No one has the answer? My skin crawls with such wanton retreat to subjectivism. There is no morality in subjectivism, it destroys it like cyanide destroys life; no moral principle can survive it's application.. observe: What makes a person olddog?","crime-abortion-relation","02:19 AM","abortion-debates","18"
"10-15-2011","13829",2,"Yerominia","440644","Abortion is a crime .. it is like killing a human being and it should be considered equivalent to that..","jcsites","440759","I definitely agree with you, and since when that abortion is the solution to an increasing crime rate. It is a crime committed just before a human being is born. Taking the life of an unborn child is the greatest crime than to put a criminal to prison.","crime-abortion-relation","03:01 AM","abortion-debates","19"
