"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"03-02-2012","16187",1,"jyoshu","450155","Killing babies no different from abortion, experts say - Telegraph The ""pro-choice"" position taken to its natural conclusions. The fact this is even being discussed is frightening stuff.","sinjin","450161","We take person to mean an individual who is capable of attributing to her own existence some (at least) basic value such that being deprived of this existence represents a loss to her. sinjin - This definition of person is not one I've heard before nor one with which I agree.","killing-babies-no-different-abortion-experts-say","01:30 PM","abortion-debates","2"
"03-02-2012","16187",1,"None","None","None","simone","450164","Isn't the UK Telegraph something of a sensationalist rag?","killing-babies-no-different-abortion-experts-say","01:41 PM","abortion-debates","3"
"03-02-2012","16187",1,"simone","450164","Isn't the UK Telegraph something of a sensationalist rag?","gansao","450170","The telegraph is reporting it. These people are not made up. No doubt you agree with them Simone Catch the leftie twist on the guardians article... http://www.guardian.co.uk/world/2012...at-free-speech","killing-babies-no-different-abortion-experts-say","02:08 PM","abortion-debates","4"
"03-02-2012","16187",1,"None","None","None","zombiemeathead","450179","yeah, except the babies are not parasites living off a woman's body and fetuses are. big difference.","killing-babies-no-different-abortion-experts-say","04:00 PM","abortion-debates","5"
"03-02-2012","16187",1,"zombiemeathead","450179","yeah, except the babies are not parasites living off a woman's body and fetuses are. big difference.","gansao","450185","So a baby that feeds off the teat of a mother is not a ' parasite' whereas a fetus that feeds off the placenta is a parasite?","killing-babies-no-different-abortion-experts-say","04:22 PM","abortion-debates","6"
"04-24-2012","16187",1,"None","None","None","janeswan","453419","Well that is no surprise; the statement is true when you take someones life without a doubt that is killing. Think about it, life actually started during fertilization stage which means unborn child is human being now; have rights. Thus, abortion is not different from killing no matter in what state they are now.","killing-babies-no-different-abortion-experts-say","11:52 PM","abortion-debates","7"
"04-25-2012","16187",1,"janeswan","453419","Well that is no surprise; the statement is true when you take someones life without a doubt that is killing. Think about it, life actually started during fertilization stage which means unborn child is human being now; have rights. Thus, abortion is not different from killing no matter in what state they are now.","sinjin","453460","I disagree. A fertilized human ovum has a long way to go before it becomes a sentient ""being"". Abortion is indeed killing, but not the killing of a human being; a.k.a. person. There is no chicken in an omelet.","killing-babies-no-different-abortion-experts-say","11:00 AM","abortion-debates","8"
"04-25-2012","16187",1,"sinjin","453460","I disagree. A fertilized human ovum has a long way to go before it becomes a sentient ""being"". Abortion is indeed killing, but not the killing of a human being; a.k.a. person. There is no chicken in an omelet.","Freedom","453489","Eggs used for cooking aren't fertilized. Jyoshu is correct, this is the natural evolution because at no point did any pro-deathers ever stop and consider by what principle they were deciding who has a right to life and who does not except whether they wanted them alive or not. None of the superficial excuses were rational, and indeed without a comprehensive moral theory there was no hope of it. If there is anything the left fears it is the concept of a comprehensive moral theory. If sensation was sufficient then animals would have a right to life. If lack of conscious thought made it OK to kill then killing a sleeping person would be alright. If it is permissible to kill the child because it is dependent on you than you would be able to kill them up until they got a job.","killing-babies-no-different-abortion-experts-say","02:54 PM","abortion-debates","9"
"04-25-2012","16187",1,"Freedom","453489","Eggs used for cooking aren't fertilized. Jyoshu is correct, this is the natural evolution because at no point did any pro-deathers ever stop and consider by what principle they were deciding who has a right to life and who does not except whether they wanted them alive or not. None of the superficial excuses were rational, and indeed without a comprehensive moral theory there was no hope of it. If there is anything the left fears it is the concept of a comprehensive moral theory. If sensation was sufficient then animals would have a right to life. If lack of conscious thought made it OK to kill then killing a sleeping person would be alright. If it is permissible to kill the child because it is dependent on you than you would be able to kill them up until they got a job.","sinjin","453490","Fertilized eggs are eaten all the time. Moral theory untehtered to a religious dogma is fine with me. There's a world of difference between someone sleeping or in a coma and someone brain dead. What child?","killing-babies-no-different-abortion-experts-say","03:36 PM","abortion-debates","10"
"04-25-2012","16187",1,"sinjin","453490","Fertilized eggs are eaten all the time. Moral theory untehtered to a religious dogma is fine with me. There's a world of difference between someone sleeping or in a coma and someone brain dead. What child?","Freedom","453510","So are chickens. Then you would be a rare but rational individual. Subjectivism infects so very many. Is that where you would draw the line? Brain dead? because as soon as there is a brain there is activity. Any child, including the ones killed before birth.","killing-babies-no-different-abortion-experts-say","05:06 PM","abortion-debates","11"
