"Dialog_Turn","Date","Discussion_Id","Quote_Author","Quote_Id","Quote_Text","Response_Author","Response_Id","Response_Text","Subtopic","Topic","Post_Counter","Time"
"","06-17-2012","16277","Easyrider","457181","I'll bet the liberals wish they had those 50 million or so individuals back to pay taxes to support Obama's drunken-sailor spending sprees. And I'll bet America could have used a few more teachers, scientists, and even preachers so as to save a bunch of knot-heads from going to Hell.","pappillion001","457189","Let me preface this with I don't think abortion is a type of birth control. Late term abortions need to have a really good reason to occur, not because the mother couldn't make up her mind or is having a bad day. I do believe that given the reality of what having a child means to both the young or unwed or both or even old and married or any combination that it isn't the place of some unknown idealists who feel their views are proper for everyone else in every set of circumstances. If you don't believe in abortion then don't have one. Be happy that we are far more compassionate that God when determining what a grounds for abortion and the methods used in its implementation. The fact of the matter is of those 50 million roughly half would be unable to pay taxes due to physical or economic reasons, examples causing this range from physical disabilities and incarceration to poverty and lack of education. 3 of the 4 mentioned are prevalent among young unwed mothers, followed closely by unwed or single mothers. Many conservatives yell that a women cannot have an abortion, while at the same time yelling that social programs that are in place to help mothers deal with the problems having a child creates are unfair and the recipients undeserving. It seems only fair that if you are going to make her have the baby that you should help pay for it. Otherwise make it your business when it involves you. You can also think in terms of self survival, how many of those 50 million do you think would have become Christian and how many atheist or something non-christian? Just a reminder the Bible has rules about when an abortion can occur and God has no problem with it being done up until the day the child is born.","gift-god","abortion-debates","7","11:15 AM"
"","06-17-2012","16277","pappillion001","457189","Just a reminder the Bible has rules about when an abortion can occur and God has no problem with it being done up until the day the child is born.","Easyrider","457190","Please supply your scriptural basis for that.","gift-god","abortion-debates","8","11:39 AM"
"","06-17-2012","16277","Easyrider","457190","Please supply your scriptural basis for that.","pappillion001","457215","Numbers 5 A husband can demand his wife to be subject to the Jealousy law at any time and he has only to say he suspects. No evidence or proof is required","gift-god","abortion-debates","9","05:39 PM"
"","06-17-2012","16277","pappillion001","457215","Numbers 5 A husband can demand his wife to be subject to the Jealousy law at any time and he has only to say he suspects. No evidence or proof is required","Easyrider","457222","This is a Judgment of God against an issue of possible adultery. Outside of God's Judgment in cases of evildoing, I don't see God approving of self-serving abortion.","gift-god","abortion-debates","10","07:53 PM"
"","06-18-2012","16277","Easyrider","457222","This is a Judgment of God against an issue of possible adultery. Outside of God's Judgment in cases of evildoing, I don't see God approving of self-serving abortion.","pappillion001","457234","Yes that is why it is called the Jealosy Law, because because it is only acted upon in cases of adultry or if the husband thinks there might have been or if he wonders if she would or if he just feels like checking to see if she did The point is there exists circumstances where God says what you claim as a human being with a right to life in all cases, including rape and incest does not. Christians pick and choose what rules to follow and to what degree they should be enforced.","gift-god","abortion-debates","11","04:18 AM"
"","06-18-2012","16277","pappillion001","457234","The point is there exists circumstances where God says what you claim as a human being with a right to life in all cases, including rape and incest does not. Christians pick and choose what rules to follow and to what degree they should be enforced.","Easyrider","457240","<Chuckle> That's like saying God is okay with people murdering one another just because he dispenses divine justice on occasion. You've got nothing.","gift-god","abortion-debates","12","08:43 AM"
"","07-01-2012","16277","Easyrider","457240","<Chuckle> That's like saying God is okay with people murdering one another just because he dispenses divine justice on occasion. You've got nothing.","pappillion001","458144","Chuckle, he is Would you like to get back to my point? Christian doctrine is used as a basis for the no exception position on abortion, but the bible permits the murder of the fetus without regard for the stage of pregnancy. The choice does not belong to the woman, but her husband and he is without blame no matter the outcome. He is not required to have any evidence nor is he limited to how often he may require his wife to submit to the procedure. Given the conditions under which an abortion can be performed under current law why is it your perceived right to determine something as personal as the decision to keep a pregnancy, while at the same time vehemently opposed to education that helps deter pregnancy, contraception which does the same and financial aid for those that follow your desires. You just make no sense.","gift-god","abortion-debates","13","02:17 AM"
"","07-01-2012","16277","pappillion001","458144","Chuckle, he is Would you like to get back to my point? Christian doctrine is used as a basis for the no exception position on abortion, but the bible permits the murder of the fetus without regard for the stage of pregnancy. The choice does not belong to the woman, but her husband and he is without blame no matter the outcome. He is not required to have any evidence nor is he limited to how often he may require his wife to submit to the procedure. Given the conditions under which an abortion can be performed under current law why is it your perceived right to determine something as personal as the decision to keep a pregnancy, while at the same time vehemently opposed to education that helps deter pregnancy, contraception which does the same and financial aid for those that follow your desires. You just make no sense.","Easyrider","458186","Once again, the passage you refer to incorporates a test for adultery and a possible judgment. It's not something a woman can take on a day to day basis to get rid of a baby she might not want. God doesn't provide for that. I know you wish he did, but he doesn't. And for the record, that which a lot of modern-day abortionists might want to get rid of are God's special creations. Exodus 4:11 - The LORD said to him, ""Who gave man his mouth? Who makes him deaf or mute? Who gives him sight or makes him blind? Is it not I, the LORD?","gift-god","abortion-debates","14","08:43 PM"
"","07-06-2012","16277","Easyrider","458186","Once again, the passage you refer to incorporates a test for adultery and a possible judgment. It's not something a woman can take on a day to day basis to get rid of a baby she might not want. God doesn't provide for that. I know you wish he did, but he doesn't. And for the record, that which a lot of modern-day abortionists might want to get rid of are God's special creations. Exodus 4:11 - The LORD said to him, ""Who gave man his mouth? Who makes him deaf or mute? Who gives him sight or makes him blind? Is it not I, the LORD?","pappillion001","458512","The husband can decide any time he wants to for any reason. I don't agree it should be used as a form of birth control, but I also don't think it's a choice I should make for somebody else. Women do not have to have an abortion, but they will know what is best for them, not you. No it is not God who makes people. People make people. I am sure the deaf, mute and blind people are thankful for God's blessing. How does that fit into being God's special creation?","gift-god","abortion-debates","18","10:46 AM"
"","07-06-2012","16277","pappillion001","458512","Women do not have to have an abortion, but they will know what is best for them, not you. No it is not God who makes people. People make people.","Easyrider","458514","Are these the same women who know what's best for them who got knocked up in the first place? Who creates the spirit of man in the womb, your uncle Dudley?","gift-god","abortion-debates","19","11:03 AM"
