"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"06-24-2006","8379",1,"None","None","None","maximus","218903","If you hold the position of allowing abortion in the cases of rape and incest please answer the following. You meet and befriend someone and later find out that she is a grown ""child of rape."" Someone begins a discussion of abortion while both of you are present. How would you word your position when discussing it with her?","rape-abortion","08:55 PM","abortion-debates","1"
"06-24-2006","8379",1,"None","None","None","GodIsDead","218911","Nobody advocates abortion, Maximus, they advocate choice. Being in favor of choice for rape victims is not the same as thinking that children of rape should have been killed. I would not have a problem expressing my position on choice in instances of rape in the presence of a child of rape any more than I would have a problem advocating choice for pregnancies of consensual sex in the presence of myself, a child of consensual sex. Incidentally, did you know that Malcolm X was a child of rape? His mother was raped by a KKK clansman.","rape-abortion","11:25 PM","abortion-debates","2"
"06-24-2006","8379",1,"GodIsDead","None","Nobody advocates abortion, Maximus, they advocate choice. Being in favor of choice for rape victims is not the same as thinking that children of rape should have been killed. I would not have a problem expressing my position on choice in instances of rape in the presence of a child of rape any more than I would have a problem advocating choice for pregnancies of consensual sex in the presence of myself, a child of consensual sex.","Steeeeve","218913","You advocate choice to one out of two parties involved in a pregnancy....let us be clear that you are telling the person of rape that they had no choice could just as easily not exist.","rape-abortion","11:49 PM","abortion-debates","3"
"06-25-2006","8379",1,"None","None","None","GodIsDead","218919","you could just as eazely not exist if you parents had chosen to abstain, and you wouldent have had any choice in the matter.","rape-abortion","12:10 AM","abortion-debates","4"
"06-25-2006","8379",1,"None","None","None","simone","218972","Or your mother had a spontaneous abortion when the egg that was you falled to implant in the wall of her uterus or a spontaneous abortion later term for whatever reason.","rape-abortion","11:38 AM","abortion-debates","5"
"06-25-2006","8379",1,"None","None","None","GodIsDead","218992","or your mother ate too much vitamin C or parsly during the pregnacy, causeing a miscarage.","rape-abortion","03:15 PM","abortion-debates","6"
"06-25-2006","8379",1,"maximus","None","If you hold the position of allowing abortion in the cases of rape and incest please answer the following. You meet and befriend someone and later find out that she is a grown ""child of rape."" Someone begins a discussion of abortion while both of you are present. How would you word your position when discussing it with her?","DrNo","218994","In cases of rape, people want to allow the choice of abortion. If a woman who is raped and impregnated chooses to have the baby, that's fine. If she chooses abortion, that is also fine. It is wrong to force her to have the baby as much as it would be wrong to force her to choose abortion.","rape-abortion","03:44 PM","abortion-debates","7"
"06-25-2006","8379",1,"GodIsDead","None","you could just as eazely not exist if you parents had chosen to abstain, and you wouldent have had any choice in the matter.","Steeeeve","219018","you would have never existed though....not cease to exist","rape-abortion","08:57 PM","abortion-debates","8"
"06-25-2006","8379",1,"None","None","None","GodIsDead","219024","why is that such an important differance? you dont give a chance to the aborted baby just the same as you dont give a chance to the unconcived baby.","rape-abortion","09:36 PM","abortion-debates","9"
"06-25-2006","8379",1,"GodIsDead","None","why is that such an important differance? you dont give a chance to the aborted baby just the same as you dont give a chance to the unconcived baby.","dugman_74","219053","There is no such thing as an unconcieved baby.","rape-abortion","11:10 PM","abortion-debates","10"
"06-25-2006","8379",1,"None","None","None","GodIsDead","219056","oh please, that dosent even make any sence, what are you trying to deny? there exists right now, and at every moment the potential for more life than can ever be relized. i say conception is an enterly arbitrary point to decide that abandoning the potencial for life becomes murder.","rape-abortion","11:26 PM","abortion-debates","11"
"06-25-2006","8379",1,"None","None","None","dugman_74","219058","Sometimes I just look at a post and wonder.","rape-abortion","11:28 PM","abortion-debates","12"
