"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"06-29-2006","8405",1,"None","None","None","marquez","219950","Planned Parenthood said it will distribute free ?morning after? contraceptives at state clinics Friday to protest Gov. Bill Owens? veto of a bill that would have let pharmacists prescribe the pill. Owens rejected the measure in April, saying that spreading prescription power beyond doctors and specialized nurses ?strays radically from the accepted norms of medicine.? ?Every woman should have it in their medicine cabinets, in case of birth control failure, or worse, sexual assault,? Vicki Cowart, president of Planned Parenthood of the Rockies, said in a statement. http://www.culturebattles.com","clinic-give-out-free-morning-after-pills","04:36 PM","abortion-debates","1"
"06-29-2006","8405",1,"None","None","None","GodIsDead","219951","thats great!","clinic-give-out-free-morning-after-pills","04:43 PM","abortion-debates","2"
"06-29-2006","8405",1,"None","None","None","marquez","219966","I agree, if PP wants to give them away for free, let them do so. Why force anyone to act against their morality? This is not a life-threatening situation.","clinic-give-out-free-morning-after-pills","05:18 PM","abortion-debates","3"
"06-30-2006","8405",1,"marquez","None","Planned Parenthood said it will distribute free ?morning after? contraceptives at state clinics Friday to protest Gov. Bill Owens? veto of a bill that would have let pharmacists prescribe the pill. Owens rejected the measure in April, saying that spreading prescription power beyond doctors and specialized nurses ?strays radically from the accepted norms of medicine.? ?Every woman should have it in their medicine cabinets, in case of birth control failure, or worse, sexual assault,? Vicki Cowart, president of Planned Parenthood of the Rockies, said in a statement. http://www.culturebattles.com","chloe","220031","Pharmacists cannot and should not be able to prescribe medications. The gov was right to reject this measure - and for a legit reason. Planned Parenthood should not be allowed to distribute this pill either - they are not medical professionals. Furthermore, this pill should not be prescribed by physicians.","clinic-give-out-free-morning-after-pills","12:38 AM","abortion-debates","4"
"06-30-2006","8405",1,"chloe","None","Pharmacists cannot and should not be able to prescribe medications. The gov was right to reject this measure - and for a legit reason. Planned Parenthood should not be allowed to distribute this pill either - they are not medical professionals. Furthermore, this pill should not be prescribed by physicians.","zachvac","220033","Why not? Care to explain?","clinic-give-out-free-morning-after-pills","01:15 AM","abortion-debates","5"
"07-01-2006","8405",1,"chloe","None","Pharmacists cannot and should not be able to prescribe medications. The gov was right to reject this measure - and for a legit reason. Planned Parenthood should not be allowed to distribute this pill either - they are not medical professionals. Furthermore, this pill should not be prescribed by physicians.","simone","220321","What is your area of expertise that you can make statements like this? And, why shouldn't physicians prescribe this pill?","clinic-give-out-free-morning-after-pills","03:20 PM","abortion-debates","6"
"07-06-2006","8405",1,"None","None","None","Anastasia","221048","Kaiser will give it to you 24 hours a day no questions asked.","clinic-give-out-free-morning-after-pills","08:38 AM","abortion-debates","7"
"07-06-2006","8405",1,"None","None","None","simone","221056","Isn't it over the counter in more advanced Europe?","clinic-give-out-free-morning-after-pills","10:08 AM","abortion-debates","8"
"07-06-2006","8405",1,"chloe","None","Pharmacists cannot and should not be able to prescribe medications. The gov was right to reject this measure - and for a legit reason. Planned Parenthood should not be allowed to distribute this pill either - they are not medical professionals. Furthermore, this pill should not be prescribed by physicians.","thelmoose","221078","This was not meant to be ""prescribing"" medicine. Pharmacists would agree that is not an appropriate role. The idea was this would be like an over the counter med that would be accompanied by a pharmacist's counseling, which is very much their role.","clinic-give-out-free-morning-after-pills","11:13 AM","abortion-debates","9"
"07-12-2006","8405",1,"simone","None","Isn't it over the counter in more advanced Europe?","chloe","222136","Hmm. ""More advanced"" - what an interesting term. What do you mean by that? Also, in response to your question, I am in the medical field.","clinic-give-out-free-morning-after-pills","10:06 PM","abortion-debates","10"
"07-13-2006","8405",1,"None","None","None","simone","222164","The average person actually has access to comprehensive healthcare in most of Europe--as opposed to the backwards nation of the United States.","clinic-give-out-free-morning-after-pills","09:15 AM","abortion-debates","11"
"07-13-2006","8405",1,"simone","None","The average person actually has access to comprehensive healthcare in most of Europe--as opposed to the backwards nation of the United States.","Steeeeve","222170","you should use access losely and ""advanced"" is still a bad word. Perhaps you should use ""access eventually"".","clinic-give-out-free-morning-after-pills","09:52 AM","abortion-debates","12"
"07-13-2006","8405",1,"chloe","None","Pharmacists cannot and should not be able to prescribe medications. The gov was right to reject this measure - and for a legit reason. Planned Parenthood should not be allowed to distribute this pill either - they are not medical professionals. Furthermore, this pill should not be prescribed by physicians.","jim's trucking","222177","...then you are against the use of this pill? If pharmacists should be able to prescribe it (I agree, pharmacists shouldn't prescribe medicines at all) and physicians shouldn't prescribe it, who's left to prescribe it? Are you opposed to the idea of sex solely for pleasure?","clinic-give-out-free-morning-after-pills","10:16 AM","abortion-debates","13"
