"Date","Dialog_Turn","Discussion_Id","Post_Counter","Quote_Author","Quote_Id","Quote_Text","Response_Author","Response_Id","Response_Text","Subtopic","Time","Topic","Word_Count"
"01-02-2007",1,"9391","7","Shooterandproud","245426","I've been thinking of the reasons people go pro-choice or pro-life, and to me it seems that the pro-choice stance has overwhelming proof on their side.","gman","245510","Did your thought process ever include the question: What choice does the ""victim"" have? Does the instinct to survive exist in the helpless? The being that is totally dependent on the being that brought about it's existence becoming a victim of that being entrusted with it's safe keeping? The act of giving thought as to how to excuse the act of betraying the most basic trust a being can bring upon themselves through lack of forethought and disregard for sacred life should be quite embarrassing.","why-pro-life","10:48 AM","abortion-debates","92"
"01-02-2007",1,"9391","10","gman","245510","Did your thought process ever include the question: What choice does the ""victim"" have? Does the instinct to survive exist in the helpless? The being that is totally dependent on the being that brought about it's existence becoming a victim of that being entrusted with it's safe keeping The act of giving thought as to how to excuse the act of betraying the most basic trust a being can bring upon themselves through lack of forethought and disregard for sacred life should be quite embarrassing.","Shooterandproud","245534","You mean like a tapeworm? Should removing tapeworms be illegal too? I don't follow you here. Can you back up your little sacred ""trust"" theory? There is no trust between an embryo and a woman. An embryo cannot feel trust, it cannot even feel itself. Its really only a hunk of cells, and saying that it trusts the woman is like me saying that the flowers in my garden trust me to water them. And, at what point does a life become ""sacred"". I'm sure you've weeded your garden, is that an embarrasing disregard for sacred life? Is hunting an embarrassing disregard for sacred life? By your logic, i can call almost anything a ""sacred life"".","why-pro-life","12:45 PM","abortion-debates","138"
"01-20-2007",1,"9391","113","Shooterandproud","245534","1. You mean like a tapeworm? Should removing tapeworms be illegal too? 2. I don't follow you here. Can you back up your little sacred ""trust"" theory? There is no trust between an embryo and a woman. An embryo cannot feel trust, it cannot even feel itself. Its really only a hunk of cells, and saying that it trusts the woman is like me saying that the flowers in my garden trust me to water them. And, at what point does a life become ""sacred"". I'm sure you've weeded your garden, is that an embarrasing disregard for sacred life? Is hunting an embarrassing disregard for sacred life? 3. By your logic, i can call almost anything a ""sacred life"".","gman","247912","1. If I'm not mistaken, this is your thread. Was the subject tapeworms? 2. I'm not surprised that you don't follow the concept of trust a child automatically, by instinct, places in it's mom. You are assuming what an embryo can or can not feel. Due to it's inability to communicate. Are you stating that any being that can not communicate is expendable? I would bet that you would go to extremes to protect a baby seal about to get it's head bashed in by an eskimo hunter to sell it's coat. Regardless of it's inability to say I want to live. By the way, I support hunting. But I do not take killing lightly. 3. The subject of my topic is children. You are throwing others in as your argument is weak.","why-pro-life","10:06 AM","abortion-debates","152"
"01-21-2007",1,"9391","122","gman","247912","1. If I'm not mistaken, this is your thread. Was the subject tapeworms? 2. I'm not surprised that you don't follow the concept of trust a child automatically, by instinct, places in it's mom. You are assuming what an embryo can or can not feel. Due to it's inability to communicate. Are you stating that any being that can not communicate is expendable? I would bet that you would go to extremes to protect a baby seal about to get it's head bashed in by an eskimo hunter to sell it's coat. Regardless of it's inability to say I want to live. By the way, I support hunting. But I do not take killing lightly. 3. The subject of my topic is children. You are throwing others in as your argument is weak.","Shooterandproud","247997","Irrelevant. That was an analogy, oh logical one. I have the instinct to kill anyone that I don't like. Its a human trait that we've learned to control. Does that mean I should kill you because its my instict? I think humans have learned by now that instinct is not always the wisest thing to follow. What does communication have anything remotely to do with sentience? It is not self aware, it has no consciousness, and it has no intelligence. It is not sentient deserving of rights. Where in there is anything about communication? A baby seal has self awareness, consciousness, and intelligence. Nope, not expendable. It is a valued life form, that does deserve rights. I am a hunter too, but animals have feelings. That is why I do not take killing lightly. However, we, as humans, were designed to hunt and kill animals for food. I think hunting is wrong if you are not going to eat the animal, but if you are, then it is OK. Just like foxes hunt rabbits, or snakes hunt mice. We are no different. However, animals have self awareness, consciousness, and... oh brother, do I have to go over this every time? Do you get the point? What do you mean by throwing ""others"" in? We are not talking about children here, as children are fairly irrelevant to the abortion issue. However, if you are talking about embryos then why didn't you say so?","why-pro-life","02:51 PM","abortion-debates","289"
"01-21-2007",1,"9391","126","Shooterandproud","247997","1. Irrelevant. That was an analogy, oh logical one. 2. I have the instinct to kill anyone that I don't like. Its a human trait that we've learned to control. Does that mean I should kill you because its my instict? I think humans have learned by now that instinct is not always the wisest thing to follow. 3. What does communication have anything remotely to do with sentience? It is not self aware, it has no consciousness, and it has no intelligence. It is not sentient deserving of rights. Where in there is anything about communication? 4. A baby seal has self awareness, consciousness, and intelligence. Nope, not expendable. It is a valued life form, that does deserve rights. 5. I am a hunter too, but animals have feelings. That is why I do not take killing lightly. However, we, as humans, were designed to hunt and kill animals for food. I think hunting is wrong if you are not going to eat the animal, but if you are, then it is OK. Just like foxes hunt rabbits, or snakes hunt mice. We are no different. However, animals have self awareness, consciousness, and... oh brother, do I have to go over this every time? Do you get the point? 6. What do you mean by throwing ""others"" in? We are not talking about children here, as children are fairly irrelevant to the abortion issue. However, if you are talking about embryos then why didn't you say so?","gman","248030","1. Logical? Tape worms are of equal value? 2. Humans who kill their offspring for the sake of their own comfort or financial security have not overcome the instinct to kill. Considering that I have lived and have a past, I am more worthy of your wrath than the innocents you consider expendable. 3. This puny argument belongs to you. I do not need to prove my stand as I need no excuse for not killing. 4. You will never have the ability to prove that what would become a child has no instinct to survive as you scrape it from the womb. You only proclaim what it feels to alleviate guilty consciences. 5. We seem to have found some common ground. Then you screwed it up by comparing wild life and human offspring. 6. Back to the tapeworm analogy.","why-pro-life","08:15 PM","abortion-debates","158"
"01-21-2007",1,"9391","127","gman","248030","1. Logical? Tape worms are of equal value? 2. Humans who kill their offspring for the sake of their own comfort or financial security have not overcome the instinct to kill. Considering that I have lived and have a past, I am more worthy of your wrath than the innocents you consider expendable. 3. This puny argument belongs to you. I do not need to prove my stand as I need no excuse for not killing. 4. You will never have the ability to prove that what would become a child has no instinct to survive as you scrape it from the womb. You only proclaim what it feels to alleviate guilty consciences. 5. We seem to have found some common ground. Then you screwed it up by comparing wild life and human offspring. 6. Back to the tapeworm analogy.","Shooterandproud","248047","I rest my case. Anyone who uses ""comfort"" or ""financial security"" to describe pregnancy and forced child bearing are either misinformed, not qualified for this debate, or both. It seems you do not value women. At all, or their bodies. You think they are disposable child bearing cubicles. Why? What nerve you have to critisize me when you equate no value to humans either. I'm expending innocent cells? Oh, poor cells. You must think they feel really bad about this don't they? You must think they're humans like you or me, and that, is why I do not enjoy debating with you. Misinformation. Neither do I, because I'm not killing anything. In fact, even if the embryo was a person, I do not advocate its killing. I advocate freedom. What this country was founded on, why we came here. What thousands of men died to protect, that you're trying to take away. You better have a damned good excuse for violating a woman's body and rights. Its sick you condone such a thing in the first place. My point exactly. My guilty conscience? It would be you, who would dare force your values on other human beings, forcing them to suffer for a botched scientific hypothesis of yours about human life. You only call the cell sack a child to make yourself feel better, because deep down you know its wrong. What makes our species so much more important than everyone else? What? It seems like you feel you are superior to other animals, am I not correct? You feel, that humans are worth more. Why? Look deep inside yourself. Why do you think that humans are worth more than animals? Because of our superior intelligence. Something an embryo lacks. It lacks any intelligence. Nice try.","why-pro-life","11:02 PM","abortion-debates","350"
"01-22-2007",1,"9391","131","Shooterandproud","248047","1. I rest my case. 2. Anyone who uses ""comfort"" or ""financial security"" to describe pregnancy and forced child bearing are either misinformed, not qualified for this debate, or both. It seems you do not value women. At all, or their bodies. You think they are disposable child bearing cubicles. Why? What nerve you have to critisize me when you equate no value to humans either. 3. I'm expending innocent cells? Oh, poor cells. You must think they feel really bad about this don't they? You must think they're humans like you or me, and that, is why I do not enjoy debating with you. Misinformation. 4. Neither do I, because I'm not killing anything. In fact, even if the embryo was a person, I do not advocate its killing. I advocate freedom. What this country was founded on, why we came here. What thousands of men died to protect, that you're trying to take away. You better have a damned good excuse for violating a woman's body and rights. Its sick you condone such a thing in the first place. 5. My point exactly. 6. My guilty conscience? It would be you, who would dare force your values on other human beings, forcing them to suffer for a botched scientific hypothesis of yours about human life. You only call the cell sack a child to make yourself feel better, because deep down you know its wrong. 7. What makes our species so much more important than everyone else? What? It seems like you feel you are superior to other animals, am I not correct? You feel, that humans are worth more. Why? Look deep inside yourself. Why do you think that humans are worth more than animals? Because of our superior intelligence. Something an embryo lacks. It lacks any intelligence. 8. Nice try.","gman","248090","1. Of course you do. 2. I do assume the right to criticize you. As do you, me. I do respect women. But I do not extend to women the right to make a choice that effects a life that she created. Once she created it, there was more than just ""her"" that matters. I do not extend to anyone the right to kill as a solution to a problem. 3. You define any disagreement with you as mis-information. Your argument is for the purpose of killing something that you refuse to consider the possibility has an instinct to survive. If it survives, it becomes a person. 4. Those veterans, of whom I am, have fought for the right to freedoms, not for the right to exterminate for convenience. 5. So, since we can not prove it, you opt to dismiss it's need to survive? 6. Your grasping at straws. I'm not calling it anything. I don't care what it's called. I want to save it. You on the other hand, must give it a label that makes destroying it seem a menial act. 7. Yes, I do feel superior. Not simply for the fact that we have the power to eliminate other species, but that we too are empowered to save them. Including Zygotes as you define them.","why-pro-life","10:40 AM","abortion-debates","259"
"01-08-2007",2,"9391","22","ShadowPikachu","246357","I'm for allowing women to have the option of terminating the development of a foetus, which is not a living human (once again, I support actually aborting a developed baby if the woman's life or health is at risk)","Steeeeve","246419","Emphasis mine You realize the fetus (or foetus) is a living human, right? And by living human I mean the noun sense of the word since Shooter loves playing tense games. http://dictionary.reference.com/browse/human%20being The fetus qualifies the criteria","why-pro-life","03:07 PM","abortion-debates","42"
"01-08-2007",2,"9391","23","Steeeeve","246419","Emphasis mine You realize the fetus (or foetus) is a living human, right? And by living human I mean the noun sense of the word since Shooter loves playing tense games. http://dictionary.reference.com/browse/human%20being The fetus qualifies the criteria","ShadowPikachu","246420","No it does not. It is made up of living human cells, yes, but it of itself is not yet living or even having a chance of living outside the womb.","why-pro-life","03:11 PM","abortion-debates","35"
"01-09-2007",2,"9391","29","ShadowPikachu","246420","No it does not. It is made up of living human cells, yes, but it of itself is not yet living or even having a chance of living outside the womb.","Steeeeve","246585","You are made up of living human cells....believe it or not. The definition is as follows: a member of the species Homo sapiens. The fetus is a member of the species Homo sapiens no matter how many times you cover your ears and close your eyes and stomp your feet and say ""no its not""","why-pro-life","10:01 PM","abortion-debates","62"
