"Dialog_Turn","Date","Discussion_Id","Quote_Author","Quote_Id","Quote_Text","Response_Author","Response_Id","Response_Text","Subtopic","Topic","Post_Counter","Time"
"","01-11-2007","9437","Steeeeve","246747","This is wrong. You yourself find ""mental existence"" to be ""sacred' in a way. There is no rational argument for mental existence being the point of obtaining rights...no matter how hard any of us try","ShadowPikachu","246750","We're legally dead when we no longer mentally exist (hence the term ""brain-dead""), so there is no logical reason to set the beginning point as anything other than the start of the mental existence. Just as people who are dead and without mental existence do not have the ability to obtain rights, a collection of human cells without a mental existence cannot obtain rights. I also notice you have resorted to attacking other people's views rather than following the topic of the thread, which is to share YOUR views.","approach-morality-determines-view-abortion","abortion-debates","4","11:28 AM"
"","01-11-2007","9437","ShadowPikachu","246750","We're legally dead when we no longer mentally exist (hence the term ""brain-dead""), so there is no logical reason to set the beginning point as anything other than the start of the mental existence. Just as people who are dead and without mental existence do not have the ability to obtain rights, a collection of human cells without a mental existence cannot obtain rights. I also notice you have resorted to attacking other people's views rather than following the topic of the thread, which is to share YOUR views.","Steeeeve","246762","This assumes brain-dead is a logical choice to consider one dead. Even so, it proves nothing about when life begins. What says they have to be the same? This is a classic example of a conclusion not following from the premise. yeah, that is correct.","approach-morality-determines-view-abortion","abortion-debates","6","12:07 PM"
"","01-11-2007","9437","Steeeeve","246762","This assumes brain-dead is a logical choice to consider one dead. Even so, it proves nothing about when life begins. What says they have to be the same? This is a classic example of a conclusion not following from the premise. yeah, that is correct.","ShadowPikachu","246789","You have some evidence to support another conclusion of when one is dead? Because in medical definitions, the definition is exactly what I said (methinks you don't have an argument here). It might not prove it to you, but to most rational and logially thinking people it would. And this here shows exactly what type of a person you are. Why don't you post as to the topic of the thread instead of trying to start arguments? It's really sickening. ON the subject of your starting arguments, I notice you selectively ignored my view that I posted. Couldn't come up with an argument ?","approach-morality-determines-view-abortion","abortion-debates","11","02:03 PM"
"","01-11-2007","9437","ShadowPikachu","246789","You have some evidence to support another conclusion of when one is dead? Because in medical definitions, the definition is exactly what I said (methinks you don't have an argument here). It might not prove it to you, but to most rational and logially thinking people it would. And this here shows exactly what type of a person you are. Why don't you post as to the topic of the thread instead of trying to start arguments? It's really sickening. ON the subject of your starting arguments, I notice you selectively ignored my view that I posted. Couldn't come up with an argument ?","Steeeeve","246793","I don't doubt that brain-dead means dead but I do doubt that can therefore infer that life means ""brain alive""...even you don't believe this as it has to be more than just a brain substance. well, I thought Another Opinion covered my belief fairly well so why bother? There is always the option not to respond to me. Actually I didn't even read it (and doubt I ever will). Don't get all worked up over it.","approach-morality-determines-view-abortion","abortion-debates","14","02:22 PM"
"","01-11-2007","9437","Steeeeve","246793","I don't doubt that brain-dead means dead but I do doubt that can therefore infer that life means ""brain alive""...even you don't believe this as it has to be more than just a brain substance. well, I thought Another Opinion covered my belief fairly well so why bother? There is always the option not to respond to me. Actually I didn't even read it (and doubt I ever will). Don't get all worked up over it.","ShadowPikachu","246800","Again, I said most rational and logical people would. I didn't say you would. And I am sure you really did read through it, you just couldn't come up with a response, but whatever.","approach-morality-determines-view-abortion","abortion-debates","18","02:31 PM"
"","01-11-2007","9437","ShadowPikachu","246800","Again, I said most rational and logical people would. I didn't say you would. And I am sure you really did read through it, you just couldn't come up with a response, but whatever.","Steeeeve","246803","And can you show this to be true? I doubt it. Besides, it doesn't even make logical sense. It is a rational as saying ""because the sky is blue people sing on Sunday"". It would be hard to come up with a response to something you don't read.","approach-morality-determines-view-abortion","abortion-debates","21","03:13 PM"
"","01-11-2007","9437","Steeeeve","246803","And can you show this to be true? I doubt it. Besides, it doesn't even make logical sense. It is a rational as saying ""because the sky is blue people sing on Sunday"".","ShadowPikachu","246828","That's the most retarted thing I've ever heard. But then again, you aren't one for logic, especially when you bring this ridiculous ""quasianalogy"" into the discussion. What I am saying makes a hell of a lot more logical sense than your ""analogy. Mine actually has logic in it: If a person's mental existence ends (brain death - defined my the medical field) they are considered dead. It is logical that if mental existence begins (start of brain activity and consciousness) they are now alive. And again, I wouldn't expect you to understand logic if it hit you in the face.","approach-morality-determines-view-abortion","abortion-debates","30","05:26 PM"
"","01-12-2007","9437","ShadowPikachu","246831","I'm really not in the mood to argue with you on this. I stated my position, and what I beleive to be the most logical point of view, if you don't like it, I don't really care.","Steeeeve","246893","here is an idea then. STOP POSTING If you don't want to read others opinions then do us a favor and don't post your own.","approach-morality-determines-view-abortion","abortion-debates","37","12:12 PM"
"","01-12-2007","9437","ShadowPikachu","246828","That's the most retarted thing I've ever heard. But then again, you aren't one for logic, especially when you bring this ridiculous ""quasianalogy"" into the discussion. What I am saying makes a hell of a lot more logical sense than your ""analogy. Mine actually has logic in it: If a person's mental existence ends (brain death - defined my the medical field) they are considered dead. It is logical that if mental existence begins (start of brain activity and consciousness) they are now alive. And again, I wouldn't expect you to understand logic if it hit you in the face.","Steeeeve","246895","Other than you spelling ""retarded"" wrong for the third or fourth time in a row... like the logic of the ending point having to be the opposite of the beginning point? I'm going to take a stab here and say you are probably in the 8 or 9th grade (not that this is a bad thing) because anyone who has taken a day of a logic class would understand how your statement makes no sense. If you finish at the finish line does that mean you start at the same line? In your world it always does...","approach-morality-determines-view-abortion","abortion-debates","39","12:28 PM"
"","01-12-2007","9437","Steeeeve","246893","here is an idea then. STOP POSTING If you don't want to read others opinions then do us a favor and don't post your own.","ShadowPikachu","246903","I didn't say I didn't want to read others opinions, I said I didn't want to argue over my own personal point of view (maybe you should read). Semantics debates get you nowhere, so that is why I said that.","approach-morality-determines-view-abortion","abortion-debates","43","01:01 PM"
"","01-12-2007","9437","Steeeeve","246895","Other than you spelling ""retarded"" wrong for the third or fourth time in a row... like the logic of the ending point having to be the opposite of the beginning point? I'm going to take a stab here and say you are probably in the 8 or 9th grade (not that this is a bad thing) because anyone who has taken a day of a logic class would understand how your statement makes no sense. If you finish at the finish line does that mean you start at the same line? In your world it always does...","ShadowPikachu","246906","Um, I spelled it wrong TWICE. I didn't have time to bother with a spellchecker, I was just typing what formed in my mind. My apoligies to have upset you oh high and mighty one. I've noticed that when you don't have an argument you begin to quibble over some minor misspellings, or some dictionary definition (which you seem to hold as your Bible). Hm, well, sorry, you're stabbing rather wildly, in fact, you ended up stabbing yourself. I happen to be a twenty-year-old in my sophomore year of college at Colorado School of Mines (engineering and science school in case you haven't heard of it). I won't bother to hazard a guess at your age, as guesses base on internet discussion are notoriously inaccurate (as you just proved).","approach-morality-determines-view-abortion","abortion-debates","45","01:08 PM"
"","01-12-2007","9437","ShadowPikachu","246903","I didn't say I didn't want to read others opinions, I said I didn't want to argue over my own personal point of view (maybe you should read). Semantics debates get you nowhere, so that is why I said that. Um, I spelled it wrong TWICE. I didn't have time to bother with a spellchecker, I was just typing what formed in my mind. My apoligies to have upset you oh high and mighty one. I've noticed that when you don't have an argument you begin to quibble over some minor misspellings, or some dictionary definition (which you seem to hold as your Bible). Hm, well, sorry, you're stabbing rather wildly, in fact, you ended up stabbing yourself. I happen to be a twenty-year-old in my sophomore year of college at Colorado School of Mines (engineering and science school in case you haven't heard of it). I won't bother to hazard a guess at your age, as guesses base on internet discussion are notoriously inaccurate (as you just proved).","Steeeeve","246946","Yet it wasn't semantics...it was a very good and important point. The point was to show that your idea of when death ends really isn't just ""brain dead"" but rather ""brain dead with no recovery"". The key difference is that if you could recover from no brain then perhaps you wouldn't call this person ""dead"". You failed to address this. I normally could care less how you spell something but if you claim my post is ""retarted"" then it certainly presents irony that has to be pointed out. College student doesn't surprise me much either actually. I wasn't trying to insult as I don't find anything wrong with our younger crowd other than their limited view of the world (Zachvac is pretty good about this though). But since you are in college I suggest taking a logic course (philosophy department normally) as you will understand why the conclusion you come up with does not follow from the premise. Furthermore, as I stated above (and as Phyllis stated), you make a key assumption that is false. Your logic tries to say brain dead therefore dead and then not brain dead therefore not dead. While fine this doesn't exactly say when ""life"" begins is in fact false anyway. The fetus is certainly not dead..wouldn't you agree?","approach-morality-determines-view-abortion","abortion-debates","52","03:28 PM"
"","01-12-2007","9437","Steeeeve","246946","Yet it wasn't semantics...it was a very good and important point. The point was to show that your idea of when death ends really isn't just ""brain dead"" but rather ""brain dead with no recovery"". The key difference is that if you could recover from no brain then perhaps you wouldn't call this person ""dead"". You failed to address this. I normally could care less how you spell something but if you claim my post is ""retarted"" then it certainly presents irony that has to be pointed out. College student doesn't surprise me much either actually. I wasn't trying to insult as I don't find anything wrong with our younger crowd other than their limited view of the world (Zachvac is pretty good about this though). But since you are in college I suggest taking a logic course (philosophy department normally) as you will understand why the conclusion you come up with does not follow from the premise. Furthermore, as I stated above (and as Phyllis stated), you make a key assumption that is false. Your logic tries to say brain dead therefore dead and then not brain dead therefore not dead. While fine this doesn't exactly say when ""life"" begins is in fact false anyway. The fetus is certainly not dead..wouldn't you agree?","ShadowPikachu","246950","Its cells are certainly living (although, the same is true for a recently deceased person, so your argument is a little flimsy there as well), but it is not mentally living. Oh, maybe it will make you think twice before trying to make guesses on the age of posters.","approach-morality-determines-view-abortion","abortion-debates","54","03:38 PM"
"","01-12-2007","9437","ShadowPikachu","246950","Its cells are certainly living (although, the same is true for a recently deceased person, so your argument is a little flimsy there as well), but it is not mentally living.","Steeeeve","246952","so what? The discussion is about whether or not death being at death of the brain makes life when the brain forms. I state that there is no logic that would ever get that conclusion as it makes no sense. You can say ""if the end is here the beginning was the opposite of here"". Furthermore, how much of the brain has to be there? Just the ""mentally existing"" part? What defines that? (Another Opinion please refrain from answering the last part of this question)","approach-morality-determines-view-abortion","abortion-debates","56","03:45 PM"
"","01-12-2007","9437","Steeeeve","246952","so what? The discussion is about whether or not death being at death of the brain makes life when the brain forms. I state that there is no logic that would ever get that conclusion as it makes no sense. You can say ""if the end is here the beginning was the opposite of here"". Furthermore, how much of the brain has to be there? Just the ""mentally existing"" part? What defines that? (Another Opinion please refrain from answering the last part of this question)","ShadowPikachu","246953","Never said there had to be a fully formed brain. Just enough to produce mental activity and consciousness. Oh, and maybe you should learn a little bit about this one guy called William of Ockham, and his razor , because that is what supports my view. I notice you still haven't expressed yours (which is the point of the thread), and continue to just attack other views.","approach-morality-determines-view-abortion","abortion-debates","57","03:51 PM"
"","01-12-2007","9437","ShadowPikachu","246953","Never said there had to be a fully formed brain. Just enough to produce mental activity and consciousness. Oh, and maybe you should learn a little bit about this one guy called William of Ockham, and his razor , because that is what supports my view. I notice you still haven't expressed yours (which is the point of the thread), and continue to just attack other views.","Steeeeve","246955","What do you mean by consciousness? Self-awareness or something else? what? How does that even remotely relate to this? Furthermore, the easiest idea in this case would be to assume life begins at conception.","approach-morality-determines-view-abortion","abortion-debates","58","04:01 PM"
