"Date","Dialog_Turn","Discussion_Id","Post_Counter","Quote_Author","Quote_Id","Quote_Text","Response_Author","Response_Id","Response_Text","Subtopic","Time","Topic","Word_Count"
"02-19-2007",1,"9510","133","obvious_child","251643","It's ageicide in that the procedure being performed is specifically targeted to end the life of a specific age group,","VTCruiser","251645","How can this be in your view when you say that ""fetuses"" dont exist?? How can it be agecide if they arent an age yet?","slavery-abortion","01:38 AM","abortion-debates","29"
"02-19-2007",1,"9510","135","VTCruiser","251645","How can this be in your view when you say that ""fetuses"" dont exist?? How can it be agecide if they arent an age yet?","obvious_child","251647","Considering I never said that you're lying . If you believe you're not a liar, please show me where I said fetuses don't exist. I dare you. In fact I dare you so much I have a little reward here: if you can prove I said fetuses don't exist I'll praise you as being right all of the time. Well considering I never said what you fabricated, you're asking the wrong person. Perhaps you have confused me with someone else. Fetuses do exist. All existing cells have age. Since fetuses are at least several hundred billion cells, they must have age. You are most likely thinking of Shooter who said that fetusus don't in the context of sentience and slaves.","slavery-abortion","01:42 AM","abortion-debates","133"
"02-19-2007",1,"9510","137","obvious_child","251647","Considering I never said that you're lying . If you believe you're not a liar, please show me where I said fetuses don't exist. I dare you. In fact I dare you so much I have a little reward here: if you can prove I said fetuses don't exist I'll praise you as being right all of the time. Well considering I never said what you fabricated, you're asking the wrong person. Perhaps you have confused me with someone else. Fetuses do exist. All existing cells have age. Since fetuses are at least several hundred billion cells, they must have age. You are most likely thinking of Shooter who said that fetusus don't in the context of sentience and slaves.","VTCruiser","251652","so you think a fetus has sentience?","slavery-abortion","01:56 AM","abortion-debates","8"
"02-19-2007",1,"9510","141","VTCruiser","251652","so you think a fetus has sentience?","obvious_child","251659","Moving the bar again VT to cope with your constant argumentive failures? So you admit I never said what you said I said? I'll take that as apology and a admission you were quite wrong. I believe once enough neutral connections have been established that sentience follows. How many is the minimum necessary however is another matter all together. But sentience is not a issue for me in the decision making. Whether something has sentience is not really that important. I eat meat. Cows, pigs, sheep and poltury are all senitent as they perceive, are aware and are conscious of sense impressions. I still eat them though.","slavery-abortion","02:02 AM","abortion-debates","120"
"02-19-2007",1,"9510","143","obvious_child","251659","Moving the bar again VT to cope with your constant argumentive failures? So you admit I never said what you said I said? I'll take that as apology and a admission you were quite wrong. I believe once enough neutral connections have been established that sentience follows. How many is the minimum necessary however is another matter all together. But sentience is not a issue for me in the decision making. Whether something has sentience is not really that important. I eat meat. Cows, pigs, sheep and poltury are all senitent as they perceive, are aware and are conscious of sense impressions. I still eat them though.","VTCruiser","251661","no matter what you think about it... it still is a person... whether it has sentient or not..","slavery-abortion","02:05 AM","abortion-debates","21"
"02-19-2007",1,"9510","145","VTCruiser","251661","no matter what you think about it... it still is a person... whether it has sentient or not..","obvious_child","251663","Are you going to address my points or just contiune to produce tangents that are not related? I have no problems with some collateral damage as it a part of war or the occasional civilian death. What makes you think I will care here?","slavery-abortion","02:08 AM","abortion-debates","47"
"02-19-2007",1,"9510","146","obvious_child","251663","Are you going to address my points or just contiune to produce tangents that are not related? I have no problems with some collateral damage as it a part of war or the occasional civilian death. What makes you think I will care here?","VTCruiser","251667","oh so now that i see you dont agree with abortion... i have nothing further to talk about other than why do you think morally deciding to not let someone murder a child is infringing on choice?","slavery-abortion","02:25 AM","abortion-debates","39"
"02-19-2007",1,"9510","147","VTCruiser","251667","oh so now that i see you dont agree with abortion... i have nothing further to talk about other than why do you think morally deciding to not let someone murder a child is infringing on choice?","obvious_child","251669","It's not technically a child, furthermore I already explained why I support the right to have a abortion. Abortion is a lesser evil to me then increased crime (especially violent) and increased welfare.","slavery-abortion","02:30 AM","abortion-debates","38"
"02-19-2007",1,"9510","150","obvious_child","251669","It's not technically a child, furthermore I already explained why I support the right to have a abortion. Abortion is a lesser evil to me then increased crime (especially violent) and increased welfare.","VTCruiser","251675","Is a reason you support abortion because overall it decreases crime and welfare?","slavery-abortion","02:46 AM","abortion-debates","14"
"02-19-2007",1,"9510","151","VTCruiser","251675","Is a reason you support abortion because overall it decreases crime and welfare?","obvious_child","251676","Freakonomics take a read. He argues that pools are more dangerous then guns among other things.","slavery-abortion","02:48 AM","abortion-debates","18"
