"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"06-07-2007","9985",1,"None","None","None","VTCruiser","267430","http://www.telegraph.co.uk/news/main...7/nfert107.xml Arab's birth rate - 7-10 kids Birth rate in UK - below 2.... And we wonder why it seems muslims are taking over the world... DUH !!! THEY care about life more than the ""free"" world.... I believe that one of the reasons we are dealing with terrorism in the world is because we are committing mass murder on babies in the womb... Need i say more...","abortion-reason-europe-turning-arab","11:26 PM","abortion-debates","1"
"06-08-2007","9985",1,"None","None","None","gman","267457","Your reasoning of the effects of abortion are correct. The liberals who see abortion as a normal, acceptable, right to choose abortion are aborting themselves into extinction. Reverence, and a love of life is not what motivates Muslims. The power of Islam is. There is nothing to indicate that Muslims ""love"" life. They'll cut your limbs or head off for nearly any reason. They'll remove your head with a hacksaw so to take the time for ""you"" the victim to enjoy the moment and to voice your opinion and video it for your family and countrymen to enjoy.","abortion-reason-europe-turning-arab","07:56 AM","abortion-debates","2"
"06-08-2007","9985",1,"VTCruiser","267430","http://www.telegraph.co.uk/news/main...7/nfert107.xml Arab's birth rate - 7-10 kids Birth rate in UK - below 2.... And we wonder why it seems muslims are taking over the world... DUH !!! THEY care about life more than the ""free"" world.... I believe that one of the reasons we are dealing with terrorism in the world is because we are committing mass murder on babies in the womb... Need i say more...","jitobear","267458","Cause you know - nobody in the UK is aware of how to use birth control or makes concious choices not to have kids. Your article doesn't even talk about abortion. Hell - I am pro-choice and can come up with better arguments against abortion than this.","abortion-reason-europe-turning-arab","08:18 AM","abortion-debates","3"
"06-08-2007","9985",1,"gman","267457","Your reasoning of the effects of abortion are correct. The liberals who see abortion as a normal, acceptable, right to choose abortion are aborting themselves into extinction. Reverence, and a love of life is not what motivates Muslims. The power of Islam is. There is nothing to indicate that Muslims ""love"" life. They'll cut your limbs or head off for nearly any reason. They'll remove your head with a hacksaw so to take the time for ""you"" the victim to enjoy the moment and to voice your opinion and video it for your family and countrymen to enjoy.","Mucusaur","267468","If you dont believe that muslims love life they will cut your head right off! Its an easy choice if you ask me.","abortion-reason-europe-turning-arab","09:59 AM","abortion-debates","4"
"06-08-2007","9985",1,"None","None","None","Symbiote","267469","Worst thread ever.","abortion-reason-europe-turning-arab","10:20 AM","abortion-debates","5"
"06-08-2007","9985",1,"VTCruiser","267430","http://www.telegraph.co.uk/news/main...7/nfert107.xml Arab's birth rate - 7-10 kids Birth rate in UK - below 2.... And we wonder why it seems muslims are taking over the world... DUH !!! THEY care about life more than the ""free"" world.... I believe that one of the reasons we are dealing with terrorism in the world is because we are committing mass murder on babies in the womb... Need i say more...","GrannyM","267472","In point of fact, the low birth rate in most of Europe is not due to the availablity of abortion, but to good sex education and the ready availablity of effective contraception to everyone who needs it. See this study, for instance: http://www.advocatesforyouth.org/PUB...heet/fsest.htm People have small families because they want small families. In point of fact, the abortion rate in Europe is generally much lower than the rate in the US, due, again, to education and contraception. Would you force folks to have children they don't want?","abortion-reason-europe-turning-arab","10:36 AM","abortion-debates","6"
"06-08-2007","9985",1,"None","None","None","simone","267485","The women of Islam need to become feminists. That's all that's needed.","abortion-reason-europe-turning-arab","11:35 AM","abortion-debates","7"
"06-08-2007","9985",1,"None","None","None","ShadowPikachu","267487","Wow, I don't think I've ever seen an argumentum ad Muslim TM in the abortion debate before.","abortion-reason-europe-turning-arab","11:40 AM","abortion-debates","8"
"06-08-2007","9985",1,"simone","267485","The women of Islam need to become feminists. That's all that's needed.","chemist99a","267586","I fear that would lead to extermination of the women.","abortion-reason-europe-turning-arab","08:39 PM","abortion-debates","9"
"06-08-2007","9985",1,"simone","267485","The women of Islam need to become feminists. That's all that's needed.","gman","267607","Do you want them all dead?","abortion-reason-europe-turning-arab","10:12 PM","abortion-debates","10"
"06-08-2007","9985",1,"ShadowPikachu","267487","Wow, I don't think I've ever seen an argumentum ad Muslim TM in the abortion debate before.","gman","267609","I'm sure you haven't. But it is a worthy thread because of the reality that Islam ""is"" closing in on what we consider ""the free world"". If you love your freedom and the choices you now have, you should pay attention to Islam. They are consumed with a hatred for the west and are dedicated to their cause. Symbiote declares this the worst thread ever. It is unpleasant, but, Islam will not be denied. The numbers Cruiser provided mean a lot. Especially to progressives.","abortion-reason-europe-turning-arab","10:24 PM","abortion-debates","11"
"06-08-2007","9985",1,"None","None","None","Symbiote","267619","Yes, if you love freedom, you'll support draconian legislation impeding on the rights of women, ethnic minorities, and well, anyone really the ruling regime doesn't like. Only through Mindless Obedience to our Great Leader can we be truly free!","abortion-reason-europe-turning-arab","11:15 PM","abortion-debates","12"
"06-09-2007","9985",1,"gman","267457","Your reasoning of the effects of abortion are correct. The liberals who see abortion as a normal, acceptable, right to choose abortion are aborting themselves into extinction. Reverence, and a love of life is not what motivates Muslims. The power of Islam is. There is nothing to indicate that Muslims ""love"" life. They'll cut your limbs or head off for nearly any reason. They'll remove your head with a hacksaw so to take the time for ""you"" the victim to enjoy the moment and to voice your opinion and video it for your family and countrymen to enjoy.","Master_Shake","267639","Do you want anyone to take you seriously?","abortion-reason-europe-turning-arab","01:24 AM","abortion-debates","13"
"06-09-2007","9985",1,"Symbiote","267619","Yes, if you love freedom, you'll support draconian legislation impeding on the rights of women, ethnic minorities, and well, anyone really the ruling regime doesn't like. Only through Mindless Obedience to our Great Leader can we be truly free!","gman","267657","You live in Sydney, is there a major difference in women's rights issues compared to the status of these rights is the U.S.? Women's rights in the west are far advanced compared to those of Islamic women. I understand that you are being facetious but are rights ignored for women in Oz? What impeding legislation are you referring to? Which leader are you referring to?","abortion-reason-europe-turning-arab","08:32 AM","abortion-debates","14"
"06-09-2007","9985",1,"GrannyM","267472","In point of fact, the low birth rate in most of Europe is not due to the availablity of abortion, but to good sex education and the ready availablity of effective contraception to everyone who needs it. See this study, for instance: http://www.advocatesforyouth.org/PUB...heet/fsest.htm People have small families because they want small families. In point of fact, the abortion rate in Europe is generally much lower than the rate in the US, due, again, to education and contraception. Would you force folks to have children they don't want?","gman","267659","His point was criticism of people managing the numbers of their population with abortion. It also addresses the intentional overpopulation for the purpose of overwhelming declining populations.","abortion-reason-europe-turning-arab","08:40 AM","abortion-debates","15"
"06-09-2007","9985",2,"GrannyM","267472","In point of fact, the low birth rate in most of Europe is not due to the availablity of abortion, but to good sex education and the ready availablity of effective contraception to everyone who needs it. See this study, for instance: http://www.advocatesforyouth.org/PUB...heet/fsest.htm People have small families because they want small families. In point of fact, the abortion rate in Europe is generally much lower than the rate in the US, due, again, to education and contraception. Would you force folks to have children they don't want?","gman","267661","His point also addresses the intentional overpopulation for the purpose of overwhelming declining populations by Islam.","abortion-reason-europe-turning-arab","08:43 AM","abortion-debates","16"
"06-10-2007","9985",2,"chemist99a","267586","I fear that would lead to extermination of the women.","simone","267889","Nonsense! There are already a number of Islamic Feminist groups. And, quite frankly, the vast majority of Muslims are quite fond of their women and would be rabidly opposed to exterminating them.","abortion-reason-europe-turning-arab","11:18 AM","abortion-debates","17"
"06-10-2007","9985",2,"gman","267607","Do you want them all dead?","simone","267893","See above.","abortion-reason-europe-turning-arab","11:21 AM","abortion-debates","18"
"06-10-2007","9985",2,"gman","267659","His point was criticism of people managing the numbers of their population with abortion. It also addresses the intentional overpopulation for the purpose of overwhelming declining populations.","simone","267897","I rather think that the incidence of abortion is far lower in Europe owing to their higher standards of sex education and access to contraception without the impeding hypocrisy of American religious culture.","abortion-reason-europe-turning-arab","11:23 AM","abortion-debates","19"
