"Date","Dialog_Turn","Discussion_Id","Post_Counter","Quote_Author","Quote_Id","Quote_Text","Response_Author","Response_Id","Response_Text","Subtopic","Time","Topic","Word_Count"
"05-01-2008",1,"10438","33","dace","310210","It may be that genes and brain cells are also necessary but insufficient to account for memory. All the evidence for the role of genes in the inheritance of forms and instincts is evidence as to necessity. So far as I know, no one has ever proposed a testable hypothesis that could verify or falsify the proposition that genes or brain cells are not only necessary but also sufficient to account for memory. The nonsense is entirely Falk's. Note that he never explains exactly what it is that's taught in high school biology that contradicts my statement. Evo-devo research has demonstrated that what counts is not so much the genes themselves but how they're used. Assuming that the knowledge of how to manipulate genes is not paradoxically encoded in the genes themselves, this implies the existence of endogenous intelligence at the cellular level. Complex systems, where living or merely lifelike, always emerge in whole, not in part. Complexity is fundamentally holistic. The shift to complexity in biological thinking represents a definitive rebuke of the reductionist interpretations that characterized 20th century theory. Of course, we could say that morphic resonance (i.e. formal similarity) is the mechanism by which current organisms tune in to their predecessors. I didn't use the word mechanism that way in this essay because I didn't want to create confusion by using the same word in two different ways. That there are no distant goals in evolution does not mean there are no immediate goals. The macaw wants to eat. To do so, it must crack a very hard nut. It thus develops its jaw muscles in order to achieve its goal. Nothing foolish about any of this. In fact, it's foolish to deny that evolution is driven, in part, by purpose and intelligence.","Peeling","310250","The short answer: gene splicing. I had a protracted discussion with WW about this very point: to induce a trait in a different species or organism it is necessary to transfer to that organism all the information necessary to yield the trait. Obviously, the organisms will already have a lot of non- trait-specific information in common, eg they employ the same cipher for translating DNA bases into amino acids and thus proteins. So what we're really asking is whether a given gene encapsulates all the novel information required for the trait to present. The success of gene splicing confirms that this is very often the case. Even where the transplanting of a single gene is insufficient, it seems reasonable to suppose that it is the unique physical context in which that gene is operating - the cogs with which it meshes in the original species - that yield function, rather than speculating that it indexes some metaphysical 'memory'. I don't know whether it's taught in high-school biology, but the primary faults in the (your?) reasoning are common wrong-turns made by critics of evolutionary theory: the false assumption of constancy, and the construction of an implausible starting scenario. In the scenario as presented, the macaw is the only variable. Right from the start it is faced with the problem of an incredibly tough nut, which it must somehow eat. Thus you engineer an insurmountable problem for evolution to solve: a non-viable animal which must within its own lifetime become viable. Taking the assumption of constancy first - why are you assuming that back in the day when macaws lacked their formidable jaw strength, the nuts they had to eat were as tough as they are now? Why would they need to be that rugged and over-engineered if nothing in the environment poses them that great a threat? Remove the assumption of constancy and we see an evolutionary arms-race: the toughest nuts from one generation surviving to grow, yielding a next generation of tougher-nutted plants, in turn favouring the macaws with the strongest jaws, who breed to produce a stronger-jawed macaw population - and so on. Secondly, is your starting scenario a sensible one? For the macaw species to have survived long enough to evolve that far, there must be other things around it can and has been eating! If all those food sources suddenly disappeared, we know what would happen: extinction. We don't need to find ways to improve evolution's ability to solve your problem, because your problem is fundamentally flawed. Why would that be a paradox? Have you never bought anything that came with an instruction manual? I have a child seat for my car with the instructions printed on the side - where's the paradox? Even that is underselling the potential for genes to regulate themselves and each other. They are not words on paper but chemically active compounds: they can directly alter the function of their biological context without that biological context needing to know 'how', or make any kind of decision on the matter. This is another common logical failure, similar to that responsible for the myth that 'Irreducible Complexity' is a problem for evolution. Just because a complex system is holistic doesn't mean it couldn't previously have been a simpler (or in the case of IC systems, more complex) holistic system in the past. What is a vital role now may at one time have been an unintended by-product of a quite different process - a by-product which opportunistic evolution made use of, to the point where the role is now indespensible. Such 'resonance' is trivial to debunk. Carry out a fluctuation test on a batch of bacteria. Now do it again on another batch. If morphic resonance could inform the second batch they ought to do better - they don't. Even at the theoretical level, the notion of morphic resonance is irretrievably flawed. At any given instant, the molecular configuration of one bacterium will be entirely unlike that of even its immediate neighbour, let alone some previous generation, so what exactly is supposed to be resonating? If you invoke the idea of conceptual resonance to solve that problem, you still haven't provided a place for the metaphysical rubber to hit the physical road. See above. I wouldn't go so far as to call it foolishness, but there is a failure on your part to critically examine your assumptions. Now that is true. Sexual selection, migration, intelligently exploiting niches using what nature has given you - all these factors guide evolution. But to extrapolate this to EAM is wishful thinking.","darwinism-creationism-3rd-pov-eam","06:10 AM","creation-intelligent-design-vs-evolution","850"
"05-02-2008",1,"10438","34","Peeling","310250","The short answer: gene splicing. I had a protracted discussion with WW about this very point: to induce a trait in a different species or organism it is necessary to transfer to that organism all the information necessary to yield the trait. Obviously, the organisms will already have a lot of non- trait-specific information in common, eg they employ the same cipher for translating DNA bases into amino acids and thus proteins. So what we're really asking is whether a given gene encapsulates all the novel information required for the trait to present. The success of gene splicing confirms that this is very often the case. Even where the transplanting of a single gene is insufficient, it seems reasonable to suppose that it is the unique physical context in which that gene is operating - the cogs with which it meshes in the original species - that yield function, rather than speculating that it indexes some metaphysical 'memory'. I don't know whether it's taught in high-school biology, but the primary faults in the (your?) reasoning are common wrong-turns made by critics of evolutionary theory: the false assumption of constancy, and the construction of an implausible starting scenario. In the scenario as presented, the macaw is the only variable. Right from the start it is faced with the problem of an incredibly tough nut, which it must somehow eat. Thus you engineer an insurmountable problem for evolution to solve: a non-viable animal which must within its own lifetime become viable. Taking the assumption of constancy first - why are you assuming that back in the day when macaws lacked their formidable jaw strength, the nuts they had to eat were as tough as they are now? Why would they need to be that rugged and over-engineered if nothing in the environment poses them that great a threat? Remove the assumption of constancy and we see an evolutionary arms-race: the toughest nuts from one generation surviving to grow, yielding a next generation of tougher-nutted plants, in turn favouring the macaws with the strongest jaws, who breed to produce a stronger-jawed macaw population - and so on. Secondly, is your starting scenario a sensible one? For the macaw species to have survived long enough to evolve that far, there must be other things around it can and has been eating! If all those food sources suddenly disappeared, we know what would happen: extinction. We don't need to find ways to improve evolution's ability to solve your problem, because your problem is fundamentally flawed. Why would that be a paradox? Have you never bought anything that came with an instruction manual? I have a child seat for my car with the instructions printed on the side - where's the paradox? Just because a complex system is holistic doesn't mean it couldn't previously have been a simpler (or in the case of IC systems, more complex) holistic system in the past. Such 'resonance' is trivial to debunk. Carry out a fluctuation test on a batch of bacteria. Now do it again on another batch. If morphic resonance could inform the second batch they ought to do better - they don't. Even at the theoretical level, the notion of morphic resonance is irretrievably flawed. At any given instant, the molecular configuration of one bacterium will be entirely unlike that of even its immediate neighbour, let alone some previous generation, so what exactly is supposed to be resonating? If you invoke the idea of conceptual resonance to solve that problem, you still haven't provided a place for the metaphysical rubber to hit the physical road. Now that is true. Sexual selection, migration, intelligently exploiting niches using what nature has given you - all these factors guide evolution. But to extrapolate this to EAM is wishful thinking.","dace","310325","That a given gene is needed to induce a given trait in an organism does not mean that this gene (along with the protein it generates) is sufficient to produce the trait. I need a computer to view 4Forums. Does this mean 4Forums is contained within my computer? Of course not. It's a simple question of logic. Maybe all the information does lie within the gene. But from a scientific standpoint, it hasn't been proven. Calling it metaphysical is begging the question. If natural memory is real, then it's not ""metaphysical."" My example is simplified for the sake of brevity. Of course, the nuts are also evolving, and the macaw has other food sources. The question is how this evolutionary arms race proceeds. Does natural selection operate in tandem with random mutation or adaptive mutation? Does the adaptation need to be expressed at the genetic level, or can somatic changes, through a process of morphogenetic memory, directly influence the forms and instincts of descendants? If not, is there an intelligence operating at the cellular level which is sensitive to the survival needs of the whole organism? Or is there some kind of mechanical process such as Darwin's pangenesis that allows somatic information to enter the germline? Nobody knows the answers to these questions. It's all up in the air. That's the thing about science. We can imagine we know the answers, but in the end science kicks us in the XXX. The instruction manual for the child seat works precisely because there is an intelligent agent, i.e. you, that interprets it. So this analogy is not helpful to the point you're trying to make. In the old days it was assumed that DNA contains the blueprint or recipe of the organism and that the application of this blueprint was a strictly mechanical process. Now we see that developmental genes are virtually identical in everything from flies to people. What really counts is the way genes are used rather than their content. So now we need an instructional manual on how to properly implement the blueprint. If the manual is embedded within the DNA itself, how is the DNA able to read it? Presumably the instructions for reading the manual would also be contained within the manual. Perhaps there's another manual that explains how to read the first manual, and then yet another manual to explain how to read that one, and so on, ad infinitum. This is the fallacy of the homunculus. Even without the question of the instructional manual, the idea that organisms require a kind of blueprint in order to be formed is already an example of the homunculus fallacy. After all, if an organism needs a blueprint in order to be assembled, wouldn't the blueprint also need a blueprint? Of course, now that we understand the stupendous complexity in the operation of genes, the whole issue has been rendered moot. The point of reductionism is that a complex process is ""reduced"" to a simple process. Yet the operation of genes turns out to be as complex as any process in the body, including the brain. In short, biological reductionism is as dead as the mechanistic creationism that inspired it. The search for the sources of evolutionary novelty in genetic mutations, remixing, drift, etc., is no longer viable, as the entire theoretical framework of epigenetic development has been abolished. Let's take the example of a tornado. One moment there's no tornado, just a massive gradient between warm air on the ground and cool air in the sky. The next thing you know, a tornado has emerged fully formed, seemingly out of nowhere, and begins efficiently wiping out the temperature gradient. It's not as if the tornado emerged from the dust particles of which it is composed or a smaller proto-tornado. Organisms aren't built up from DNA any more than tornadoes are built up from dust. This is what I mean when I say that complex systems are holistic, not reductionist. Why should the second batch do any better? Unless there's a survival issue involved, the second batch should take exactly as long as the first. The most recent test I'm aware of that confirms morphic resonance was carried out by Rupert Sheldrake and Steven Rose on chicks who received food after pecking at LEDs of a particular color. Only those who pecked at the ""correct"" color (yellow) were rewarded. Each batch of chicks, unrelated to the previous batch, learned to peck at the yellow diodes more quickly. Shockingly, Dr. Rose refused to concede the results of his own experiment. He came in convinced that each batch of chicks would perform no better than previous batches, and he came out no less convinced. Though science follows the evidence, scientists sometimes do not. What resonates is the whole form, not the material constituents. In contrast to artificial memory, which reduces to stored material configurations, natural memory is holistic, operating on the basis of morphological similarity. I tune into my ancestors because we have a similar overall form, not because we have the same chemical constituents. Incidentally, the point you make about chemical individuality in organisms is precisely the point made by the revered embryologist Paul Weiss when he coined the term morphogenetic field. What endures in the organism is overall pattern, not molecular details. The field has causal primacy, directing molecules towards its own end. Sheldrake adds to this notion the idea that morphogenetic fields contain an inherent memory on the basis of which they direct molecular activity. Thus life is fundamentally conservative, continually mimicking its past states, with evolution as the exception that proves the rule. Why posit intelligence at the level of the organism but ban it from the level of the cell?","darwinism-creationism-3rd-pov-eam","03:52 PM","creation-intelligent-design-vs-evolution","1075"
"05-07-2008",1,"10438","49","dace","310325","That a given gene is needed to induce a given trait in an organism does not mean that this gene (along with the protein it generates) is sufficient to produce the trait. I need a computer to view 4Forums. Does this mean 4Forums is contained within my computer? Of course not. My example is simplified for the sake of brevity. Of course, the nuts are also evolving, and the macaw has other food sources. The question is how this evolutionary arms race proceeds. How many millions of such coding mistakes had to come and go before the right one announced itself, and at last the bird got its meal? So stupendously unlikely is the perfect mutation at the perfect time that calculating the odds against it taking place even once exceeds our imaginative capacity. It is, in fact, a miracle. The macaw wants to eat. To do so, it must crack a very hard nut. It thus develops its jaw muscles in order to achieve its goal. Does natural selection operate in tandem with random mutation or adaptive mutation? Does the adaptation need to be expressed at the genetic level, or can somatic changes, through a process of morphogenetic memory, directly influence the forms and instincts of descendants? The instruction manual for the child seat works precisely because there is an intelligent agent, i.e. you, that interprets it. So this analogy is not helpful to the point you're trying to make. What really counts is the way genes are used rather than their content. So now we need an instructional manual on how to properly implement the blueprint. If the manual is embedded within the DNA itself, how is the DNA able to read it? Presumably the instructions for reading the manual would also be contained within the manual. Perhaps there's another manual that explains how to read the first manual, and then yet another manual to explain how to read that one, and so on, ad infinitum. Let's take the example of a tornado. One moment there's no tornado, just a massive gradient between warm air on the ground and cool air in the sky. The next thing you know , a tornado has emerged fully formed, seemingly out of nowhere, and begins efficiently wiping out the temperature gradient. It's not as if the tornado emerged from the dust particles of which it is composed or a smaller proto-tornado. Why should the second batch do any better? Unless there's a survival issue involved, the second batch should take exactly as long as the first. The most recent test I'm aware of that confirms morphic resonance was carried out by Rupert Sheldrake and Steven Rose on chicks who received food after pecking at LEDs of a particular color. Only those who pecked at the ""correct"" color (yellow) were rewarded. Each batch of chicks, unrelated to the previous batch, learned to peck at the yellow diodes more quickly. What resonates is the whole form, not the material constituents. In contrast to artificial memory, which reduces to stored material configurations, natural memory is holistic, operating on the basis of morphological similarity. I tune into my ancestors because we have a similar overall form, not because we have the same chemical constituents. Thus life is fundamentally conservative, continually mimicking its past states, with evolution as the exception that proves the rule. Why posit intelligence at the level of the organism but ban it from the level of the cell?","Peeling","310560","A fact which can be straightforwardly established by disconnecting your computer from the internet and attempting to access the site. The exact same test would establish that plenty of software is entirely contained within your computer. You claim traits are like internet sites - gene splicing demonstrates that many are not; that 'installing the software' is sufficient. If it were merely simplified, then nothing you omitted or assumed would damage your argument. But since that argument concerned the implausibility of evolution solving such a huge problem in a single step, the example was a worthless contrivance, not a 'simplification' I see. So this is your fallback position when this: is not allowed to pass unchallenged. This is a false dichotomy. Random mutation can be - and is - modulated by previously evolved regulatory systems (mutation-prone plasmids etc). However, the very existence of such physical systems undermines the notion of a holistic intelligence doing the same job. If those physical systems are necessary for evolution, then how did they themselves evolve? The only logical explanation is that such systems are an evolved optimisation - helpful, but not absolutely necessary. Another false dichotomy. Epigenetic inheritance does not require morphogenetic memory - whatever that is. Of course it is. You don't need intelligence to follow instructions, and you don't need new instructions to accomplish or construct new things. This apparent recursive paradox is the result of a failure of your own imagination. 1. You do not need new instructions to accomplish or construct new things. You merely need a different configuration of existing instructions. 2. You fail to take into account the active chemical nature of the 'instructions'. If a new gene were a hammer, it could be thought of as a hammer with electrodes in the handle, capable of inducing a muscular spasm to cause itself to be wielded. I'm really not sure what you're trying to achieve with this analogy. The concept of a 'tornado' is something we as observers impose upon the collective motions of individual particles. Any problems we might have with the fuzzy distinction between no tornado and tornado are our fault for inventing a discontinuous concept to describe a continuously variable phenomenon. Well, it's your hypothesis so you can make it up as you go along, of course. I merely presumed it would be consistent. My first concern would be, as others have voiced, that insufficient controls were in place to ensure independence of the trials. Occam's razor suggests that's the more likely explanation, given the utter failure of millions of routine fluctuation tests to yield a similar improvement in results over time. As I anticipated, you speak of conceptual resonance - which merely shuffles the problem around without solving it. How do the material constituents attain the status of 'a concept'? If we abstract a vital nucleotide, why isn't the remaining 'resonance' enough to carry the organism through? It should be, given that many of the 'living' configurations of that organism are far more physically distinct from one another than the one we've engineered by removing the nucleotide. What decides that the trillions of moment-to-moment 'living' configurations of a cell resonate, but not the one where a single genetic base-pair has gone astray? Epigenetic inheritance still has traceable, physical mechanisms - not all memory needs to be genetic for it to be represented physically. As an aside, I would wager you're no more physically similar - at any level beyond the genetic - to your great great grandfather than I am - so why haven't I 'tuned in'? You do know what 'proves the rule' means, don't you? For the very simple reason that if cells were intelligent animals wouldn't need brains. You may as well ask 'why posit computational power at the level of the computer but ban it from the level of the transistor'.","darwinism-creationism-3rd-pov-eam","05:31 AM","creation-intelligent-design-vs-evolution","726"
"05-07-2008",1,"10438","52","Peeling","310560","The concept of a 'tornado' is something we as observers impose upon the collective motions of individual particles.","dace","310603","That pretty well says it all. A tornado is not a collection of particles but a spiraling vortex that evacuates warm air from the ground and delivers it into the upper atmosphere, thereby eliminating the temperature gradient from which it derives its energy. When the gradient is gone, the tornado blinks out of existence as suddenly as it emerged. Meanwhile all those particles are still around, just not being animated by a self-organized force of nature. To reduce a tornado to dust is the ultimate in blind reductionism. There is neither reason nor evidence to this view. It's just pure dogma. In the case of natural, complex systems, including organisms, the whole is a thing in itself, not just a concept. Check out Into the Cool by Eric D Schneider and Dorion Sagan to understand the fundamentally holistic nature of complex systems, both lifelike and living.","darwinism-creationism-3rd-pov-eam","05:15 PM","creation-intelligent-design-vs-evolution","163"
"05-07-2008",1,"10438","53","dace","310603","That pretty well says it all. To reduce a tornado to dust is the ultimate in blind reductionism. In the case of natural, complex systems, including organisms, the whole is a thing in itself, not just a concept.","Peeling","310612","Thanks; I aim for clarity and brevity at all times. Did I once mention dust? No; I spoke of particles, in which category I include those of the air, water and all other components of the system. Each of them individually moves under the laws of physics, and the pattern thus formed we call a tornado, when it becomes apparent to our senses. The supposed 'holistic' nature of the system is merely semantic confusion: the application of a binary, on-off term to describe an analog, continuous phenomenon. In future, if you're going to cherry-pick one point out of a post to use as a smokescreen for your inability to tackle the rest, I recommend you fully understand it first. Sorry, but I don't see you drawing any useful distinction between 'thing' and 'concept' here. Or 'form' for that matter, which is another term you've used interchangeably. All these words simply refer to degrees of abstraction. Two bacteria are not similar at all in terms of their moment-to-moment molecular configuration. By ignoring progressively more and more of the detail of that configuration - abstracting from the reality - we can find sweet spots of conceptual similarity: stage of lifecycle, species etc. But that's a function of us as observers, not the 'thing' itself. What you propose is that the universe itself appreciates these anthropological degrees of abstraction. Unfortunatly the whole notion is incoherent. How can morphic resonance be so specific as to discern between species of bacteria, yet so loose as to equivocate between you and your ancestors? How can subtle mutations - changes in the fine molecular detail - of one organism propagate accurately into the completely different fine molecular detail of another via a resonance which must of necessity ignore such detail in order to occur? It would be like trying to play gamma waves on a violin. Conversely, why don't mutations that substantially alter the gross physical form of the creature 'break' the morphic resonance? Then there's the 'first time' paradox. If a new form - possessed of a particular novel trait or mutation - can function for the first time without needing to be informed by resonance with past equivalents, then it can work for the second time without resonance, and the third, and every time after that. Morphic resonance can't be needed the first time - thus it is redundant every time. All in all, it's empirically defunct and a theoretical train-wreck. Now I think I've said it all.","darwinism-creationism-3rd-pov-eam","07:20 PM","creation-intelligent-design-vs-evolution","471"
"05-08-2008",1,"10438","57","Peeling","310612","How can morphic resonance be so specific as to discern between species of bacteria, yet so loose as to equivocate between you and your ancestors? How can subtle mutations - changes in the fine molecular detail - of one organism propagate accurately into the completely different fine molecular detail of another via a resonance which must of necessity ignore such detail in order to occur? It would be like trying to play gamma waves on a violin. Conversely, why don't mutations that substantially alter the gross physical form of the creature 'break' the morphic resonance? Then there's the 'first time' paradox. If a new form - possessed of a particular novel trait or mutation - can function for the first time without needing to be informed by resonance with past equivalents, then it can work for the second time without resonance, and the third, and every time after that. Morphic resonance can't be needed the first time - thus it is redundant every time.","dace","310668","Morphic resonance neither discerns nor equivocates. A natural form of memory, it retrieves past organic form on the basis of similarity to current organic form. Fine molecular details do not propagate via morphic resonance. Only general forms propagate. So, for instance, during development liver cells form by mimicking the development of prior liver cells, not on the basis of genetic information. In their details, the cells will be quite different. Only in their overall pattern of activity are they the same. Who says they don't? It's called speciation. A species is, in essence, a collective pool of memory. Once a population has its own pool of memory, it's a species. The mystery is not how an organism does something novel. The mystery is how it knows to do things exactly the same way their ancestors did. This includes development from the egg. How does a fish embryo know to hold onto its gills while a primate embryo knows they're just a stage? An organism can certainly engage in something novel once. But for it to keep doing it and for its descendants to keep doing it just the same way, there has to be a kind of memory. It can be particulate, as in DNA, or it can be holistic, which is harder to understand because it's not tangible. That didn't stop Newton from proposing gravity and shouldn't stop us today from recognizing that the particulate form of memory is never going to be sufficient, either in explaining development or evolution.","darwinism-creationism-3rd-pov-eam","08:17 PM","creation-intelligent-design-vs-evolution","283"
"05-09-2008",1,"10438","68","dace","310668","Morphic resonance neither discerns nor equivocates . A natural form of memory, it retrieves past organic form on the basis of similarity to current organic form. Fine molecular details do not propagate via morphic resonance. Only general forms propagate. Who says they don't? It's called speciation. A species is, in essence, a collective pool of memory. Once a population has its own pool of memory, it's a species. An organism can certainly engage in something novel once. But for it to keep doing it and for its descendants to keep doing it just the same way, there has to be a kind of memory. It can be particulate, as in DNA, or it can be holistic, which is harder to understand because it's not tangible. That didn't stop Newton from proposing gravity and shouldn't stop us today from recognizing that the particulate form of memory is never going to be sufficient, either in explaining development or evolution.","Peeling","310685","To retrieve past organic form on the basis of similarity, it must discern between the non-similar and equivocate the similar. The trouble is, you have no consistent definition of 'similar'. Two seperate species of bacteria are far more similar to each other than you are to your immediate ancestor. So I ask again: how can morphic resonance be at the same time so discerning as to only equivocate between bacteria of the same species, yet so loose as to permit resonance between you and your mother? Again, inconsistent. If you're right and only 'general forms' propagate thus, Sheldrake was completely wasting his time testing those chicks - the tiny neurological differences present in a yellow LED-averse chick could never propagate via morphic resonance into another chick. Even if you claim the differences were not neurological, the same logic applies: for a chick's mind to 'resonate' with those of its predecessors all the fine detail would need to be smoothed over - a 'thought' as fine grained as 'don't peck the yellow LED' could never propagate. Which throws another spanner into your works. According to you, morphic resonance tells an organism what shape to be. But the novel trait that has made this population a new species only informs a small part of that organism's form, yes? A longer neck, webbed toes, whatever. But now the resonance with the ancestral species is broken, what tells the rest of the organism what shape to be? It can be epigenetic, sure. But there's no need to invoke morphic resonance. Nobody's saying it is - if by 'particulate' you mean 'genetic'. Epigenetic inheritance is integral - that's why you can't grow a baby in a test-tube: you need the biological systems of the mother - and essential nutrients, the production of which is inherited in different species entirely - to regulate and cooperate in its development. Life has grown into a tangled web indeed, but we don't need morphic resonance to explain it.","darwinism-creationism-3rd-pov-eam","05:22 AM","creation-intelligent-design-vs-evolution","377"
"05-11-2008",1,"10438","78","Peeling","310685","Originally Posted by dace: ""Morphic resonance neither discerns nor equivocates. A natural form of memory, it retrieves past organic form on the basis of similarity to current organic form."" To retrieve past organic form on the basis of similarity, it must discern between the non-similar and equivocate the similar. The trouble is, you have no consistent definition of 'similar'. Two seperate species of bacteria are far more similar to each other than you are to your immediate ancestor. So I ask again: how can morphic resonance be at the same time so discerning as to only equivocate between bacteria of the same species, yet so loose as to permit resonance between you and your mother? Originally Posted by dace: ""Fine molecular details do not propagate via morphic resonance. Only general forms propagate."" Again, inconsistent. If you're right and only 'general forms' propagate thus, Sheldrake was completely wasting his time testing those chicks - the tiny neurological differences present in a yellow LED-averse chick could never propagate via morphic resonance into another chick. Originally Posted by dace: ""A species is, in essence, a collective pool of memory. Once a population has its own pool of memory, it's a species."" Which throws another spanner into your works. According to you, morphic resonance tells an organism what shape to be. But the novel trait that has made this population a new species only informs a small part of that organism's form, yes? A longer neck, webbed toes, whatever. But now the resonance with the ancestral species is broken, what tells the rest of the organism what shape to be? Epigenetic inheritance is integral - that's why you can't grow a baby in a test-tube: you need the biological systems of the mother - and essential nutrients, the production of which is inherited in different species entirely - to regulate and cooperate in its development. Life has grown into a tangled web indeed, but we don't need morphic resonance to explain it.","dace","310792","That's like saying for a receiver to pick up a signal from a transmitter, it must discern between non-similar frequencies and equivocate similar frequencies. You're anthropomorphizing, a common mistake among reductionists, who claim that DNA is like a book and the body a machine. Reductionism is in fact a modern form of anthropomorphosis, projecting our technological mindset onto nature much as Paley did 200 years ago. There's nothing remotely like intelligence in morphic resonance or any other kind of resonance. This is not to deny the possibility of nonhuman intelligence, only that morphic resonance is about memory, not intelligence. What matters is the degree of similarity relative to the differences. If the differences are tiny, then resonance will occur only among very close similarities. This is presumably what would happen naturally, without any intelligent intervention. Nature doesn't discriminate against the very small. What the experiment seemed to show is that changes in neural resting states propagated to subsequently tested chicks via morphic resonance. Each pool of memory is a subset of a larger pool. Perhaps a better metaphor would be the parts of a tree. The trunk is the set of memory shared by all living things. One of the boughs emerging from the trunk is the set of memory shared by all animals. Out of this bough comes the limb of mammalian memory, and out of this limb comes the branch of primate memory, and out of this branch comes the shoot of hominid memory, and out of this shoot comes the twig of Homo sapiens memory. We still draw from all the prior branches, all the way down to the trunk. Unless developmental information is inherited via nongenetic material in the cell, this point is neither here nor there. Thank you for your thoughtful questions and comments. I appreciate that you've taken the time to understand and criticize this theory.","darwinism-creationism-3rd-pov-eam","07:53 PM","creation-intelligent-design-vs-evolution","344"
"05-12-2008",1,"10438","83","dace","310792","That's like saying for a receiver to pick up a signal from a transmitter, it must discern between non-similar frequencies and equivocate similar frequencies. You're anthropomorphizing, What matters is the degree of similarity relative to the differences. If the differences are tiny, then resonance will occur only among very close similarities. This is presumably what would happen naturally, without any intelligent intervention. Nature doesn't discriminate against the very small. What the experiment seemed to show is that changes in neural resting states propagated to subsequently tested chicks via morphic resonance. Each pool of memory is a subset of a larger pool. Perhaps a better metaphor would be the parts of a tree. The trunk is the set of memory shared by all living things. One of the boughs emerging from the trunk is the set of memory shared by all animals. Out of this bough comes the limb of mammalian memory, and out of this limb comes the branch of primate memory, and out of this branch comes the shoot of hominid memory, and out of this shoot comes the twig of Homo sapiens memory. We still draw from all the prior branches, all the way down to the trunk. Unless developmental information is inherited via nongenetic material in the cell, this point is neither here nor there.","Peeling","310821","...yes, I suppose it is, because that's what it does. Function does not imply intelligence. No, I'm not. You are engaging in semantic quibbling, a pursuit you will have to undertake solo, I fear, since I have no patience for it. I couldn't make much sense of that at first, but I eventually decided what you must have meant is that the degree of similarity relative to the potential scope for difference between two things is what counts. So two bacteria, which can differ to a lesser extent than two humans, enjoy a more sharply focused morphic resonance. Superficially that sounds reasonable, but in reality it's deeply flawed. If you ask me how different two creatures could be, why should I assume you mean 'while both still being bacteria'? Why isn't the scope species, genera, the whole scope of life itself? And given that we classify creatures as bacteria based on their similarity in the first place, what possible answer has the question ""How different could those two creatures be while still being similar?"" It's circular nonsense. It showed no such thing, because the batches of chicks never demonstrated any increased aversion to the yellow LED. Again, I urge you to reread the paper more carefully. Well, yes - that's genetics for you. The point is very much here and there. To give birth to a healthy baby a mother must consume certain nutrients, nutrients produced by other species. The 'information' concerning the synthesis of those nutrients is entirely exogenous to the human race.","darwinism-creationism-3rd-pov-eam","05:42 AM","creation-intelligent-design-vs-evolution","296"
"05-14-2008",1,"10438","96","Peeling","310821","You are engaging in semantic quibbling, a pursuit you will have to undertake solo, I fear, since I have no patience for it. dace: ""What matters is the degree of similarity relative to the differences. If the differences are tiny, then resonance will occur only among very close similarities. This is presumably what would happen naturally, without any intelligent intervention."" Superficially that sounds reasonable, but in reality it's deeply flawed. If you ask me how different two creatures could be, why should I assume you mean 'while both still being bacteria'? Why isn't the scope species, genera, the whole scope of life itself? And given that we classify creatures as bacteria based on their similarity in the first place, what possible answer has the question ""How different could those two creatures be while still being similar?"" It's circular nonsense. dace: ""Each pool of memory is a subset of a larger pool. Perhaps a better metaphor would be the parts of a tree. The trunk is the set of memory shared by all living things. One of the boughs emerging from the trunk is the set of memory shared by all animals. Out of this bough comes the limb of mammalian memory, and out of this limb comes the branch of primate memory, and out of this branch comes the shoot of hominid memory, and out of this shoot comes the twig of Homo sapiens memory. We still draw from all the prior branches, all the way down to the trunk."" Well, yes - that's genetics for you.","dace","310964","If you don't want people to think you're talking about intelligence, why use terms like discernment and equivocate? Morphic resonance doesn't operate according to abstract classifications. It doesn't have to answer questions about difference and similarity. Like gravity or electromagnetism, it's a property of nature. The circular nonsense is what happens when you try to fit nature into the logic of human abstraction. Is a tornado circular nonsense? Think about it. The damn thing comes into being by reducing the gradient that provides the energy that gives it its form. Sound weird? It's called self-organization. It's the principle not only of organisms but evolution. It's how a species comes into being. By finding and exploiting a previously untapped gradient, a new kind of organism is sculpted by the forces it unleashes, distinguishing it from its former kind. Only if you assume reduction of living process to static units of information. The genetic reduction of evolution is premised on the genetic reduction of the organism. The complex (organism) is rendered simple (gene). But gene is not so simple after all. Turns out it undergoes extremely complex operations, flickering like a lightning bug in perfect coordination with thousands of others. Now you're missing a premise. It's been yanked out. Now there's no basis for the conclusion that the evolution of species in the outer world is but the shadow of genetic mutations in microscopic chromosomes. Instead of determining the process, maybe alterations in DNA during speciation merely mark at the genetic level the real action taking place in the resonance between current and past organic forms. Of course, we have a word for this ""place."" It's called mind, and it's the ground of consciousness. In other words, it's all real. We're alive. This is all really happening. And that's the part the abstractions leave out.","darwinism-creationism-3rd-pov-eam","09:38 PM","creation-intelligent-design-vs-evolution","346"
