"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"04-20-2008","11164",1,"None","None","None","lpdm","309215","Whatever, people losing jobs for saying they beleive in intellegent design. Good? Bad?","freedom-speach","12:43 PM","creation-intelligent-design-vs-evolution","1"
"04-20-2008","11164",1,"None","None","None","lpdm","309217","Bad!!!!!!!!!!!!!!!!!!!!!!! :","freedom-speach","12:46 PM","creation-intelligent-design-vs-evolution","2"
"04-20-2008","11164",1,"lpdm","309215","Whatever, people losing jobs for saying they beleive in intellegent design. Good? Bad?","electrolyte","309222","Whatever, people lying by saying that they lost their jobs because they said they believe in Intelligent Design? Good? Bad? Utterly predictable? http://www.expelledexposed.com/index.php/the-truth","freedom-speach","01:12 PM","creation-intelligent-design-vs-evolution","3"
"04-20-2008","11164",1,"None","None","None","Archangel","309226","The ugly reality of life in America today regarding the secular humanist Left is that they support free speech as long as you agree with them. If you disagree with them, you are branded as a religious zealot who's determined to take their rights away. What they don't want you to ever realize is that it is they who are tearing at the traditions and customs that America was built upon and gained us the respect of the World at large. And it is their corruption of the morals and values America once represented that is the cause of so much hatred and disrespect from the rest of the World today. So thanks to the liberal immoral left, we are seen as the moral evil of the World. Not because of the Religious Right as the Left would have you believe.","freedom-speach","01:18 PM","creation-intelligent-design-vs-evolution","4"
"04-20-2008","11164",1,"electrolyte","309222","Whatever, people lying by saying that they lost their jobs because they said they believe in Intelligent Design? Good? Bad? Utterly predictable? http://www.expelledexposed.com/index.php/the-truth","marc9000","309230","I'll let you know to what extent the movie documents it. I'm off to see it in a few.","freedom-speach","01:36 PM","creation-intelligent-design-vs-evolution","5"
"04-20-2008","11164",1,"Archangel","309226","The ugly reality of life in America today regarding the secular humanist Left is that they support free speech as long as you agree with them. If you disagree with them, you are branded as a religious zealot who's determined to take their rights away. What they don't want you to ever realize is that it is they who are tearing at the traditions and customs that America was built upon and gained us the respect of the World at large. And it is their corruption of the morals and values America once represented that is the cause of so much hatred and disrespect from the rest of the World today. So thanks to the liberal immoral left, we are seen as the moral evil of the World.","electrolyte","309239","What a crock. I find myself loving when you go on and on so that I can continue to wail on you with the Truth Stick of No Mercy. It's usually you who is responsible for shutting yourself up. No, you're branded as a religious zealot when you make arguments that people who don't share your exact beliefs should have their rights taken away. Liberals were responsible for things like abolition of slavery and women's suffrage that overturned the oh-so-traditional status quo. Now we're working toward death with dignity for the terminally ill, reasonable gun control, access to abortion and contraception (without sparking the ire of fundy parents and community members)... are these things that are despised by the rest of the world? No, but things like slavery, sexism, rampant crime, and politicization of private issues are. The main cause of so much hate and disrespect is the phony war we're fighting and our tactics in violation of international law, our attitude of superiority in the world, and our outright bullying of others, all of which are being pushed the most by -- you guessed it -- not liberals. No, Archie, you and your boys can take the blame for that one. Archie's projection complex strikes again! Pretty much, we can take whatever Archie says and know that the truth is the precise opposite.","freedom-speach","04:16 PM","creation-intelligent-design-vs-evolution","6"
"04-20-2008","11164",1,"marc9000","309230","I'll let you know to what extent the movie documents it. I'm off to see it in a few.","electrolyte","309240","Good, you can address the claims made here , too. ETA: Also see how the movie's version lines up with the information here regarding Sternberg.","freedom-speach","04:20 PM","creation-intelligent-design-vs-evolution","7"
"04-20-2008","11164",1,"electrolyte","309240","Good, you can address the claims made here , too. ETA: Also see how the movie's version lines up with the information here regarding Sternberg. ....Expelled frequently repeats that design-based explanations (not to mention religious ones) are ""forbidden"" by ""big science."" It never explains why, however. Evolution and the rest of ""big science"" are just described as having an atheistic preference.","marc9000","309257","Yes, panic attacks are sparking many very long winded rants. I can see why some reviews have called it ""important"" and ""powerful"". It was very good, not a comedy as some may attempt to describe it. It had a little of Ben Stein's mysteriousness and humor to it, but it was generally serious, and some may say, depressing. It was nice to see the people whose writings I had seen on the net, but had never seen speak before or even a picture of - Myers, Ruse, Berlinski, etc. I'll address the six points from your first link, that's all I have time for tonight. 1) Nitpicking. The movie wasn't attempting to link euginics and the holocaust to Darwin himself nearly as much as it was showing its relationship with Darwinism in general. I don't think linking Darwinism and societal atrocities are an unprovoked first assertion. It's a response to atheists/evolutionists who constantly link religion with societal atrocities. 2) Informed viewers of Expelled might NOT think Stein was giving speeches on college campuses, if they had any knowledge of ""speech codes"" and other games played in todays universities to keep conservatives out. When I saw that scene, I sure didn't think it was a college campus. I didn't give much thought to where it was, but it was no crime to stage it. It is a movie, after all. 3) Crying that they didn't know what they were being interviewed for? If they'd have known, would they have refused to participate, or lied about something? 4) Yes, there are all kinds of long winded rants about all the details of how the ID proponents were being treated perfectly fair. It's up to anyone who actually watched the movie to decide if these people just weren't intelligent enough to make the grade, while ALL the Ward Churchill's of the academic world seldom seem to have any problems. 5) HELLO!! THAT'S WHY!! Then we see the standard dance of how innocent and objective science really is. 6) And the standard ""theistic evolution"" dance. Atheistic evolutionists can't get along without it! I wonder if Kenneth Miller will see the movie, and comment on it. I wonder if he'd have refused to be a part of it.","freedom-speach","08:22 PM","creation-intelligent-design-vs-evolution","9"
"04-20-2008","11164",1,"None","None","None","marc9000","309258","Go see this movie, AA.","freedom-speach","08:23 PM","creation-intelligent-design-vs-evolution","10"
"04-20-2008","11164",1,"marc9000","309258","Go see this movie, AA.","Archangel","309259","I wouldn't miss it.","freedom-speach","08:34 PM","creation-intelligent-design-vs-evolution","11"
