"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"08-08-2008","11467",1,"None","None","None","marc9000","319724","Testable, repeatable, observable. Its a big part of evolution, a big part of science. When debates come up concerning conflicts in worldviews, its often the observation thats involved that determines the validity of an argument, or how it will be applied to a political decision. While humans have five senses that enable us to observe reality, its usually the sense of sight that is applied to what science can learn - we see through a micorscope, we see through a telescope. etc. Are not most observations that evolutionists use to debate against ID/ religion not a result of sight from the human eye? There are five primary, or pure, colors. White, black, red, yellow, blue. Every color we see is a variation of one of these five. Im a little mystified why wikipedia shows green as a primary color, since its a mixture of blue & yellow, but it matters little. That link gives a little outline of what it is about the human eye that causes these colors to be visible to us. Ive never seen this addressed before, I dont know if its going to inspire emotion or rational thought, but here goes; The universe has billions of stars, billions of planets, billions of light years, billions of so many things, yet it only has 5 colors? Does the scientific community generally believe thats all the pure colors that exist throughout the universe, or is it open to the possibility that there could be more, maybe dozens, maybe hundreds, maybe billions? Could it be that human observation is far more limited than we think?","observation","09:20 PM","creation-intelligent-design-vs-evolution","1"
"08-08-2008","11467",1,"marc9000","319724","Ive never seen this addressed before, I dont know if its going to inspire emotion or rational thought, but here goes; The universe has billions of stars, billions of planets, billions of light years, billions of so many things, yet it only has 5 colors? Does the scientific community generally believe thats all the pure colors that exist throughout the universe, or is it open to the possibility that there could be more, maybe dozens, maybe hundreds, maybe billions? Could it be that human observation is far more limited than we think?","Kronus","319726","Color is a function of the wavelength of light. Thus, quantum considerations aside, there are a nigh infinite number of colors. Humans, of course, can only see a subset of those colors, ranging from about 400 to 700 nanometers. In particular, our eyes have cells ""tuned"" to three ranges of wavelengths; blue, red, and green. You could think of those as short, medium, and long wavelengths. By extrapolating from the relativity intensities from the particular cells we can ""figure out"" what wavelength is entering our eyes. http://www.cambridgeincolour.com/tut...perception.htm Does this dispell your confusion? Edit: And just to address one other point, scientists are well aware of the limitations of the human eye. That's why, when exact determination of color is important, machines that can read precise wavelengths are used, rather than relying on the known to be limited instrument which is the human eye.","observation","09:29 PM","creation-intelligent-design-vs-evolution","2"
"08-08-2008","11467",1,"Kronus","319726","Does this dispell your confusion? ""infer (an unknown) from something that is known; conjecture."" the formation or expression of an opinion or theory without sufficient evidence for proof.","marc9000","319731","We're off to quite a start, yes. When we ""extrapolate from the relativity intensities from the particular cells"", we may have left the scientific world and entered the philosophical world. When we ""extrapolate"", dictionary.com tells us that we; and a conjecture is; I'm now slightly less confused about why I've never seen this discussed before.","observation","10:05 PM","creation-intelligent-design-vs-evolution","3"
"08-08-2008","11467",1,"None","None","None","T.Q","319732","Kronus, don't even bother. Only 2 posts in and Marc figures he's made some profound new insight and is into full on conspiracy mode.","observation","10:10 PM","creation-intelligent-design-vs-evolution","4"
"08-08-2008","11467",1,"Kronus","319726","Edit: And just to address one other point, scientists are well aware of the limitations of the human eye. That's why, when exact determination of color is important, machines that can read precise wavelengths are used, rather than relying on the known to be limited instrument which is the human eye.","marc9000","319733","So we can make machines to see better than we do? I wonder what would happen if one of our machines dismantled something that Galileo or Einstein saw?","observation","10:10 PM","creation-intelligent-design-vs-evolution","5"
"08-08-2008","11467",1,"T.Q","319732","Kronus, don't even bother. Only 2 posts in and Marc figures he's made some profound new insight and is into full on conspiracy mode.","marc9000","319734","And we have an emotional post with no substance whatsoever. I'm sure your twin will be checking in soon. I think I'll keep a count of this type of post.","observation","10:12 PM","creation-intelligent-design-vs-evolution","6"
"08-08-2008","11467",1,"marc9000","319734","And we have an emotional post with no substance whatsoever. I'm sure your twin will be checking in soon. I think I'll keep a count of this type of post.","T.Q","319735","And we have a paranoid post with no content whatsoever. Once again you see a conspiracy where none exist. You're also showing your paranoia again by referring to my ""twin"", but you go right ahead and keep a count of whatever you want (a little hint-when you get to 10, use your toes)","observation","10:19 PM","creation-intelligent-design-vs-evolution","7"
"08-08-2008","11467",1,"T.Q","319735","And we have a paranoid post with no content whatsoever. Once again you see a conspiracy where none exist. You're also showing your paranoia again by referring to my ""twin"", but you go right ahead and keep a count of whatever you want (a little hint-when you get to 10, use your toes)","marc9000","319736","There's ALWAYS a conspiracy in ID, but NEVER in evolution? I'm sure it will get past 10, and I'll do okay without the toes. Sorry about your complete inability to address the topic of the thread.","observation","10:27 PM","creation-intelligent-design-vs-evolution","8"
"08-08-2008","11467",1,"marc9000","319731","We're off to quite a start, yes. When we ""extrapolate from the relativity intensities from the particular cells"", we may have left the scientific world and entered the philosophical world. When we ""extrapolate"", dictionary.com tells us that we; ""infer (an unknown) from something that is known; conjecture."" and a conjecture is; the formation or expression of an opinion or theory without sufficient evidence for proof. I'm now slightly less confused about why I've never seen this discussed before. ""infer (an unknown) from something that is known; conjecture."" the formation or expression of an opinion or theory without sufficient evidence for proof.","Collin","319738","Inference is part of the scientific method -- probably the most important part, at that. Without it we would discover nothing, for we can prove very little to begin with. Bear in mind that ""proof"" is an extremely high standard. Proof is the level at which a proposition's truth value is necessary (ex: given how we define ""two,"" it is impossible for ""two"" to not be ""one"" plus ""one""). Inference on the other hand is the only option outside of mathematics. With that in mind, the fact that we can't prove much of anything is more or less irrelevant; what we can do is find lots and lots of supporting evidence and safely infer information from it.","observation","10:55 PM","creation-intelligent-design-vs-evolution","9"
"08-09-2008","11467",1,"marc9000","319736","There's ALWAYS a conspiracy in ID, but NEVER in evolution? Sorry about your complete inability to address the topic of the thread.","T.Q","319747","""cdesign proponentsists"" I rest my case. Oh, I'm quite capable of addressing the topic. I did so in grade 5 or 6 science class when I first learned of the electromagnetic spectrum. But explain to me why you need to be taught elementary school science, if you would.","observation","01:28 AM","creation-intelligent-design-vs-evolution","11"
"08-09-2008","11467",1,"marc9000","319731","We're off to quite a start, yes. When we ""extrapolate from the relativity intensities from the particular cells"", we may have left the scientific world and entered the philosophical world. When we ""extrapolate"", dictionary.com tells us that we; and a conjecture is; I'm now slightly less confused about why I've never seen this discussed before.","Kronus","319761","You are aware that words have more than one meaning, right? And that every definition isn't appropriate in every situation? The definition, from dictionary.com, that you should have used is: To infer or estimate by extending or projecting known information.","observation","08:40 AM","creation-intelligent-design-vs-evolution","12"
