"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"05-26-2009","12023",22,"None","None","None","southern_reckon","355083","Once again this is a summary of the podcast Evolution 101 by Dr. Zachary Moore, PhD How does species change from one to another? A species is not as intuitive as one may think. But I am not going into the details of each of the methods of differentiating species. You may do your on research on the four (typology, morphometry, sexual isolation, phylogeny) methods. Humans like to put things in categories (e.g. organisms in categories of species), but nature does not care. Lets look at one method of defining a species. Sexual isolation: organisms that can mate with each other and give viable offspring. We shall ignore hybrids such as mules and ligers. They are usually sterile. There is a particular set of organisms called ring species that allow us to get s snapshot of speciation in action today. I find them fascinating. Think of a straight line as a circle where G connects back to A. (I am not very good with ASCII art so this will have to work. There are excellent examples on the net, just search for ring species. On youtube: search for: Evolution in Action: Ring Species) A B C D E F G A One such ring species is Ensatina eschscholtzii. A group of salamanders that live in the mountains which circle the California Simi Valley. The mountain range splits around the valley. As the salamanders moved south, there was a split in lineage from the parent. Some went on the east side of the valley, some went to the west side of the valley. At the southern end of the valley, the daughters of the salamanders meet after about 10 million year split. However, something strange happened. Imagine A and G are the ones meeting in the southern part of California. Just to keep it simple, I will use A-G instead of their scientific names. Here is the cool thing: 1. A can mate with B 2. B can mate with A and C 3. C can mate with B and D 4. D can mate with C and E 5. E can mate with D and F 6. F can mate with E and G 7. G can mate with F, BUT NOT A Each group looks a little different from the one next to it. And A does not look anything like G! At this moment, they are considered the same species. What happens if B-F goes extinct? We now have two separate species! The ring species causes the evolutionary branching effect on the evolutionary tree. This is one example of evolution in action as predicted by Darwin. Imagine this same process happening for nearly 4 billion years over the entire earth. Mind boggling. I noticed in your post that you are looking for an example of a mammal. I do not know of a present day ring species of a mammal. (But then I am just a little, country boy from Mississippi, not a biologist.) We must rely on other evidence. As one understands how evolution works, you see the overwhelming evidence in fossil record, DNA research, and in speciation with common ancestors. Next post, randomness plays a role in evolution, but is not the driving force.","there-absolutely-no-convincing-evidence-theory-evolution","05:52 PM","creation-intelligent-design-vs-evolution","316"
"05-26-2009","12023",22,"None","None","None","southern_reckon","355140","If someone wishes more information, I shall go on. Otherwise, I will consider the matter closed. Evolution is a fact. Creation(Intelligent Design) is metaphysics (religion) and its supporters are attempting to use science to validate a belief system. There is room for science and religion in the human experience. However, one should not expect science to accept an extraordinary magical solution without extraordinary proof. Science is not a religion. It is simply a systematic method of gaining knowledge of the world around us. Science should be taught in science classes. Religion should be Sunday school (or the equivalent). There is even room for religion to be taught in religion, philosophy, possibly history, and/or possibly literature classes. The debate over evolution vs creationism is not a scientific debate. It is a set of religious people making it a public relations/political debate and using scientific mumbo jumbo to blur the line. Unfortunately, the science education in the USA is such that many people cannot see the difference.","there-absolutely-no-convincing-evidence-theory-evolution","11:36 PM","creation-intelligent-design-vs-evolution","317"
"05-27-2009","12023",22,"None","None","None","Accipiter","355162","Congratulations, you are the winner!","there-absolutely-no-convincing-evidence-theory-evolution","06:14 AM","creation-intelligent-design-vs-evolution","318"
"05-31-2009","12023",22,"southern_reckon","355140","If someone wishes more information, I shall go on. Otherwise, I will consider the matter closed. Evolution is a fact. Creation(Intelligent Design) is metaphysics (religion) and its supporters are attempting to use science to validate a belief system. There is room for science and religion in the human experience. However, one should not expect science to accept an extraordinary magical solution without extraordinary proof. Science is not a religion. It is simply a systematic method of gaining knowledge of the world around us. Science should be taught in science classes. Religion should be Sunday school (or the equivalent). There is even room for religion to be taught in religion, philosophy, possibly history, and/or possibly literature classes. The debate over evolution vs creationism is not a scientific debate. It is a set of religious people making it a public relations/political debate and using scientific mumbo jumbo to blur the line. Unfortunately, the science education in the USA is such that many people cannot see the difference.","Charliegone","355519","+1. Exactly my thinking. Intelligent design is metaphysics which belongs in philosophy or in religion class/es or some kind of religion. Philosophy has some good things to live by, but not be ruled by.","there-absolutely-no-convincing-evidence-theory-evolution","03:40 AM","creation-intelligent-design-vs-evolution","319"
"06-01-2009","12023",22,"None","None","None","MarielB","355644","Proof that evolution is ""right"" is not necessary to prove that Genesis is not science. Genesis is an inspired poem, and contains truth in its message, but it is pretty obviously a work of poetry, like a song. Look at the repetition, and all the metaphors! Poetry does not imply fiction. THere are many historically valid poems. Plus, when read figuratively, Genesis poses no conflict at all with science. Evolution is not the only science that demonstrates Genesis can not be read literally. What about the speed of light from the stars, geology, genetics, comparative embryology, etc. The only stumbling block between science and faith is a strictly literal interpretation. For most of us Faith and science work together! see: songofgenesis.org for more detailed information.","there-absolutely-no-convincing-evidence-theory-evolution","09:53 AM","creation-intelligent-design-vs-evolution","320"
"06-01-2009","12023",22,"MarielB","355644","The only stumbling block between science and faith is a strictly literal interpretation. For most of us Faith and science work together!","Larni","355646","That's the rub: people worshipping the bible as opposed to their god. Fortunately, many people can cope with science being how their god did it .","there-absolutely-no-convincing-evidence-theory-evolution","10:02 AM","creation-intelligent-design-vs-evolution","321"
"01-02-2010","12023",22,"None","None","None","OLEG","384428","This is absolute lunacy and is a sad example of how science illiterate most Americans are. Evolution has nothing to do with body parts lying around. Instead of writing an endless dissertation on the facts of science and evolution and ignoring the myths of religion I highly recommend that people look up the Science Club of Long Island. They publish a monthly online magazine called Science and Discovery. The subject of evolution is covered from soup to nuts. In addition as an added benefit they debunk the Bible and prove that Christianity is nothing but a hoax. I suggest everyone explore this site thoroughly.","there-absolutely-no-convincing-evidence-theory-evolution","09:09 PM","creation-intelligent-design-vs-evolution","322"
"02-12-2010","12023",22,"CashBurnRate","334263","If all life evolved from a common ancestor, then there should be countless instances of new body parts evolving. Body parts such as eyes, muscle, bone, etc. We have not seen one instance of a new body part evolving in a population in which it has not existed previously. Evolutionists will wave the magic ""time wand"" and simply claim that such a change could never be observed in a few decades. What about fruit flies? One generation of fruit flies = around a day. Fruit flies were exposed to x rays to speed up mutation rates, we have observed the equivalent of millions of years (in terms of human generations) of super-accelerated mutation and.... no new body parts. Evolutionists will also list in steps how a new body part can arise. This is only plausible if each of those steps could be directly observed. If not, then it is nothing more than science fiction. Evolutionists have been searching for any direct evidence of the theory of evolution since the 1800's. They are still looking.","Freedom","390216","What you are talking about is irreducible complexity; it is the only argument against evolution that appears to be totally immune to rebuttal. I have thought this issue is far over debated like gay issues but perhaps that are because I have an objectivist view point. I don't suppose any evolutionist have realized that all the evidence for evolution is also evidence for ID. They often talk about the mountains of irrefutable evidence, but the fact that the sun rose and set every day was evidence for the sun orbiting the earth, but it's also evidence for the earth spinning. Likewise all the evidence for evolution can be condensed into one statement ""life forms are similar to other life forms"", This is predicted by the intelligent design hypothesis as well. Direct evidence for ID that would not support evolution would be irreducibly complex biology, direct evidence for evolution that would not support ID would be more than just adaptation, it would have to be original useful DNA, or a simulation showing that coherent structure can be achieved without intelligent design by randomization and elimination.","there-absolutely-no-convincing-evidence-theory-evolution","10:12 PM","creation-intelligent-design-vs-evolution","323"
"02-13-2010","12023",22,"Freedom","390216","I have thought this issue is far over debated like gay issues but perhaps that are because I have an objectivist view point.","jazyjason","390234","And what type of objectivist views do you have toward gay issues if I may ask? I'm assuming gay issues may seem irrelevant since they probably don't pertain to you well, cause your not gay....","there-absolutely-no-convincing-evidence-theory-evolution","06:54 AM","creation-intelligent-design-vs-evolution","324"
"02-13-2010","12023",22,"Freedom","390216","I don't suppose any evolutionist have realized that all the evidence for evolution is also evidence for ID. They often talk about the mountains of irrefutable evidence, but the fact that the sun rose and set every day was evidence for the sun orbiting the earth, but it's also evidence for the earth spinning. Likewise all the evidence for evolution can be condensed into one statement ""life forms are similar to other life forms"", This is predicted by the intelligent design hypothesis as well. Direct evidence for ID that would not support evolution would be irreducibly complex biology, direct evidence for evolution that would not support ID would be more than just adaptation, it would have to be original useful DNA, or a simulation showing that coherent structure can be achieved without intelligent design by randomization and elimination.","Larni","390237","The fact that the sun rises every day is not evidence for the sun orbiting the Earth, this effect is seen because of the rotation of Earth. ToE does not state that ""life forms are similar to each other"". Direct evidence for ID/Creationism has never been established so there is no reason to suppose it to be true. Direct evidence for allele frequency change is freely available for all to see. You also need to define original, useful DNA. 4/10. See me after class.","there-absolutely-no-convincing-evidence-theory-evolution","07:04 AM","creation-intelligent-design-vs-evolution","325"
