"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"08-11-2009","13107",1,"None","None","None","Accipiter","365072","Fellow atheists and agnostics, what are your most effective arguments for disproving biblical creation? If you are religious please do not post in this thread.","effective-arguments-disproving-biblical-creation","01:30 PM","creation-intelligent-design-vs-evolution","1"
"08-11-2009","13107",1,"None","None","None","iangb","365121","My favourite would be the fact that we can see objects in space which are more than 8,000 light years away. The (initial) common creationist response to this is that the speed of light 'must' have changed over time - however, there are several disproofs for this. The first is simple - there is a great amount of evidence that this is not the case: at the very most, it has not changed by very much. . Even better than that, however, is the case of Supernova 1987A . This supernova was surrounded by distant rings of gas which could be observed 'lighting up' as the light from the supernova hit it. The rings were big enough for an angular width to be measured (0.808 arcseconds diameter), and the time taken for the light to get from the central 'nova to the rings was measured. Basic trigonometry gives the result that, regardless of the current speed of light, the event took place 168,000 years ago. You might be able to get around this by making some headache-inducing assumptions, but (unsurprisingly, really) independent methods of distancing the supernova puts it at 168,000 light-years away, thus nicely supporting the observations made.","effective-arguments-disproving-biblical-creation","06:43 PM","creation-intelligent-design-vs-evolution","2"
"08-11-2009","13107",1,"iangb","365121","My favourite would be the fact that we can see objects in space which are more than 8,000 light years away. The (initial) common creationist response to this is that the speed of light 'must' have changed over time - however, there are several disproofs for this. The first is simple - there is a great amount of evidence that this is not the case: at the very most, it has not changed by very much. . Even better than that, however, is the case of Supernova 1987A . This supernova was surrounded by distant rings of gas which could be observed 'lighting up' as the light from the supernova hit it. The rings were big enough for an angular width to be measured (0.808 arcseconds diameter), and the time taken for the light to get from the central 'nova to the rings was measured. Basic trigonometry gives the result that, regardless of the current speed of light, the event took place 168,000 years ago. You might be able to get around this by making some headache-inducing assumptions, but (unsurprisingly, really) independent methods of distancing the supernova puts it at 168,000 light-years away, thus nicely supporting the observations made.","Archangel","365124","Balderdash is my only response if you are holding this up as evidence of anything absolute. Simply put, I'll let this link answer your distance of stars claim. http://www.ibri.org/Tracts/lttmetct.htm But for a more practical answer, imagine this. In the beginning, space was a void which spanned all of eternity. Only one object/energy source encompassed all of it from one end of its massive emptiness to the other, and that person was my God Yahweh. And in one second or minutes time, he spoke all of the stars that have ever existed, at different intensities and strengths, which causes them to burn out at different times. But he placed them at the very inner and outer limits of time and space at that time. Liken it to a farmer with a hand full of seeds. He pulls back his arm and throws those seeds to the end of the plot of land he is sowing at that time. To the ants on the ground, if they measured the time it would take to reach the farthest seed, it would represent a great distance, but to the farmer it was just one arms throw in time to disperse hundreds of seeds at one time. Now here we are as finite creatures who can only see time from our linear perspective. Time is plastic. Our linear measure is man made for our convenience only. That you place what we call the measure of so called light years is arbitrary at best. But I am getting too deep for you and this discussion. The point is that our God has the ability to place the stars in every corner of not only what we again, arbitrarily call our universe, but throughout all of time and space. But to we puny finite humans who have invented telescopes, it appears that these stars we are seeing today are ancient based on the perceived yet arbitrarily arrived at distance you believe they are from us. But since you are unable to even grasp the hugeness of our God, you also fail to appreciate that light years are a measure of distance rather than time. So by that definition alone, it is foolish to equate it with Earth time rather than Gods ability to reach any distant place in time and space and place stars there.","effective-arguments-disproving-biblical-creation","08:30 PM","creation-intelligent-design-vs-evolution","3"
"08-11-2009","13107",1,"Archangel","365124","Balderdash is my only response if you are holding this up as evidence of anything absolute. Simply put, I'll let this link answer your distance of stars claim. http://www.ibri.org/Tracts/lttmetct.htm But for a more practical answer, imagine this. In the beginning, space was a void which spanned all of eternity. Only one object/energy source encompassed all of it from one end of its massive emptiness to the other, and that person was my God Yahweh. And in one second or minutes time, he spoke all of the stars that have ever existed, at different intensities and strengths, which causes them to burn out at different times. But he placed them at the very inner and outer limits of time and space at that time. Liken it to a farmer with a hand full of seeds. He pulls back his arm and throws those seeds to the end of the plot of land he is sowing at that time. To the ants on the ground, if they measured the time it would take to reach the farthest seed, it would represent a great distance, but to the farmer it was just one arms throw in time to disperse hundreds of seeds at one time. Now here we are as finite creatures who can only see time from our linear perspective. Time is plastic. Our linear measure is man made for our convenience only. That you place what we call the measure of so called light years is arbitrary at best. But I am getting too deep for you and this discussion. The point is that our God has the ability to place the stars in every corner of not only what we again, arbitrarily call our universe, but throughout all of time and space. But to we puny finite humans who have invented telescopes, it appears that these stars we are seeing today are ancient based on the perceived yet arbitrarily arrived at distance you believe they are from us. But since you are unable to even grasp the hugeness of our God, you also fail to appreciate that light years are a measure of distance rather than time. So by that definition alone, it is foolish to equate it with Earth time rather than Gods ability to reach any distant place in time and space and place stars there.","unkerpaulie","365132","I hope everyone here has enough common sense to not even attempt to try to argue against this. This is so far away from anything that even remotely makes sense you'd need to deliberately damage your your brain to near suicide just to get yourself to the level to respond to this.","effective-arguments-disproving-biblical-creation","09:39 PM","creation-intelligent-design-vs-evolution","4"
"08-11-2009","13107",1,"Archangel","365124","you also fail to appreciate that light years are a measure of distance rather than time.","T.Q","365139","I told you I'd be pointing out your idiocy.","effective-arguments-disproving-biblical-creation","11:11 PM","creation-intelligent-design-vs-evolution","6"
"08-11-2009","13107",1,"Archangel","365124","Balderdash is my only response if you are holding this up as evidence of anything absolute. Simply put, I'll let this link answer your distance of stars claim. http://www.ibri.org/Tracts/lttmetct.htm","obvious_child","365140","So God deceived us by creating a system that today works as we know it in a way that refutes Literal Creationism and has absolutely no evidence of being different at any time in the past but secretly made the named light sources abide to his secondary set of physical laws which he then removed from creation without a trace. Got it: God's a Liar, a deceiver and a cheater Not the first time you argued that.","effective-arguments-disproving-biblical-creation","11:15 PM","creation-intelligent-design-vs-evolution","7"
"08-11-2009","13107",1,"unkerpaulie","365132","I hope everyone here has enough common sense to not even attempt to try to argue against this. This is so far away from anything that even remotely makes sense you'd need to deliberately damage your your brain to near suicide just to get yourself to the level to respond to this.","obvious_child","365143","Tell me, Unkerpaulie, what is with YECs and their arguments that require their God who they allege to be perfect, to be an epic liar that makes all liars in history, include Satan look like Girl Scouts?","effective-arguments-disproving-biblical-creation","11:36 PM","creation-intelligent-design-vs-evolution","8"
"08-11-2009","13107",1,"Accipiter","365072","Fellow atheists and agnostics, what are your most effective arguments for disproving biblical creation? If you are religious please do not post in this thread.","obvious_child","365144","http://www.4forums.com/political/cre...-possible.html And the easiest is to simply ask a YEC to explain the world and why their belief is correct without a single reference to Evolution. They can't do it. Their entire belief is based on the false dichotomy that if evolution is wrong, therefore Creationism. Stupid, but YECs are retarded.","effective-arguments-disproving-biblical-creation","11:39 PM","creation-intelligent-design-vs-evolution","9"
"08-12-2009","13107",1,"None","None","None","T.Q","365145","Let's not derail Accipiter's thread","effective-arguments-disproving-biblical-creation","12:13 AM","creation-intelligent-design-vs-evolution","10"
"08-12-2009","13107",1,"None","None","None","Penfold","365157","It makes a refreshing change to have a thread solely for the non-religious, it saves the supernaturalists from embarrassing themselves by broadcasting their appalling ignorance for all the world to see, even although they lack the insight to see it themselves. The ""flood"" is a good example, or the calculation of the age of the Earth through the genealogies in the Bible.","effective-arguments-disproving-biblical-creation","07:07 AM","creation-intelligent-design-vs-evolution","12"
