"Date","Dialog_Turn","Discussion_Id","Post_Counter","Quote_Author","Quote_Id","Quote_Text","Response_Author","Response_Id","Response_Text","Subtopic","Time","Topic","Word_Count"
"09-03-2009",1,"13107","368","Accipiter","368084","No one can refute the fact that god is magic arch, For instance you say there are no observables for evolution but Darwins work was based on observation. You can see evidence of evolution everywhere form the animals we breed to the fossil evidence to bacteria which evolve resistance to antibiotics. No test to prove evolution takes place? Why test something that humans make happen every day?","Archangel","368097","How can I be expected to reason with someone with such a limited understanding of their own spiritual make up that they persistently just mouth ignorant atheistic drivel and talking points. You call God magic when God condemns all forms of magic and occult practices in His word. Evidently you don't appreciate the difference between the supernatural and magic. Great, now we're getting somewhere, just post where Darwin proved MICRI-EVOLUTION ever occurred at anytime and you win this whole debate. Isn't that easy accipiter? Or else you can go educate yourself about what evolution actually claims compared to what is evident in reality, and then either remain in ignorant denial or change your views like a grown up does when they leave childish things behind. Again my ignorant friend, just show any animals which are evidence of micro-evolution which we have observed evolve from one species into another, or produce evidence that we have engineered/bred into one species from another. Go on accipiter, you can win this debate in short order if you can only back up your claims according to what evolution claims has occurred, yet cannot prove or show in the real world. If humans make micro-evolution happen every day then your job is done and you will win this debate and finally shut this egregiously ignorant christian up. Just post a couple of links which prove science has genetically evolved a reptile into a mammal or a protein into an insect even, and you have exposed my ignorance. In other words accipiter, the goal is cross species pro-generation. Make it happen or prove that it has and you win the debate. But what you will find after an endless search is that none of that has happened because micro-evolution has never happened and never will. So that leaves the question, then how does the so called science of evolution claim that all life spontaneously evolved from the original protein/enzyme which miraculously appeared in that proverbial puddle of primordial ooze. Talk about MAGIC? Your secular humanist religion of evolution is founded upon it.","effective-arguments-disproving-biblical-creation","02:25 PM","creation-intelligent-design-vs-evolution","375"
"09-03-2009",1,"13107","370","Archangel","368097","How can I be expected to reason with someone with such a limited understanding of their own spiritual make up that they persistently just mouth ignorant atheistic drivel and talking points. You call God magic when God condemns all forms of magic and occult practices in His word. Evidently you don't appreciate the difference between the supernatural and magic. Great, now we're getting somewhere, just post where Darwin proved MICRI-EVOLUTION ever occurred at anytime and you win this whole debate. Isn't that easy accipiter? Or else you can go educate yourself about what evolution actually claims compared to what is evident in reality, and then either remain in ignorant denial or change your views like a grown up does when they leave childish things behind. Again my ignorant friend, just show any animals which are evidence of micro-evolution which we have observed evolve from one species into another, or produce evidence that we have engineered/bred into one species from another. Go on accipiter, you can win this debate in short order if you can only back up your claims according to what evolution claims has occurred, yet cannot prove or show in the real world. If humans make micro-evolution happen every day then your job is done and you will win this debate and finally shut this egregiously ignorant christian up. Just post a couple of links which prove science has genetically evolved a reptile into a mammal or a protein into an insect even, and you have exposed my ignorance. In other words accipiter, the goal is cross species pro-generation. Make it happen or prove that it has and you win the debate. But what you will find after an endless search is that none of that has happened because micro-evolution has never happened and never will. So that leaves the question, then how does the so called science of evolution claim that all life spontaneously evolved from the original protein/enzyme which miraculously appeared in that proverbial puddle of primordial ooze. Talk about MAGIC? Your secular humanist religion of evolution is founded upon it.","Accipiter","368101","micro-evolution?","effective-arguments-disproving-biblical-creation","03:31 PM","creation-intelligent-design-vs-evolution","2"
"09-03-2009",1,"13107","380","Accipiter","368101","micro-evolution?","Archangel","368142","Sorry, I meant macroevolution. I have been discussing the impossibility of macroevolution occurring throughout this whole debate and have likened microevolution to rapid adaptation which does occur in nature. What hasn't occurred and never will is one species of animal evolving into another species which I did explain in the post in which I mistakingly used the term micro rather than macroevolution.","effective-arguments-disproving-biblical-creation","06:00 PM","creation-intelligent-design-vs-evolution","66"
"09-04-2009",1,"13107","398","Archangel","368142","Sorry, I meant macroevolution. I have been discussing the impossibility of macroevolution occurring throughout this whole debate and have likened microevolution to rapid adaptation which does occur in nature. What hasn't occurred and never will is one species of animal evolving into another species which I did explain in the post in which I mistakingly used the term micro rather than macroevolution.","Accipiter","368217","There have been laboratory experiments with fruit flies which have produced the beginnings of speciation. Two populations of fruit flys were separated and kept in separate environments and fed different food. After many generations these fruit flys were brought together and it was found that only flys from the same environment would mate. Given enough time they would become separate species unable to mate.","effective-arguments-disproving-biblical-creation","08:16 AM","creation-intelligent-design-vs-evolution","68"
"09-04-2009",1,"13107","399","Accipiter","368217","There have been laboratory experiments with fruit flies which have produced the beginnings of speciation. Two populations of fruit flys were separated and kept in separate environments and fed different food. After many generations these fruit flys were brought together and it was found that only flys from the same environment would mate. Given enough time they would become separate species unable to mate.","Archangel","368221","Then why didn't you post a link to the actual experiment with evidence that macroevolution occurred? And by that I assume you mean that the fruit fly evolved into something other than a fruit fly, right? It was no longer a member of the same genus of creature at all, but had evolved into another type of fly other than a fruit fly? Is that what you're saying? In other words, Fruit flies are properly named Drosophila melanogaster, so their genus is Drosophila and their species is Drosophila melanogaster. There are a bunch of similar kinds of flies that are in different species, and so would have a different two-part name, but would all be Drosophila. Are you saying that after many generations one group of these fruit flies had evolved into a new and unique genus? If so, please produce evidence of this if you can.","effective-arguments-disproving-biblical-creation","08:36 AM","creation-intelligent-design-vs-evolution","162"
"09-04-2009",1,"13107","400","Archangel","368221","Then why didn't you post a link to the actual experiment with evidence that macroevolution occurred?","Accipiter","368224","Just do a search on, Diane Dodd Speciation","effective-arguments-disproving-biblical-creation","08:55 AM","creation-intelligent-design-vs-evolution","9"
"09-04-2009",1,"13107","401","Accipiter","368224","Just do a search on, Diane Dodd Speciation","Archangel","368226","What! You aren't interested enough to defend your own claim with evidence? Or do you already see the holes in your evidence? For example, doesn't your evidence show that all of the segregated fruit fly populations remained fruit flies at the end of the experiment? All be it flies which preferred other flies with the same diet? Diane Dodds fruit fly experiment suggests that isolating populations in different environments (e.g., with different food sources) can lead to the beginning of reproductive isolation. These results are consistent with the idea that geographic isolation is an important step of some speciation events. Evidence for speciation As you can see, the result of this experiment promotes the idea of reproductive isolation. The rest of the claims are nothing more than the idea that isolation might lead to some speciation events. But nothing is concluded in absolute terms at all. This just confirms the giant leaps made with little or no actual evidence upon which they are based, at all. With that said, I must ask you, in what valid science is an ""IDEA"" conclusive evidence of any absolute fact at all?","effective-arguments-disproving-biblical-creation","09:31 AM","creation-intelligent-design-vs-evolution","210"
"09-04-2009",1,"13107","402","Archangel","368226","What! You aren't interested enough to defend your own claim with evidence?","Accipiter","368233","Exactly. Bottom line, your type is not worth arguing with.","effective-arguments-disproving-biblical-creation","10:22 AM","creation-intelligent-design-vs-evolution","13"
"09-04-2009",1,"13107","405","Accipiter","368233","Exactly. Bottom line, your type is not worth arguing with.","Archangel","368245","Of course we aren't. We are mythbusters who refuse to allow you to propagate your religions lies and misrepresentations regarding the origin of life on earth. And that's no fun for you, is it! Macroevolution is an unprovable myth which cannot be supported by science since it has never occurred either in nature or in the laboratory. PERIOD!","effective-arguments-disproving-biblical-creation","11:23 AM","creation-intelligent-design-vs-evolution","64"
"09-06-2009",2,"13107","466","Archangel","368552","I don't respond to Talk Origin links which exists solely for the purpose of responding to every Creationist perspective with evolution talking points","T.Q","368557","Exactly. At least you're now admitting that you refuse to actually address the very evidence which refutes your wacko beliefs.","effective-arguments-disproving-biblical-creation","10:49 PM","creation-intelligent-design-vs-evolution","22"
