"Date","Dialog_Turn","Discussion_Id","Post_Counter","Quote_Author","Quote_Id","Quote_Text","Response_Author","Response_Id","Response_Text","Subtopic","Time","Topic","Word_Count"
"12-21-2010",1,"14596","238","Bennedict","419556","your question was ""can IC be used to support ID"" and the answer clearly is yes, it can, and ID proponents are doing it all the time. its not just that they claim the two are connected, the connection is in their very argument. if IC cannot support ID, as you claim, what does support ID?","Freedom","419557","Is it so long their argument that you cannot reiterate it? If you want me to argue against this so called logical connection you need to at the very least state what it is supposed to be. Nothing to my knowledge.","there-really-scientific-conspiracy-suppress-trvth","01:10 PM","creation-intelligent-design-vs-evolution","44"
"12-21-2010",1,"14596","242","Freedom","419557","Is it so long their argument that you cannot reiterate it? If you want me to argue against this so called logical connection you need to at the very least state what it is supposed to be. Nothing to my knowledge.","Bennedict","419565","i would agree with the last statement. so would Behe be fighting a losing battle if IC could not be used to support ID? since he uses the argument in defense of ID? the statements by Behe and others were posted in #139. an irreducibly complex system ""bespeaks design"", and examples have been ""deliberately designed by an intelligent agent"". this wraps up perfectly how the IC argument can be drawn to a designer in support of intelligent design.","there-really-scientific-conspiracy-suppress-trvth","01:54 PM","creation-intelligent-design-vs-evolution","89"
"12-21-2010",1,"14596","243","Bennedict","419565","i would agree with the last statement. so would Behe be fighting a losing battle if IC could not be used to support ID? since he uses the argument in defense of ID? the statements by Behe and others were posted in #139. an irreducibly complex system ""bespeaks design"", and examples have been ""deliberately designed by an intelligent agent"". this wraps up perfectly how the IC argument can be drawn to a designer in support of intelligent design.","Freedom","419566","If he could use IC to support ID he would not be 'fighting a losing battle'. with the magic bespeaks word?","there-really-scientific-conspiracy-suppress-trvth","02:14 PM","creation-intelligent-design-vs-evolution","25"
"12-21-2010",1,"14596","244","Freedom","419566","If he could use IC to support ID he would not be 'fighting a losing battle'. with the magic bespeaks word?","Bennedict","419567","you know what the word ""bespeaks"" means, right?","there-really-scientific-conspiracy-suppress-trvth","02:28 PM","creation-intelligent-design-vs-evolution","12"
"12-21-2010",1,"14596","245","Bennedict","419567","you know what the word ""bespeaks"" means, right?","Freedom","419570","Yes but I have never seen it prove anything by itself before.","there-really-scientific-conspiracy-suppress-trvth","02:34 PM","creation-intelligent-design-vs-evolution","13"
"12-21-2010",1,"14596","246","Freedom","419570","Yes but I have never seen it prove anything by itself before.","Bennedict","419571","well, Dembski uses it in a quote, and its clear that he is using Behe's argument of IC to support ID.","there-really-scientific-conspiracy-suppress-trvth","02:35 PM","creation-intelligent-design-vs-evolution","24"
"12-21-2010",1,"14596","247","Bennedict","419571","well, Dembski uses it in a quote, and its clear that he is using Behe's argument of IC to support ID.","Freedom","419572","How could he?","there-really-scientific-conspiracy-suppress-trvth","02:46 PM","creation-intelligent-design-vs-evolution","4"
"12-21-2010",1,"14596","248","Freedom","419572","How could he?","Bennedict","419575","thats a question to ask Sir William Albert Dembski Ph.D, Senior Fellow of the Discovery Institute.","there-really-scientific-conspiracy-suppress-trvth","02:58 PM","creation-intelligent-design-vs-evolution","20"
"12-21-2010",1,"14596","249","Bennedict","419575","thats a question to ask Sir William Albert Dembski Ph.D, Senior Fellow of the Discovery Institute.","Freedom","419577","Sir william albert demski did not claim that I must be a creationist, you did.","there-really-scientific-conspiracy-suppress-trvth","03:13 PM","creation-intelligent-design-vs-evolution","17"
"12-21-2010",1,"14596","250","Freedom","419577","Sir william albert demski did not claim that I must be a creationist, you did.","Bennedict","419580","what does that have to do with anything? Dembski made the claim that IC supports ID.","there-really-scientific-conspiracy-suppress-trvth","03:53 PM","creation-intelligent-design-vs-evolution","18"
"12-21-2010",1,"14596","251","Bennedict","419580","what does that have to do with anything? Dembski made the claim that IC supports ID.","Freedom","419581","As I said I only ask that you support what you have claimed.","there-really-scientific-conspiracy-suppress-trvth","04:09 PM","creation-intelligent-design-vs-evolution","14"
