"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"10-22-2011","15791",1,"None","None","None","Theophilus","441302","Many Christians, such as myself, will often argue that Evolution in itself is a religion. One of the definitions from Merriam-Webster of religion is, ""a cause, principle, or held to with ardor and faith."" I would argue that in order to believe the theory of evolution it takes ardor and faith. You must have faith that intelligent design did not cause the origin of life. You must also have faith that species have evolved, etc. I am interested to know what everyone else thinks.","evolution-religion","12:21 AM","creation-intelligent-design-vs-evolution","1"
"10-22-2011","15791",1,"Theophilus","441302","Many Christians, such as myself, will often argue that Evolution in itself is a religion. One of the definitions from Merriam-Webster of religion is, ""a cause, principle, or held to with ardor and faith."" I would argue that in order to believe the theory of evolution it takes ardor and faith. You must have faith that intelligent design did not cause the origin of life. You must also have faith that species have evolved, etc. I am interested to know what everyone else thinks.","Freedom","441307","Some would certainly like to treat evolution like a religion and they have constructed a doctrine around it that I call irrational evolution. However the kernel as expounded in Origin of Species is merely the description of an inevitable process whose operation cannot be denied and whose results are rather predictable. You do not need faith to 'not' believe something, you need faith to believe in something without reason. If you believe in something because of evidence or logic you do not have faith.","evolution-religion","01:11 AM","creation-intelligent-design-vs-evolution","2"
"10-22-2011","15791",1,"Theophilus","441302","Many Christians, such as myself, will often argue that Evolution in itself is a religion. One of the definitions from Merriam-Webster of religion is, ""a cause, principle, or held to with ardor and faith."" I would argue that in order to believe the theory of evolution it takes ardor and faith. You must have faith that intelligent design did not cause the origin of life. You must also have faith that species have evolved, etc. I am interested to know what everyone else thinks.","Matthew","441309","I think there's a difference between faith and inference. What do you think? I suppose if we define our terms broadly enough, then sure, anything we can't directly observe in the present moment is a matter of ""faith."" But that's broad to the point of uselessness.","evolution-religion","01:37 AM","creation-intelligent-design-vs-evolution","3"
"10-22-2011","15791",1,"Matthew","441309","I think there's a difference between faith and inference. What do you think? I suppose if we define our terms broadly enough, then sure, anything we can't directly observe in the present moment is a matter of ""faith."" But that's broad to the point of uselessness.","Theophilus","441313","I agree, there is a difference between faith and inference. It seems though, that there is an element of faith in evolution. You must have faith that the evidence presented is accurate. You have to believe that the scientists are unbiased, etc.","evolution-religion","02:06 AM","creation-intelligent-design-vs-evolution","4"
"10-22-2011","15791",1,"None","None","None","Ripskar","441315","It sounds like 'US English' has invented its own definition for its own purposes; Oxford Dictionary: Religion (noun); the belief in and worship of a superhuman controlling power , especially a personal God or gods: a particular system of faith and worship:","evolution-religion","04:20 AM","creation-intelligent-design-vs-evolution","5"
"10-22-2011","15791",1,"Theophilus","441313","I agree, there is a difference between faith and inference. It seems though, that there is an element of faith in evolution. You must have faith that the evidence presented is accurate. You have to believe that the scientists are unbiased, etc.","Accipiter","441322","Do you need faith to know the sun will rise tomorrow or that 2 + 2 = 4 or to know that if you drop a rock it will fall to the ground?","evolution-religion","06:52 AM","creation-intelligent-design-vs-evolution","6"
"10-22-2011","15791",1,"None","None","None","Bennedict","441339","Our beliefs are not based on faith, in contradiction to both descriptions of the word ""religion"" given so far. Evidence leads us to accept the scientific truths that we accept. As Freedom put it, in it's basic principles, evolution by natural selection is absolutely undeniable. It's rooted in fundamental observations that are obvious to anyone. If explained correctly, you or even Easyrider would be unable to counter claims made by evolution. Natural selection is far more basic than people make it out to be, but it's implications are more complex, and that's where people have trouble.","evolution-religion","01:01 PM","creation-intelligent-design-vs-evolution","7"
"10-22-2011","15791",1,"None","None","None","Accipiter","441340","Religion is belief that is not based on evidence, science is the opposite of that.","evolution-religion","01:55 PM","creation-intelligent-design-vs-evolution","8"
"10-22-2011","15791",1,"Theophilus","441302","Many Christians, such as myself, will often argue that Evolution in itself is a religion. One of the definitions from Merriam-Webster of religion is, ""a cause, principle, or held to with ardor and faith."" I would argue that in order to believe the theory of evolution it takes ardor and faith. You must have faith that intelligent design did not cause the origin of life. You must also have faith that species have evolved, etc. I am interested to know what everyone else thinks.","thelmoose","441341","It takes no faith or ardor whatsover to understand that, given the facts in front of us, the theory of evolution is a thoroughtly sound explanation for the change in biologic populations over time. It takes no faith to understand that species have evolved. That is an observable fact.","evolution-religion","02:09 PM","creation-intelligent-design-vs-evolution","9"
"10-22-2011","15791",1,"thelmoose","441341","It takes no faith or ardor whatsover to understand that, given the facts in front of us, the theory of evolution is a thoroughtly sound explanation for the change in biologic populations over time. It takes no faith to understand that species have evolved. That is an observable fact.","Theophilus","441348","Have you observed evolution?","evolution-religion","03:26 PM","creation-intelligent-design-vs-evolution","10"
"10-22-2011","15791",1,"Theophilus","441348","Have you observed evolution?","Accipiter","441363","Ask you doctor why you should not take antibiotics all the time. If you did take antibiotics all the time you might experience mutation and selection first hand and get very sick as a result, I would call that observable.","evolution-religion","06:05 PM","creation-intelligent-design-vs-evolution","11"
"10-22-2011","15791",1,"Accipiter","441363","Ask you doctor why you should not take antibiotics all the time. If you did take antibiotics all the time you might experience mutation and selection first hand and get very sick as a result, I would call that observable.","Freedom","441366","Well, no more sick than normal; they just wouldn't be able to treat you.","evolution-religion","06:40 PM","creation-intelligent-design-vs-evolution","12"
"10-22-2011","15791",1,"Theophilus","441313","I agree, there is a difference between faith and inference. It seems though, that there is an element of faith in evolution. You must have faith that the evidence presented is accurate. You have to believe that the scientists are unbiased, etc.","Matthew","441368","Actually, I'd call this ""trust,"" not ""faith."" I continue to think you're using terms very incautiously. But regardless, the kicker is: you don't have to regard evidence as accurate or scientists as unbiased! What you have to do is look at the evidence that they present and the reasoning that they base upon it. If it turns out that there are problems with the evidence or their reasoning (inaccuracy and bias being two potential problems), then eventually, those problems will be found out. In such cases, previously accepted hypotheses need to be revised or even discarded. And therein lies the beauty of science: it relies on healthy skepticism and critical scrutiny directed at ideas themselves, not trust in the authority of those advancing the ideas. You say you have a degree in molecular biology, so here are a couple questions. Is the structure of DNA a matter of faith? Do we need to trust Watson and Crick, at this point? I submit that the answer to both is a resounding ""no."" Regardless of Watson's character or Crick's motives, the structure of DNA is what they said it was. We know this not because they were the ones who said it, but because what they said fits the evidence. Moreover, supposing (contrary to the above) that it were a matter of trust, then shouldn't we turn the charge right back on religion? Don't religious believers trust their clergy? Don't you have to trust that the interpretations of theologians are unbiased? Don't you have to trust that the statements of preachers are well-founded? I daresay the answer is yes. So if reliance on trust were a problem, religion would be in at least as much trouble as science. Where evolution is concerned, that deferential trust in clergy results in serious trouble, indeed. Because the criticisms of evolution that I have heard preached from church pulpits or seen written in religious publications are truly horrendous -- everything from erroneous claims about bombardier beetles to the failed tornado-in-a-junkyard analogy. And what makes these so blandly terrible is not only that they're factually and logically incorrect, but that nearly every such argument was shown to be incorrect decades ago! And yet, various anti-evolutionary clergymen still proffer their discredited criticisms time and again. Their congregants don't know evolution themselves, and they trust their clergy. It's the downside of trust: at best, those leaders are intellectually lazy about evolution; at worst... well, I'd rather not presume the worst. Where conservative Christianity is concerned, I actually think that the trust problem goes even deeper. In these traditions, God tends to come off as quite the tyrant: he does what he wants, without any need to explain himself to anyone, and we're all just supposed to obey. (In this regard, I find your tagline quite apropos.) Confused about things? Accept the confusion. Certainly, don't ask tough questions -- how dare we! That's arrogant and presumptive. God's refusal to offer any clear answers isn't arrogant, of course; he owes us nothing. If we were to ask questions, that would be arrogant. For we're just supposed to trust and obey (as the song says). Back to science for a moment. Scientists are still human, of course. But science, as an institution, rests on far more than the attributes of any individual scientists. If the evidence and logic behind evolution didn't withstand ongoing critical scrutiny, the theory would be scrapped. But in fact, there are reams of evidence supporting evolution at this point, and the reasoning is impeccable. It has withstood every criticism thrown at it, and that's why it's accepted, not because of any ""faith"" or ""trust."" No differently than the double helix.","evolution-religion","07:02 PM","creation-intelligent-design-vs-evolution","13"
"10-22-2011","15791",1,"Theophilus","441348","Have you observed evolution?","Matthew","441370","In addition to the bacterial antibiotic resistance mentioned by Accipiter, insecticide and herbicide resistance also come readily to mind. Meanwhile, there is also experimental evidence. Read up on Richard Lenski's multi-decade experiment at Michigan State, for example: E. coli Long-term Experimental Evolution Project Site . Or check out the work of John Endler, which is explained -- interactively even! -- at this great PBS link: Evolution: Sex: Sex and the Single Guppy . These are just a couple examples. There are plenty more where they came from. It is long past time for creationists to give up on the ""no evidence"" idea. It's absurd.","evolution-religion","07:17 PM","creation-intelligent-design-vs-evolution","14"
"10-22-2011","15791",1,"Matthew","441370","In addition to the bacterial antibiotic resistance mentioned by Accipiter, insecticide and herbicide resistance also come readily to mind. Meanwhile, there is also experimental evidence. Read up on Richard Lenski's multi-decade experiment at Michigan State, for example: E. coli Long-term Experimental Evolution Project Site . Or check out the work of John Endler, which is explained -- interactively even! -- at this great PBS link: Evolution: Sex: Sex and the Single Guppy . These are just a couple examples. There are plenty more where they came from. It is long past time for creationists to give up on the ""no evidence"" idea. It's absurd.","Theophilus","441372","I'm talking about Macroevolution. Should have clarified. Microevolution aka Adaptation is not the question here.","evolution-religion","07:30 PM","creation-intelligent-design-vs-evolution","15"
"10-22-2011","15791",2,"Freedom","441366","Well, no more sick than normal; they just wouldn't be able to treat you.","Accipiter","441376","If you get sick and they can't treat you it's because mutation and selection has breed bugs with a resistance to the antibiotics and yes it can kill you. Selection and speciation have both been observed, you can also observed selection and speciation in the fossil record. Evolution is observable taking place all around us every day.","evolution-religion","07:51 PM","creation-intelligent-design-vs-evolution","16"
"10-22-2011","15791",2,"Theophilus","441348","Have you observed evolution?","thelmoose","441378","Have I personally? What sort of question is that? It has been observed in the field and experimentally by those who study this. thousands of times. You have yet to support your original premise, that belief in evolution is a religion - that it requires faith, i.e. acceptance of ideas without evidence. That actually is a rather paltry and narrow definition of religion. But even using that contrived definition, you have yet to support your case. And numerous posters have refuted it. You started by saying, ""I am interested to know what everyone else thinks."" You have not really acted like that thus far.","evolution-religion","07:56 PM","creation-intelligent-design-vs-evolution","17"
"10-22-2011","15791",2,"Theophilus","441372","I'm talking about Macroevolution. Should have clarified. Microevolution aka Adaptation is not the question here. The term ""macroevolution"" frequently arises within the context of the evolution/creation debate, usually used by creationists alleging a significant difference between the evolutionary changes observed in field and laboratory studies and the larger scale macroevolutionary changes that scientists believe to have taken thousands or millions of years to occur. They may accept that evolutionary change is possible within species (""microevolution""), but deny that one species can evolve into another (""macroevolution"").[1] Contrary to this belief among the anti-evolution movement proponents, evolution of life forms beyond the species level (""macroevolution"", i.e. speciation in a specific case) has indeed been observed multiple times under both controlled laboratory conditions and in nature.[12] The claim that macroevolution does not occur, or is impossible, is thus demonstrably false and without support in the scientific community.","Accipiter","441379","Yeah we played that game already, care to try something else? Macroevolution - Wikipedia, the free encyclopedia","evolution-religion","08:02 PM","creation-intelligent-design-vs-evolution","18"
"10-22-2011","15791",2,"Accipiter","441379","Yeah we played that game already, care to try something else? Macroevolution - Wikipedia, the free encyclopedia","Theophilus","441385","Do you have the study to support this?","evolution-religion","11:01 PM","creation-intelligent-design-vs-evolution","19"
"10-22-2011","15791",2,"None","None","None","Bennedict","441386","Do you have a dog, Theo? You wouldn't if macroevolution were false, because dogs were created by selection. A St. Bernard doesn't reproduce with a weiner dog (because a weiner dog is small and a St. Bernard is big; biologically they could, but they don't naturally), and under the description of speciation, that makes them different species. Here's the thing about those who believe in micro but not macroevolution - there is no ""glass ceiling"" as I call it. If you recognize that an organism can change genetically even a little bit, there's nothing stopping it from changing so much over a large period of time, so that it can no longer reproduce with other organisms it's related to. There is no line separating micro and macroevolution; enough micro changes adds up to a macro change.","evolution-religion","11:38 PM","creation-intelligent-design-vs-evolution","20"
"10-22-2011","15791",2,"Theophilus","441385","Do you have the study to support this?","Accipiter","441387","References are listed at the bottom of the Wikipedia page on macroevolution.","evolution-religion","11:43 PM","creation-intelligent-design-vs-evolution","21"
"10-23-2011","15791",2,"Theophilus","441372","I'm talking about Macroevolution. Should have clarified. Microevolution aka Adaptation is not the question here.","Matthew","441392","A misuse of terms. And a very common misuse: accepting microevolution while denying macroevolution is a standard rhetorical strategy of creationists. But it's not hard to answer, along essentially the same lines as in the Wikipedia article already cited by others. Microevolution is hardly opposed to macroevolution; indeed, macroevolution is just microevolution over time. When a single population is divided, and each adapts separately to its distinct conditions, this adaptive divergence is macroevolution -- more specifically, it is speciation. After a larger or smaller number of generations, the one lineage becomes two. It is also possible for a single population to adapt to changed conditions over time so much that it no longer resembles its own ancestor sufficiently to have been able to reproduce with it. This adaptive change is macroevolution -- specifically, it is phyletic evolution. As conditions change, so does the species. While each generation can reproduce effectively with some generations before and after it, there is some number of generations before or after each generation at which point reproduction would be impossible. So we have one lineage that is different species at different times. The Lenski experiment is a perfect illustration of both speciation and phyletic evolution. All the different populations have diverged, and are not ""the same"" any longer, any more than are a mastiff and a chihuahua. And each lineage has changed relative to its own earlier generations (especially the lineage that evolved the ability to use citrate as food, which significantly differs from its earlier attributes, and from the other lineages, too). So using the microevolution/macroevolution distinction against evolutionary theory just won't fly. Indeed, like most creationist arguments against evolution, this has been much used, even though the flaw was pointed out a looooong time ago. Remember when I discussed trust in the post before the one you quoted here? Please: trust creationist authors and thinkers much less than you evidently do. Perhaps they mean well; not being able to read minds, I will decline to speculate on their motives and presume that they are sincere. But the arguments they use are incorrect, and have been known to be incorrect for some while. And yet they still repeat these arguments, as if they'd never been answered. Don't fall for it, Theophilus! Whether intentionally deceptive or not, their arguments work only to the extent that their audiences don't know evolution and trust their characterization of it -- their mis characterization of it -- instead.","evolution-religion","01:30 AM","creation-intelligent-design-vs-evolution","22"
"10-23-2011","15791",2,"Matthew","441392","[/I] Don't fall for it, Theophilus! Whether intentionally deceptive or not, their arguments work only to the extent that their audiences don't know evolution and trust their characterization of it -- their mis characterization of it -- instead.","Freedom","441394","Yea, that sounds familiar","evolution-religion","01:45 AM","creation-intelligent-design-vs-evolution","23"
"10-23-2011","15791",2,"Theophilus","441348","Have you observed evolution?","Larni","441405","Where do you think Nylon eating bacteria came from? Was the ability to metabolise Nylon 'front loaded'?","evolution-religion","09:00 AM","creation-intelligent-design-vs-evolution","24"
"10-23-2011","15791",2,"Theophilus","441372","I'm talking about Macroevolution. Should have clarified. Microevolution aka Adaptation is not the question here.","Larni","441406","Macro and microevolution are the same thing. Please substantiate when lots of little changes stop at a certain point (bonus points if you can pin point exactly at what point) and not go any further. That's like saying you cannot add enough to 'small' to make it 'big'.","evolution-religion","09:05 AM","creation-intelligent-design-vs-evolution","25"
"10-23-2011","15791",2,"Theophilus","441385","Do you have the study to support this?","thelmoose","441420","First, the article Accipter showed you, was referenced, had you bothered to read it, Mr. ""I am interested to know what everyone else thinks."" Second, do you have a study to support anything you say about about evolution? Most important, can you answer this: Is there any information that you would accept to alter your beliefs? This is important that you answer this.","evolution-religion","10:44 AM","creation-intelligent-design-vs-evolution","26"
"10-23-2011","15791",2,"None","None","None","Ripskar","441430","Claiming Macroevolution (spell check assures me this isn't an actual word) equates to speciation has been redundant since speciation was observed a couple of years ago. Since then it has been to describe change from one ""biblical type"" to another, though what a ""biblical type"" is inevitably rather vague.","evolution-religion","01:29 PM","creation-intelligent-design-vs-evolution","27"
