"Date","Dialog_Turn","Discussion_Id","Post_Counter","Quote_Author","Quote_Id","Quote_Text","Response_Author","Response_Id","Response_Text","Subtopic","Time","Topic","Word_Count"
"12-13-2012",1,"21431","69","Easyrider","467478","A Positive, Testable Case for Intelligent Design A Positive, Testable Case for Intelligent Design - Evolution News & Views","Accipiter","467480","UFO EVIDENCE - Scientific Study of the UFO Phenomenon","why-do-you-believe-not-believe-evolution","08:22 AM","creation-intelligent-design-vs-evolution","9"
"12-13-2012",1,"21431","70","Accipiter","467480","UFO EVIDENCE - Scientific Study of the UFO Phenomenon","Easyrider","467489","You probably believe in Bigfoot too, huh?","why-do-you-believe-not-believe-evolution","04:25 PM","creation-intelligent-design-vs-evolution","9"
"12-14-2012",1,"21431","75","Easyrider","467489","You probably believe in Bigfoot too, huh?","Accipiter","467513","No but Bigfoot is great example of the class of people who believe in stupid things like you do.","why-do-you-believe-not-believe-evolution","05:25 PM","creation-intelligent-design-vs-evolution","20"
"12-14-2012",1,"21431","76","Accipiter","467513","No but Bigfoot is great example of the class of people who believe in stupid things like you do.","Easyrider","467518","You're the stiff-necked dummy on his way down to the Pit when you expire, not me.","why-do-you-believe-not-believe-evolution","05:53 PM","creation-intelligent-design-vs-evolution","18"
"12-15-2012",1,"21431","77","Easyrider","467518","You're the stiff-necked dummy on his way down to the Pit when you expire, not me.","Accipiter","467527","Prove it without your bible, you can't because you are a fool.","why-do-you-believe-not-believe-evolution","03:14 AM","creation-intelligent-design-vs-evolution","14"
"12-15-2012",1,"21431","79","Accipiter","467527","Prove it without your bible, you can't because you are a fool.","Easyrider","467536","Take a Midol.","why-do-you-believe-not-believe-evolution","10:57 AM","creation-intelligent-design-vs-evolution","4"
"12-16-2012",1,"21431","86","Easyrider","467536","Take a Midol.","Accipiter","467564","The only people who believe in the bible are white trash like you bitch.","why-do-you-believe-not-believe-evolution","06:39 AM","creation-intelligent-design-vs-evolution","15"
"12-16-2012",1,"21431","87","Accipiter","467564","The only people who believe in the bible are white trash like you bitch.","Easyrider","467573","I should have said take TWO Midols. It's obvious just one doesn't work for you.","why-do-you-believe-not-believe-evolution","09:24 AM","creation-intelligent-design-vs-evolution","17"
"12-03-2012",2,"21431","10","Accipiter","467188","I tell you what Zosimus, you people can teach creationism in school when you start teaching evolution in church. Hypocritical indeed.","Freedom","467189","You can compare the two when you are forced to pay for the construction and maintenance of churches.","why-do-you-believe-not-believe-evolution","10:31 PM","creation-intelligent-design-vs-evolution","19"
"12-03-2012",2,"21431","11","Freedom","467189","You can compare the two when you are forced to pay for the construction and maintenance of churches.","Accipiter","467190","We kind of already do that by giving them a big discount called tax exempt status. You must think more deeply about these things.","why-do-you-believe-not-believe-evolution","10:43 PM","creation-intelligent-design-vs-evolution","26"
"12-03-2012",2,"21431","12","Accipiter","467190","We kind of already do that by giving them a big discount called tax exempt status. You must think more deeply about these things.","Freedom","467191","Incorrect. This is very simple so even you might understand it. taxes = taking people's money tax exempt = not taking people's money You're failure to steal their money does not mean you are paying for their stuff. Got it? Otherwise I am paying for your house right now by not declaring it mine. I prefer clarity.","why-do-you-believe-not-believe-evolution","10:57 PM","creation-intelligent-design-vs-evolution","63"
"12-03-2012",2,"21431","13","Freedom","467191","Incorrect. This is very simple so even you might understand it. taxes = taking people's money tax exempt = not taking people's money You're failure to steal their money does not mean you are paying for their stuff. Got it? Otherwise I am paying for your house right now by not declaring it mine. I prefer clarity.","Accipiter","467192","Church does not contribute to the building and running of schools, they don't pay tax so they don't have a say. You are confusing clarity with over simplification.","why-do-you-believe-not-believe-evolution","11:22 PM","creation-intelligent-design-vs-evolution","31"
"12-04-2012",2,"21431","14","Accipiter","467192","Church does not contribute to the building and running of schools, they don't pay tax so they don't have a say. You are confusing clarity with over simplification.","Freedom","467196","It's not the church it's the people you are stealing money from. Don't say ""it's complicated"" to me unless you are willing to get into a complicated debate about it. I know that's not something you are willing to do.","why-do-you-believe-not-believe-evolution","10:24 AM","creation-intelligent-design-vs-evolution","45"
"12-04-2012",2,"21431","18","Freedom","467196","It's not the church it's the people you are stealing money from. Don't say ""it's complicated"" to me unless you are willing to get into a complicated debate about it. I know that's not something you are willing to do.","Accipiter","467216","Well with you it's kind of like the longer you go on the more incoherent you become so I tend to prefer short and to the point. So what if evolution is wrong, do you think the world will end or something? What is so dangerous that you are saving us from with your colorfully eccentric brand of crackpot wisdom? What you will say is something like, I am saving you from being wrong and once again the discussion becomes pointless.","why-do-you-believe-not-believe-evolution","05:36 PM","creation-intelligent-design-vs-evolution","87"
