"Date","Dialog_Turn","Discussion_Id","Post_Counter","Quote_Author","Quote_Id","Quote_Text","Response_Author","Response_Id","Response_Text","Subtopic","Time","Topic","Word_Count"
"11-24-2011","1","15791","68","Freedom","443462","Well the truth about the universe is that the truth doesn't depend on what we need or want. If we don't understand that we will be harmed by our own ignorance in the long run. (and yes I see the ironic twists in that response)","Accipiter","443466","In other words, you don't know. Contrasting that, evolution explains all kinds of stuff that helps us. Not only that but the benefit to us is instantaneously recognizable. Darwin knew going in that evolution would be of benefit to us and could explain many things we see in the world around us, otherwise I think he would have seen it as a waste of time and probably not pursued it.","evolution-religion","10:19 AM","creation-intelligent-design-vs-evolution",77
"11-24-2011","1","15791","70","Accipiter","443466","In other words, you don't know. Contrasting that, evolution explains all kinds of stuff that helps us. Not only that but the benefit to us is instantaneously recognizable. Darwin knew going in that evolution would be of benefit to us and could explain many things we see in the world around us, otherwise I think he would have seen it as a waste of time and probably not pursued it.","Freedom","443486","Benedict I'm still waiting for your previous post as categorical propositions. You've got a very bad strain of pragmatism there, people do not pursue scientific truth because the individual idea is helpful but because truth is helpful, and by the same token the non-true no matter how helpful it might be if true is always useless. (which is essentially what Benedict just said but in general form) Irrational evolution hasn't helped anyone anywhere, it's just deluded a large portion of the populace. Finally, I did not say I don't know; my position benefits us because it saves us from the harm of believing a false-hood.","evolution-religion","07:28 PM","creation-intelligent-design-vs-evolution",116
"11-24-2011","1","15791","71","Freedom","443486","You've got a very bad strain of pragmatism there, people do not pursue scientific truth because the individual idea is helpful but because truth is helpful, and by the same token the non-true no matter how helpful it might be if true is always useless. (which is essentially what Benedict just said but in general form) Irrational evolution hasn't helped anyone anywhere, it's just deluded a large portion of the populace. Finally, I did not say I don't know; my position benefits us because it saves us from the harm of believing a false-hood.","Accipiter","443488","What does your theory explain?","evolution-religion","07:42 PM","creation-intelligent-design-vs-evolution",6
"11-24-2011","1","15791","72","Accipiter","443488","What does your theory explain?","Freedom","443490","Why irrational evolution is wrong.","evolution-religion","08:00 PM","creation-intelligent-design-vs-evolution",6
"11-25-2011","1","15791","78","Freedom","443490","Why irrational evolution is wrong. Foundations of modern biology Much of modern biology can be encompassed within five unifying principles: cell theory, evolution, genetics, homeostasis, and energy.","Accipiter","443500","So the purpose of your work is to disprove evolution? Do you really think that modern biology can survive if they dismiss evolution? Biology - Wikipedia, the free encyclopedia","evolution-religion","02:16 AM","creation-intelligent-design-vs-evolution",32
"11-25-2011","1","15791","79","Accipiter","443500","So the purpose of your work is to disprove evolution? Do you really think that modern biology can survive if they dismiss evolution?","Freedom","443501","I think modern biology would be totally fine without rational evolution much less irrational evolution. A machine works as it does regardless of it's origin. We only know to expect homology when we see homology but to exult evolution supporters will wire that through common descent to give the impression that common descent gave some useful insight. Those who literally think evolution has some kind of practical use need to be told that you can wake up in the morning without calling the ceiling evolution. They have to say insane things like inheritance is evolution and since we need to understand inheritance we must understand evolution. In fact the best example someone could possibly give to that point would be researchers considering the adaptation of bacteria to anti-biotics. To explain that they would need rational evolution, but why do they need to explain it? As everyone keeps telling me it makes no predictions, all they can do is say that the thing might change again in the future.... so much for the foundation of all biology.","evolution-religion","02:50 AM","creation-intelligent-design-vs-evolution",187
"11-25-2011","1","15791","81","Freedom","443501","I think modern biology would be totally fine without rational evolution much less irrational evolution.","Accipiter","443506","What is rational evolution and irrational evolution?","evolution-religion","08:18 AM","creation-intelligent-design-vs-evolution",8
"12-05-2011","3","15791","154","Freedom","444208","The sonic systems for one. Their intelligence has no doubt taken a unique path since divergence and is superior to most land mammals.","Accipiter","444239","So you are saying the sonic system and the intelligence of dolphins can not be explained by evolution?","evolution-religion","05:31 AM","creation-intelligent-design-vs-evolution",19
"12-05-2011","3","15791","155","Accipiter","444239","So you are saying the sonic system and the intelligence of dolphins can not be explained by evolution?","Freedom","444241","Correct, nor any other system.","evolution-religion","07:57 AM","creation-intelligent-design-vs-evolution",7
"12-05-2011","3","15791","156","Freedom","444241","Correct, nor any other system.","Accipiter","444269","So breeding dogs using selection is plausible, but making big changes like from lower intelligence to higher intelligence or developing a XXXX-hole in the top of your head is not?","evolution-religion","10:45 AM","creation-intelligent-design-vs-evolution",32
"12-05-2011","3","15791","157","Accipiter","444269","So breeding dogs using selection is plausible, but making big changes like from lower intelligence to higher intelligence or developing a XXXX-hole in the top of your head is not?","Freedom","444271","The scale involved is unimportant except to the odds of spontaneous generation. Dog breeding may have produced a great deal of diversity but as of yet no one's tried to construct novel systems with it. That is conceivable for people to do because we can have a final system in mind and select for something that is not naturally beneficial merely because it moves towards the system we are trying to build. I know no example in any animal breeding of this occurring, even our genetic engineering usually just tampers with existing systems to suite our tastes or we just copy useful proteins from other organisms and paste them onto crops and such.","evolution-religion","10:50 AM","creation-intelligent-design-vs-evolution",118
"12-05-2011","3","15791","159","Freedom","444271","The scale involved is unimportant except to the odds of spontaneous generation. Dog breeding may have produced a great deal of diversity but as of yet no one's tried to construct novel systems with it. That is conceivable for people to do because we can have a final system in mind and select for something that is not naturally beneficial merely because it moves towards the system we are trying to build. I know no example in any animal breeding of this occurring, even our genetic engineering usually just tampers with existing systems to suite our tastes or we just copy useful proteins from other organisms and paste them onto crops and such.","Accipiter","444282","Evolution gives us very reasonable explanations to everything we see around us, just because we haven't seen all of it doesn't mean the rest of what we know is wrong.","evolution-religion","12:24 PM","creation-intelligent-design-vs-evolution",32
"12-05-2011","3","15791","160","Accipiter","444282","Evolution gives us very reasonable explanations to everything we see around us","Freedom","444283","Support that.","evolution-religion","12:26 PM","creation-intelligent-design-vs-evolution",3
