"Date","Dialog_Turn","Discussion_Id","Post_Counter","Quote_Author","Quote_Id","Quote_Text","Response_Author","Response_Id","Response_Text","Subtopic","Time","Topic","Word_Count"
"07-20-2010",1,"14376","63","Bennedict","407756","reading some of these posts, its absolutely sickening to see such bigotry. OPEN YOUR MINDS PEOPLE!!!!! not everyones going to be like you are, thats the beauty of humanity. i dont quite understand why people would take such efforts to bring frustration and unhappiness to other people. im from Canada everyone, come on up, youre always welcome!","Easyrider","407827","Thanks, but our (Biblical Jews and Christians in America) minds are open to the truth of God's Word. It's the homosexuals and their supporters who have closed their minds to God's admonitions against gay sex in the Bible.","gay-marriage","04:41 PM","gay-rights-debates","43"
"07-20-2010",1,"14376","65","Easyrider","407827","Thanks, but our (Biblical Jews and Christians in America) minds are open to the truth of God's Word. It's the homosexuals and their supporters who have closed their minds to God's admonitions against gay sex in the Bible.","Bennedict","407880","step out of the bible, God and religion for a moment and look at how youre treating people. thats all you gotta do.","gay-marriage","08:51 PM","gay-rights-debates","26"
"07-21-2010",1,"14376","74","Bennedict","407880","step out of the bible, God and religion for a moment and look at how youre treating people. thats all you gotta do.","Easyrider","407954","Originally Posted by Easyrider: Thanks, but our (Biblical Jews and Christians in America) minds are open to the truth of God's Word. It's the homosexuals and their supporters who have closed their minds to God's admonitions against gay sex in the Bible. Why should I throw the Word of God in the trash for your political correctness? I discarded that decades ago when I found the truth. Why don't you guys read the Bible, pray for deliverance, and get yourselves saved so you will know right from wrong and so you can go to heaven when you die? I'm going to advise active gays to repent and receive Jesus Christ as their Lord and Savior for the remission of their sins. They do that they can be happy for all eternity. You tell them their sin is ok and then they drop down into the Pit of Hell when they die and then they're miserable forever. So who's really looking out for their best interests?","gay-marriage","05:11 PM","gay-rights-debates","180"
"07-21-2010",1,"14376","75","Easyrider","407954","Why should I throw the Word of God in the trash for your political correctness? I discarded that decades ago when I found the truth. Why don't you guys read the Bible, pray for deliverance, and get yourselves saved so you will know right from wrong and so you can go to heaven when you die? I'm going to advise active gays to repent and receive Jesus Christ as their Lord and Savior for the remission of their sins. They do that they can be happy for all eternity. You tell them their sin is ok and then they drop down into the Pit of Hell when they die and then they're miserable forever. So who's really looking out for their best interests?","Bennedict","407955","you disgarded...political correctness? ok... i already know right from wrong. i figured it out myself by treating people with kindness and respect. do you honestly need to refer to a book in order to know what right is from wrong (albeit a very nasty and malign book)? and if youre going to advise gays (God help us), so will i. to all gays: being gay is a sin in the bible's terms, the same bible that says to stone children to death if they misbehave. so that leaves the bible out of a resource we can trust, just be the way you are and youll be happy enough. looking out for their best intersts......youre insulting them more like it.","gay-marriage","05:44 PM","gay-rights-debates","140"
"07-21-2010",1,"14376","78","Bennedict","407955","you disgarded...political correctness? ok... i already know right from wrong. i figured it out myself by treating people with kindness and respect. do you honestly need to refer to a book in order to know what right is from wrong (albeit a very nasty and malign book)? the same bible that says to stone children to death if they misbehave. looking out for their best intersts......youre insulting them more like it.","Easyrider","407961","Does that get them to heaven when they die? You can be a believer in Jesus Christ and do the same thing but rescue people from an eternity of suffering. I'll let Thomas Jefferson answer you on that: ""A more beautiful or precious morsel of ethics I have never seen; it is a document in proof that I am a real Christian, that is to say, a disciple of the doctrines of Jesus"" By the way, which doctrine of Jesus is ""nasty""? Got a scripture # on that? Show me that in the New Testament, under the New Covenant? Have you ever read the entire Bible? They wind up in Hell your way. With friends like that who needs enemies? I'd rather twinge their consciences and save their eternal souls.","gay-marriage","06:33 PM","gay-rights-debates","149"
"07-21-2010",2,"14376","82","Bennedict","407966","ou, two requests to post references. If a man have a stubborn and rebellious son, which will not obey the voice of his father, or the voice of his mother, and that, when they have chastened him, will not hearken unto them: Then shall his father and his mother lay hold on him, and bring him out unto the elders of his city, and unto the gate of his place; And they shall say unto the elders of his city, This our son is stubborn and rebellious, he will not obey our voice; he is a glutton, and a drunkard. And all the men of his city shall stone him with stones, that he die: so shalt thou put evil away from among you; and all Israel shall hear, and fear. -- Deuteronomy 21:18-21 He that smiteth his father, or his mother, shall be surely put to death. -- Exodus 21:15 He that curseth his father, or his mother, shall surely be put to death. -- Exodus 21:17 i dont care what your beliefs are, im just discrediting the bible as being a trusted resource to be used against homosexuals.","Easyrider","407977","I asked you where that is in the New Testament / New Covenant and you show me the Old Testament / Old Covenant. Care to try again? You haven't made a case yet. In fact, you've failed to answer my challenge. What's more, you have no objective foundation that your beliefs are correct. Your beliefs are subjective and change across cultures and times. They're about as enduring as a fat kid in a dodge ball match. Once again, have you ever read the entire Bible?","gay-marriage","07:10 PM","gay-rights-debates","96"
"07-21-2010",2,"14376","83","Easyrider","407977","I asked you where that is in the New Testament / New Covenant and you show me the Old Testament / Old Covenant. Care to try again? You haven't made a case yet. In fact, you've failed to answer my challenge. What's more, you have no objective foundation that your beliefs are correct. Your beliefs are subjective and change across cultures and times. They're about as enduring as a fat kid in a dodge ball match. Once again, have you ever read the entire Bible?","Bennedict","407980","refer to above edit on whether ive read the bible and so what if it comes from the old testament? tons of homophobic quotes come from the old testament. once again, picking and choosing the good ones. and i know that i havent made a case yet. i said that already, that the statements thus far have been for discrediting the religious argument against homosexuality. and yes, my beliefs are subject to change across cultures and times, and i think thats a magnificent way of going about belief - by learning. its quite pretentious to say 'my beliefs are the best, theyve always been the best, they will always be the best and they will never change at any time because they are already the best.' sorry to harp on your beliefs, i dont mean to, honestly.","gay-marriage","07:20 PM","gay-rights-debates","155"
"07-21-2010",2,"14376","84","Bennedict","407980","refer to above edit on whether ive read the bible and so what if it comes from the old testament? tons of homophobic quotes come from the old testament. once again, picking and choosing the good ones. and yes, my beliefs are subject to change across cultures and times, and i think thats a magnificent way of going about belief - by learning. its quite pretentious to say 'my beliefs are the best, theyve always been the best, they will always be the best and they will never change at any time because they are already the best.' sorry to harp on your beliefs, i dont mean to, honestly.","Easyrider","407983","By what objective moral standard do you say claiming gay sex is a sin, is homophobic? Why isn't your Scripturephobic agenda worse, since it ignores the truth and misleads the populace? But that's what you believe, isn't it? Why is it pretentious for me to claim my beliefs are better but it isn't pretentious for you to argue that yours are better? That's ok. Everything's cool. I've always had one challenge if someone wants to try to change my beliefs. And that is to show me that the resurrection of Jesus Christ is a lie. Can you do it? After all, Christianity rises or falls on the resurrection. Should be simple to falsify if it's such a big (supposed) myth, n'est pas?","gay-marriage","07:27 PM","gay-rights-debates","140"
"07-21-2010",2,"14376","86","Easyrider","407983","By what objective moral standard do you say claiming gay sex is a sin, is homophobic? Why isn't your Scripturephobic agenda worse, since it ignores the truth and misleads the populace? But that's what you believe, isn't it? Why is it pretentious for me to claim my beliefs are better but it isn't pretentious for you to argue that yours are better? That's ok. Everything's cool. I've always had one challenge if someone wants to try to change my beliefs. And that is to show me that the resurrection of Jesus Christ is a lie. Can you do it? After all, Christianity rises or falls on the resurrection. Should be simple to falsify if it's such a big (supposed) myth, n'est pas?","Bennedict","407988","it should be quite easy to prove it as well - and i challenge you to do so. no evidence, no falsifying, no proving, nothing to base arguments off of, other than bronze age tales, which dont seem to be credible evidence if you ask me. and im not saying my beliefs are better, im saying my beliefs change over time as i learn more, and the Christian belief system doesnt change because it seems to me that to a religious believer, their beliefs are perfect and dont need changing - pretentious.","gay-marriage","07:35 PM","gay-rights-debates","103"
"07-24-2010",3,"14376","138","Ohioprof","408178","Since marriage is a fundamental right, states should have to demonstrate that they have a compelling state interest in denying a particular type of couple the right to marry. It's not enough to draw arbitrary distinctions between people and say that these people do not have the right to marry simply because it is convenient for the state to say so or because the majority dislikes the marriage in question. The burden should be on the state to demonstrate that it has a compelling interest in prohibiting a particular type of marriage.","Easyrider","408291","IMO the only demonstration needed by the states is the Word of God which clearly states that gay sex is a sin. Thus, gay marriage would be nothing more than institutionalized sin. Even the founding fathers were against Sodomy. Jefferson specifically wrote against sodomy. Today's educators are either ignorant of this or don't care. The problem today is a great many modern educators are so spiritually challenged and so oblivious to the early, moral foundations of America that they think it is chic and intelligent to defend gross iniquity. They have no real clue about what God and Country is all about. They don't know right from wrong. A great many of them no doubt voted for Obama - a flaming socialist for all intents and purposes. And they call themselves ""educators""? Are you kidding me? I think godly parents need to get more involved and get these people out of our classrooms.","gay-marriage","08:50 AM","gay-rights-debates","169"
