"Date","Dialog_Turn","Discussion_Id","Post_Counter","Quote_Author","Quote_Id","Quote_Text","Response_Author","Response_Id","Response_Text","Subtopic","Time","Topic","Word_Count"
"03-05-2011",1,"15071","91","Matthew S","425316","If marriage is to be about breeders and breeding children, and my rules are adopted by the state then yes I am alright. If my rules were adopted then almost no one would get married, and those who get married have to breed if they don't they are no longer married. They have to have 3 witnesses to their act of breeding, along with a video of the event stored in the public records of the county were they live.","gansao","425317","I would add that the only breeding pairs allowed would be one of each sex( thats is no turkey baster sex with sub contracted female ) Therefore the child would have both a male and female parent. All one sex parenting would be prohibited. Marriage would be elevated to a privilege only to be allowed for the most physically fit and intelligent individuals and would have to be a life commitment( or at least until the children grew up) The fact that gays would not be allowed( or at least severly discouraged) to actually breed may result in far fewer homosexuals..that is if it is indeed a genetic condition Why you feel the need for three witnesses attending the ' breeders' sexual act I cannot imagine","gay-marriage-not-about-equal-rights-about-love","07:18 AM","gay-rights-debates","136"
"03-05-2011",1,"15071","92","gansao","425317","I would add that the only breeding pairs allowed would be one of each sex( thats is no turkey baster sex with sub contracted female ) Therefore the child would have both a male and female parent. All one sex parenting would be prohibited. Marriage would be elevated to a privilege only to be allowed for the most physically fit and intelligent individuals and would have to be a life commitment( or at least until the children grew up) The fact that gays would not be allowed( or at least severely discouraged) to actually breed may result in far fewer homosexuals..that is if it is indeed a genetic condition Why you feel the need for three witnesses attending the ' breeders' sexual act I cannot imagine","Matthew S","425318","In most legal contracts you need to have witnesses this would be no different. One wants to make sure they understand the seriousness of the legal contract they are entering to breed children for the state.","gay-marriage-not-about-equal-rights-about-love","08:14 AM","gay-rights-debates","38"
"03-05-2011",1,"15071","93","Matthew S","425318","In most legal contracts you need to have witnesses this would be no different. One wants to make sure they understand the seriousness of the legal contract they are entering to breed children for the state.","gansao","425322","Why are they breeding children for the State? Why not for themselves? The contract would be the marriage not the sexual intercourse..a dna test of the baby would confirm that it was a result of sex between the couple. A 'breeding' couple would most likely have a bond that no homosexual couple could imagine... the same as all heterosexual couples that produce children between themselves. The very best that a homosexual couple can offer a child is an equivalent of a dysfunctional heterosexual family. I agree that couples should be forced to make a binding commitment and be vetted before they are allowed to produce children. In the past marriage was considered a lifelong commitment and the ability to provide for the children relied on the parents health and wealth. Children from poor unhealthy parents were more likely to die than rich healthy ones and a couple that did not stay together became social pariahs. Homosexuals had no place in their understanding of marriage, no more than the ' breeder' style of marriage that you have dreamed up. Also in the past marriages were arranged by wealthy families with the couple carefully picked and the females were relied upon to produce heirs for the husbands..they also had a custom of looking at the the sheets after the couple consumated the marriage to see if they had intercourse and that the newlywed wife was a virgin. In fact you could say that you the idea you dreamed up is a relic of the past that excludes homosexuals from marrying...well done","gay-marriage-not-about-equal-rights-about-love","08:59 AM","gay-rights-debates","280"
"03-05-2011",1,"15071","96","gansao","425322","Why are they breeding children for the State? Why not for themselves? The contract would be the marriage not the sexual intercourse..a dna test of the baby would confirm that it was a result of sex between the couple. A 'breeding' couple would most likely have a bond that no homosexual couple could imagine... the same as all heterosexual couples that produce children between themselves. The very best that a homosexual couple can offer a child is an equivalent of a dysfunctional heterosexual family. I agree that couples should be forced to make a binding commitment and be vetted before they are allowed to produce children. In the past marriage was considered a lifelong commitment and the ability to provide for the children relied on the parents health and wealth. Children from poor unhealthy parents were more likely to die than rich healthy ones and a couple that did not stay together became social pariahs. Homosexuals had no place in their understanding of marriage, no more than the ' breeder' style of marriage that you have dreamed up. Also in the past marriages were arranged by wealthy families with the couple carefully picked and the females were relied upon to produce heirs for the husbands..they also had a custom of looking at the the sheets after the couple consummated the marriage to see if they had intercourse and that the newlywed wife was a virgin. In fact you could say that you the idea you dreamed up is a relic of the past that excludes homosexuals from marrying...well done","Matthew S","425331","I want it witnessed and video taped with the video tapes becoming a public record anyone could look up and maybe even post publicly.","gay-marriage-not-about-equal-rights-about-love","01:16 PM","gay-rights-debates","25"
"03-05-2011",1,"15071","98","Matthew S","425331","I want it witnessed and video taped with the video tapes becoming a public record anyone could look up and maybe even post publicly.","gansao","425333","If it helps stop homosexuals from being granted sham marriages and discouraged from adopting children, I'll send you a video of me and the missus on the job","gay-marriage-not-about-equal-rights-about-love","01:21 PM","gay-rights-debates","29"
"02-27-2011",2,"15071","14","Sigma","424874","The cultural meaning of marriage is a formalization of a mating pair, who, in turn, create and support a family unit. Love and reproduction are implied. The legal meaning of marriage is, in most States, a contract between two people who are not under the age of consent, of different genders, of the same species, not closely related and who are not already married. Homosexuals are not a part of the traditional or cultural meaning of marriage. In order to be included, the meaning of marriage would have to change. The catch-22 is that homosexual couples want to be included in the current meaning of marriage, but what gives marriage meaning specifically excludes homosexual couples.","Matthew S","424903","Nonsense Two 70 year old heteros on their 3 or 4th marriages are hardly going to have children. So as long as people beyond breeding age are allowed to contract marriage there is nothing wrong with gay people enetring marriage.","gay-marriage-not-about-equal-rights-about-love","02:05 PM","gay-rights-debates","42"
"02-27-2011",2,"15071","19","Matthew S","424903","Nonsense Two 70 year old heteros on their 3 or 4th marriages are hardly going to have children. So as long as people beyond breeding age are allowed to contract marriage there is nothing wrong with gay people enetring marriage.","Sigma","424914","Only if you reduce the meaning of marriage to a contract between two people. In that case you've stripped any and all cultural meaning from the practice and homosexual marriage would be no more meaningful than two friends becoming married for the benefits. I would not view that as a happy occurance.","gay-marriage-not-about-equal-rights-about-love","03:39 PM","gay-rights-debates","55"
"02-27-2011",2,"15071","21","Sigma","424914","Only if you reduce the meaning of marriage to a contract between two people. In that case you've stripped any and all cultural meaning from the practice and homosexual marriage would be no more meaningful than two friends becoming married for the benefits. I would not view that as a happy occurance.","Matthew S","424917","It means nothing now if people get divorced and remarried over and over and over again.","gay-marriage-not-about-equal-rights-about-love","03:48 PM","gay-rights-debates","17"
"02-27-2011",2,"15071","24","Matthew S","424917","It means nothing now if people get divorced and remarried over and over and over again.","Sigma","424925","Perhaps it doesn't. Perhaps marriage has already lost all meaning. But no matter what happens, Matthew S , homosexual marriage cannot and will not have the same meaning. Either marriage has already lost meaning, or you have to destroy that meaning to be included.","gay-marriage-not-about-equal-rights-about-love","04:37 PM","gay-rights-debates","50"
"02-27-2011",2,"15071","26","Sigma","424925","Perhaps it doesn't. Perhaps marriage has already lost all meaning. But no matter what happens, Matthew S , homosexual marriage cannot and will not have the same meaning. Either marriage has already lost meaning, or you have to destroy that meaning to be included.","Matthew S","424934","I have news for you!!! With a 50%+ divorce rate among heteros and 30 min annulment mills in Las Vegas, I think that ship has sailed. In a few years it seems like us gay people will be the only ones who actually want to get and stay married.","gay-marriage-not-about-equal-rights-about-love","05:53 PM","gay-rights-debates","54"
