"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"04-10-2011","15258",1,"None","None","None","gansao","427158","How long beore gays say it is their RIGHT to marry in church and that to prohibit this is homophobia? They will say that the church would not bar black people so why ban gays. They will say that any kind of discrimination towards gays in any way is wrong. Matthew S on this forum says so....... A preacher in the UK was arrested for telling a passing shopper that homosexuality was wrong..do you honestly think that gays will accepted being forbidden to marry in church. The man is a naive fool","i-now-support-full-marriage-equality","06:41 AM","gay-rights-debates","2"
"04-10-2011","15258",1,"None","None","None","Accipiter","427159","Has anyone ever sued a church for discrimination? Just curious.","i-now-support-full-marriage-equality","07:11 AM","gay-rights-debates","3"
"04-10-2011","15258",1,"Accipiter","427159","Has anyone ever sued a church for discrimination? Just curious.","gansao","427161","Has a church refused to marry black people lately? Just curious","i-now-support-full-marriage-equality","07:26 AM","gay-rights-debates","4"
"04-10-2011","15258",1,"MrWriteLA","427151","I now support full marriage equality - Louis J. Marinelli","Easyrider","427163","If the man was a conservative Republican he's not any longer. He also needs to break his Bible open again to all the passages that condemn illicit gay sex. Gay civil unions are institutions of carnal sin and should not be legitimized. And those who promote the sin and those institutions need to repent of their spiritually-challenged folly.","i-now-support-full-marriage-equality","08:14 AM","gay-rights-debates","5"
"04-10-2011","15258",1,"None","None","None","Accipiter","427164","Sleazy is a robot, he always says the same thing over and over again.","i-now-support-full-marriage-equality","08:59 AM","gay-rights-debates","6"
"04-10-2011","15258",1,"Easyrider","427163","Gay civil unions are institutions of carnal sin and should not be legitimized. And those who promote the sin and those institutions need to repent of their spiritually-challenged folly.","jitobear","427168","Fine, but per the first ammendment, this is not the job of the US government or US law.","i-now-support-full-marriage-equality","10:47 AM","gay-rights-debates","7"
"04-15-2011","15258",1,"None","None","None","JPSartre12","427506","The OP smells like BS to me. I wish I had a nickel for every planted article I've read.","i-now-support-full-marriage-equality","11:17 PM","gay-rights-debates","9"
"04-16-2011","15258",1,"JPSartre12","427506","I wish I had a nickel for every planted article I've read.","Accipiter","427510","Can you tell me what you mean by a planted article?","i-now-support-full-marriage-equality","12:05 AM","gay-rights-debates","10"
"04-16-2011","15258",1,"None","None","None","gansao","427518","Since when has a marriage between two men been American culture? Since when has a child having two fathers and no mother been American culture? Homosexuals do not want to participate in American culture , they want to change it. Mormons wanted to change American culture by embracing polygamy but could not...why make gays an exception?","i-now-support-full-marriage-equality","08:48 AM","gay-rights-debates","11"
"04-16-2011","15258",1,"None","None","None","MrWriteLA","427531","YouTube - MSNBC covers Courage Campaign and Louis Marinelli's conversion","i-now-support-full-marriage-equality","12:06 PM","gay-rights-debates","12"
"04-16-2011","15258",1,"Accipiter","427510","Can you tell me what you mean by a planted article?","MrWriteLA","427532","""Planted"" means things like anti-gay news items posted by so-called ""network administrators"" in the employ of Southern Baptist universities.","i-now-support-full-marriage-equality","12:15 PM","gay-rights-debates","13"
