"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"01-27-2012","16091",1,"None","None","None","QuackAttack1887","448245","I am a lesbian who has had a girlfriend/fiance for three years. Neither of us are Cynthia Nixon. The only choice we made is to be more than best friends. I didn't even realize gay marriage was illegal until Kate told me in high school that our state passed a law allowing it.X As far as I see we have no difference from straight couples, beyond neither of us is a guy and can get pregnant naturally. We both work, Kate full time as a stylist and I work two part time jobs. When Kate got threatening text messages and voicemail I called them and told them if Kate ever came home with so much as a scratch then they better pray the police find them first because I would murder them. When I came home with black eyes and a broken arm and ankle, Kate beat them up and taught me to fight. She took time off work to care for me. The same thing I'd do if I was straight and in love with a guy.X Not even in the bedroom do we differ.XStraight couples do what we do too. I'm trying to see just what GLBTQ did that was so wrong that for the most part gay couples can't even marry.X I'm curious to why people aren't ok with the idea of gay marriage. I find religion an excuse. I know plenty of very religious GLBTQ people who take an active part in their church. So what reason have anti same sex marriage people have to not be ok with it? I'm looking for a reason not excuses. Please no bible quotes. I genuinely want to understand.X","gay-marriage","09:09 PM","gay-rights-debates","1"
"01-28-2012","16091",1,"QuackAttack1887","448245","I am a lesbian who has had a girlfriend/fiance for three years. Neither of us are Cynthia Nixon. The only choice we made is to be more than best friends. I didn't even realize gay marriage was illegal until Kate told me in high school that our state passed a law allowing it.X As far as I see we have no difference from straight couples, beyond neither of us is a guy and can get pregnant naturally. We both work, Kate full time as a stylist and I work two part time jobs. When Kate got threatening text messages and voicemail I called them and told them if Kate ever came home with so much as a scratch then they better pray the police find them first because I would murder them. When I came home with black eyes and a broken arm and ankle, Kate beat them up and taught me to fight. She took time off work to care for me. The same thing I'd do if I was straight and in love with a guy.X Not even in the bedroom do we differ.XStraight couples do what we do too. I'm trying to see just what GLBTQ did that was so wrong that for the most part gay couples can't even marry.X I'm curious to why people aren't ok with the idea of gay marriage. I find religion an excuse. I know plenty of very religious GLBTQ people who take an active part in their church. So what reason have anti same sex marriage people have to not be ok with it? I'm looking for a reason not excuses. Please no bible quotes. I genuinely want to understand.X","Matthew S","448267","Very simple, they hate us, and view us as less then they are. Religion is the reason behind our oppression. Religion fuels the anti gay industry. Religion fuels the anti political oppression of gay people. Until gay affirming religious people become as loud for us as pat Robertson is against us nothing will change. Until our families and friends in anti gay churches stand up in the isles and shout down the pastor and say, something like this "" you will not talk about my loved one this way"" nothing will change. Until religious people of good conscience start withholding money from anti gay churches and anti gay causes nothing will change. You must remember that the God of the anti gay religious person calls for our execution.","gay-marriage","07:24 AM","gay-rights-debates","2"
"01-28-2012","16091",1,"Matthew S","448267","Very simple, they hate us, and view us as less then they are. Religion is the reason behind our oppression. Religion fuels the anti gay industry. Religion fuels the anti political oppression of gay people. Until gay affirming religious people become as loud for us as pat Robertson is against us nothing will change. Until our families and friends in anti gay churches stand up in the isles and shout down the pastor and say, something like this "" you will not talk about my loved one this way"" nothing will change. Until religious people of good conscience start withholding money from anti gay churches and anti gay causes nothing will change. You must remember that the God of the anti gay religious person calls for our execution.","gansao","448292","This God calls for the execution of adulterers too but thats not going to happen either. When anyone can marry anyone else then homosexuals should be allowed to marry.Until then gays should not be an elite sexual deviant lifestyle over other sexual deviant lifestyles. When the pink panthers can find the balls to champion incestual marriage/polygamy then I will support them. I know you would support man/ squirrel marriages Matthew if it helped your cause but you are the exception.","gay-marriage","02:47 PM","gay-rights-debates","3"
"01-28-2012","16091",1,"gansao","448292","This God calls for the execution of adulterers too but thats not going to happen either. When anyone can marry anyone else then homosexuals should be allowed to marry.Until then gays should not be an elite sexual deviant lifestyle over other sexual deviant lifestyles. When the pink panthers can find the balls to champion incestual marriage/polygamy then I will support them. I know you would support man/ squirrel marriages Matthew if it helped your cause but you are the exception.","QuackAttack1887","448304","I'm not going to respond to the sexual deviant comment. We clearly have different meanings for it and it will turn into a childish argument. The majority of incest or polygamist relationships are more about abuse than love.","gay-marriage","05:44 PM","gay-rights-debates","4"
"01-28-2012","16091",1,"Matthew S","448267","Very simple, they hate us, and view us as less then they are. Religion is the reason behind our oppression. Religion fuels the anti gay industry. Religion fuels the anti political oppression of gay people. Until gay affirming religious people become as loud for us as pat Robertson is against us nothing will change. Until our families and friends in anti gay churches stand up in the isles and shout down the pastor and say, something like this "" you will not talk about my loved one this way"" nothing will change. Until religious people of good conscience start withholding money from anti gay churches and anti gay causes nothing will change. You must remember that the God of the anti gay religious person calls for our execution.","Xenamnes","448308","It would be wise not to overemphasize religion concerning opposition towards homosexuals. There are those that actively oppose the homosexual community due to concerns about the spread of AIDS and other STDs by unprotected sexual practices. It is a biological hazard that must be addressed regardless of how you or anyone else may feel about it.","gay-marriage","06:02 PM","gay-rights-debates","5"
"01-28-2012","16091",1,"Xenamnes","448308","It would be wise not to overemphasize religion concerning opposition towards homosexuals. There are those that actively oppose the homosexual community due to concerns about the spread of AIDS and other STDs by unprotected sexual practices. It is a biological hazard that must be addressed regardless of how you or anyone else may feel about it.","QuackAttack1887","448313","...You do realize the AIDS is not only a GLBTQ disease?","gay-marriage","08:47 PM","gay-rights-debates","6"
"01-28-2012","16091",1,"QuackAttack1887","448313","...You do realize the AIDS is not only a GLBTQ disease?","Xenamnes","448314","The fact that AIDS is shared by both homosexuals and heterosexuals is not relevant to the discussion. It has been pointed out several times that the homosexual community possesses a much higher rate of AIDS infection than the heterosexual community. It is also another reason why the homosexual community is opposed.","gay-marriage","09:11 PM","gay-rights-debates","7"
"01-29-2012","16091",1,"QuackAttack1887","448245","I'm curious to why people aren't ok with the idea of gay marriage. I find religion an excuse. I know plenty of very religious GLBTQ people who take an active part in their church. So what reason have anti same sex marriage people have to not be ok with it? I'm looking for a reason not excuses. Please no bible quotes. I genuinely want to understand.X","Easyrider","448322","Please no Bible quotes? That's a major reason a whole lot of people aren't ok with gay marriage, because gay sex is a perversion and an abomination in the eyes of God. Come out of Sodom. Come out of Gomorrah. Flee from the coming wrath.","gay-marriage","08:29 AM","gay-rights-debates","8"
"01-29-2012","16091",1,"Xenamnes","448314","The fact that AIDS is shared by both homosexuals and heterosexuals is not relevant to the discussion. It has been pointed out several times that the homosexual community possesses a much higher rate of AIDS infection than the heterosexual community. It is also another reason why the homosexual community is opposed.","Matthew S","448330","World wide HIV is a heterosexual disease. Besides I will use your line HIV has nothing to do with the topic at hand","gay-marriage","10:23 AM","gay-rights-debates","9"
"01-29-2012","16091",1,"QuackAttack1887","448304","The majority of incest or polygamist relationships are more about abuse than love.","gansao","448337","This was one of the arguments against homosexuality years ago. You are just as much of a bigot as anti gays in the 50s and 60s. Congratulations","gay-marriage","01:43 PM","gay-rights-debates","10"
